delta_vs_slow,delta_vs_slow_pp,fast_der,final_der,final_source,is_overlay,negative_vs_slow,recording_id,segment_idx,slow_der,window_id,window_size
0.0,0.0,0.1234,0.0939,slow,False,False,R8009_M8018,7,0.0939,R8009_M8018:30:7,30
0.0,0.0,0.1135,0.1073,slow,False,False,R8009_M8018,8,0.1073,R8009_M8018:30:8,30
0.0,0.0,0.1494,0.1192,slow,False,False,R8009_M8018,9,0.1192,R8009_M8018:30:9,30
0.0,0.0,0.1563,0.1092,slow,False,False,R8009_M8018,10,0.1092,R8009_M8018:30:10,30
0.0,0.0,0.1561,0.0794,slow,False,False,R8009_M8018,11,0.0794,R8009_M8018:30:11,30
0.004899999999999988,0.48999999999999877,0.1608,0.1608,recording_balanced_fast_overlay,True,False,R8009_M8018,12,0.1657,R8009_M8018:30:12,30
0.0,0.0,0.1372,0.0995,slow,False,False,R8009_M8018,13,0.0995,R8009_M8018:30:13,30
0.0,0.0,0.1243,0.0771,slow,False,False,R8009_M8018,14,0.0771,R8009_M8018:30:14,30
0.0,0.0,0.1031,0.0313,slow,False,False,R8009_M8019,0,0.0313,R8009_M8019:30:0,30
0.0,0.0,0.1226,0.0535,slow,False,False,R8009_M8019,1,0.0535,R8009_M8019:30:1,30
0.0,0.0,0.1349,0.0623,slow,False,False,R8009_M8019,2,0.0623,R8009_M8019:30:2,30
0.0,0.0,0.1393,0.0421,slow,False,False,R8009_M8019,3,0.0421,R8009_M8019:30:3,30
0.0,0.0,0.1446,0.0798,slow,False,False,R8009_M8019,4,0.0798,R8009_M8019:30:4,30
0.0,0.0,0.131,0.0221,slow,False,False,R8009_M8019,5,0.0221,R8009_M8019:30:5,30
0.0,0.0,0.1543,0.0654,slow,False,False,R8009_M8019,6,0.0654,R8009_M8019:30:6,30
0.0,0.0,0.1894,0.0875,slow,False,False,R8009_M8019,7,0.0875,R8009_M8019:30:7,30
0.0,0.0,0.0896,0.0592,slow,False,False,R8009_M8019,8,0.0592,R8009_M8019:30:8,30
0.0,0.0,0.1286,0.0953,slow,False,False,R8009_M8019,9,0.0953,R8009_M8019:30:9,30
0.0,0.0,0.0728,0.0573,slow,False,False,R8009_M8019,10,0.0573,R8009_M8019:30:10,30
0.0,0.0,0.054,0.0659,slow,False,False,R8009_M8019,11,0.0659,R8009_M8019:30:11,30
0.0175,1.7500000000000002,0.1292,0.0158,rare_short_slow_rule_recover,True,False,R8009_M8019,12,0.0333,R8009_M8019:30:12,30
0.0,0.0,0.1754,0.0222,slow,False,False,R8009_M8019,13,0.0222,R8009_M8019:30:13,30
0.0,0.0,0.1474,0.088,slow,False,False,R8009_M8019,14,0.088,R8009_M8019:30:14,30
0.0,0.0,0.1112,0.0778,slow,False,False,R8009_M8020,0,0.0778,R8009_M8020:30:0,30
0.0,0.0,0.1045,0.0175,slow,False,False,R8009_M8020,1,0.0175,R8009_M8020:30:1,30
0.0,0.0,0.0744,0.0482,slow,False,False,R8009_M8020,2,0.0482,R8009_M8020:30:2,30
0.0,0.0,0.2328,0.1681,slow,False,False,R8009_M8020,3,0.1681,R8009_M8020:30:3,30
0.0,0.0,0.0918,0.0223,slow,False,False,R8009_M8020,4,0.0223,R8009_M8020:30:4,30
0.0,0.0,0.105,0.055,slow,False,False,R8009_M8020,5,0.055,R8009_M8020:30:5,30
0.0,0.0,0.1854,0.0529,slow,False,False,R8009_M8020,6,0.0529,R8009_M8020:30:6,30
0.0,0.0,0.1642,0.042,slow,False,False,R8009_M8020,7,0.042,R8009_M8020:30:7,30
0.0,0.0,0.1134,0.0661,slow,False,False,R8009_M8020,8,0.0661,R8009_M8020:30:8,30
0.0,0.0,0.0744,0.0189,slow,False,False,R8009_M8020,9,0.0189,R8009_M8020:30:9,30
0.0,0.0,0.1072,0.0416,slow,False,False,R8009_M8020,10,0.0416,R8009_M8020:30:10,30
0.0,0.0,0.0836,0.0483,slow,False,False,R8009_M8020,11,0.0483,R8009_M8020:30:11,30
0.0,0.0,0.3331,0.0302,slow,False,False,R8009_M8020,12,0.0302,R8009_M8020:30:12,30
0.0,0.0,0.1099,0.0812,slow,False,False,R8009_M8020,13,0.0812,R8009_M8020:30:13,30
0.0,0.0,0.1057,0.0216,slow,False,False,R8009_M8020,14,0.0216,R8009_M8020:30:14,30
