fast_base,final_der,final_gap_to_oracle_pp,final_source,oracle_der,oracle_variant,recording_id,rule_recover_matched_label,rule_recover_policy_sweep_best,rule_recover_uncovered_only,segment_idx,slow_base,window_id,window_size
0.3171,0.2387,0.009999999999998899,slow,0.2386,slow_base,R8007_M8010,0.3171,0.3171,0.3171,9,0.2386,R8007_M8010:30:9,30
0.389,0.2711,0.009999999999998899,slow,0.271,slow_base,R8007_M8010,0.389,0.389,0.389,10,0.271,R8007_M8010:30:10,30
0.3472,0.1469,0.009999999999998899,slow,0.1468,slow_base,R8007_M8010,0.3277,0.3277,0.3277,11,0.1468,R8007_M8010:30:11,30
0.3202,0.1915,0.0,slow,0.1915,slow_base,R8007_M8010,0.3202,0.3202,0.3202,12,0.1915,R8007_M8010:30:12,30
0.4425,0.2509,0.0,slow,0.2509,slow_base,R8007_M8010,0.4469,0.4469,0.4469,13,0.2509,R8007_M8010:30:13,30
0.4443,0.369,0.0,slow,0.369,slow_base,R8007_M8010,0.4443,0.4443,0.4443,14,0.369,R8007_M8010:30:14,30
0.0292,0.0292,0.0,rare_short_slow_rule_recover,0.0292,fast_base,R8007_M8011,0.0292,0.0292,0.0292,0,0.0324,R8007_M8011:30:0,30
0.2016,0.0896,-0.010000000000000286,slow,0.0897,slow_base,R8007_M8011,0.2016,0.2016,0.2016,1,0.0897,R8007_M8011:30:1,30
0.5231,0.133,0.0,slow,0.133,slow_base,R8007_M8011,0.4668,0.4668,0.4989,2,0.133,R8007_M8011:30:2,30
0.3932,0.1797,-0.009999999999998899,slow,0.1798,slow_base,R8007_M8011,0.2944,0.3373,0.3373,3,0.1798,R8007_M8011:30:3,30
0.3474,0.2536,0.0,slow,0.2536,slow_base,R8007_M8011,0.2871,0.2871,0.2871,4,0.2536,R8007_M8011:30:4,30
0.1944,0.0215,0.0,slow,0.0215,slow_base,R8007_M8011,0.1944,0.1944,0.1944,5,0.0215,R8007_M8011:30:5,30
0.1864,0.1598,0.0,slow,0.1598,slow_base,R8007_M8011,0.1864,0.1864,0.1864,6,0.1598,R8007_M8011:30:6,30
0.2778,0.198,0.0,slow,0.198,slow_base,R8007_M8011,0.2778,0.2778,0.2778,7,0.198,R8007_M8011:30:7,30
0.3675,0.3416,0.0,rare_audio_rule_recover,0.3416,rule_recover_matched_label,R8007_M8011,0.3416,0.3416,0.3416,8,0.4266,R8007_M8011:30:8,30
0.5244,0.1405,-0.009999999999998899,slow,0.1406,slow_base,R8007_M8011,0.4135,0.4135,0.4135,9,0.1406,R8007_M8011:30:9,30
0.4363,0.2698,0.009999999999998899,slow,0.2697,slow_base,R8007_M8011,0.4363,0.4363,0.4363,10,0.2697,R8007_M8011:30:10,30
0.3306,0.1851,0.0,slow,0.1851,slow_base,R8007_M8011,0.3289,0.3289,0.3276,11,0.1851,R8007_M8011:30:11,30
0.2557,0.1351,0.0,slow,0.1351,slow_base,R8007_M8011,0.252,0.252,0.252,12,0.1351,R8007_M8011:30:12,30
0.2478,0.1715,0.0,slow,0.1715,slow_base,R8007_M8011,0.2478,0.2478,0.2478,13,0.1715,R8007_M8011:30:13,30
0.2101,0.074,0.0,slow,0.074,slow_base,R8007_M8011,0.2101,0.2101,0.2101,14,0.074,R8007_M8011:30:14,30
0.1221,0.0368,0.0,slow,0.0368,slow_base,R8008_M8013,0.0723,0.1008,0.1008,0,0.0368,R8008_M8013:30:0,30
0.1723,0.0771,-0.019999999999999185,slow,0.0773,slow_base,R8008_M8013,0.1832,0.1832,0.1832,1,0.0773,R8008_M8013:30:1,30
0.2364,0.2265,0.010000000000001674,slow,0.2264,slow_base,R8008_M8013,0.2364,0.2364,0.2364,2,0.2264,R8008_M8013:30:2,30
0.1271,0.1117,0.0,slow,0.1117,slow_base,R8008_M8013,0.1271,0.1271,0.1271,3,0.1117,R8008_M8013:30:3,30
0.2592,0.2039,0.0,slow,0.2039,slow_base,R8008_M8013,0.2592,0.2592,0.2592,4,0.2039,R8008_M8013:30:4,30
0.3157,0.1516,0.0,slow,0.1516,slow_base,R8008_M8013,0.3157,0.3157,0.3157,5,0.1516,R8008_M8013:30:5,30
0.4012,0.2471,0.0,slow,0.2471,slow_base,R8008_M8013,0.3966,0.3966,0.3966,6,0.2471,R8008_M8013:30:6,30
0.7929,0.159,0.0,slow,0.159,slow_base,R8008_M8013,0.3653,0.3653,0.404,7,0.159,R8008_M8013:30:7,30
0.4495,0.3288,0.0,slow,0.3288,slow_base,R8008_M8013,0.4398,0.4398,0.4398,8,0.3288,R8008_M8013:30:8,30
0.1744,0.1044,0.0,slow,0.1044,slow_base,R8008_M8013,0.1744,0.1744,0.1744,9,0.1044,R8008_M8013:30:9,30
0.2696,0.2261,0.0,slow,0.2261,slow_base,R8008_M8013,0.2696,0.2696,0.2696,10,0.2261,R8008_M8013:30:10,30
0.2129,0.1771,0.0,slow,0.1771,slow_base,R8008_M8013,0.2129,0.2129,0.2129,11,0.1771,R8008_M8013:30:11,30
0.2737,0.1399,0.0,slow,0.1399,slow_base,R8008_M8013,0.2737,0.2737,0.2737,12,0.1399,R8008_M8013:30:12,30
0.2971,0.2109,0.0,slow,0.2109,slow_base,R8008_M8013,0.4189,0.3055,0.3055,13,0.2109,R8008_M8013:30:13,30
0.1964,0.0994,0.010000000000000286,slow,0.0993,slow_base,R8008_M8013,0.1812,0.1812,0.1826,14,0.0993,R8008_M8013:30:14,30
0.1802,0.0875,0.0,slow,0.0875,slow_base,R8009_M8018,0.1802,0.1802,0.1802,0,0.0875,R8009_M8018:30:0,30
0.0757,0.0701,0.0,slow,0.0701,slow_base,R8009_M8018,0.0757,0.0757,0.0757,1,0.0701,R8009_M8018:30:1,30
0.1143,0.0429,-0.009999999999999593,slow,0.043,slow_base,R8009_M8018,0.1143,0.1143,0.1143,2,0.043,R8009_M8018:30:2,30
0.2397,0.2048,0.3500000000000003,slow,0.2013,rule_recover_policy_sweep_best,R8009_M8018,0.2585,0.2013,0.2013,3,0.2049,R8009_M8018:30:3,30
0.1084,0.1005,0.010000000000000286,slow,0.1004,slow_base,R8009_M8018,0.1084,0.1084,0.1084,4,0.1004,R8009_M8018:30:4,30
0.1191,0.097,0.0,slow,0.097,slow_base,R8009_M8018,0.1191,0.1191,0.1191,5,0.097,R8009_M8018:30:5,30
0.2232,0.0963,0.0,slow,0.0963,slow_base,R8009_M8018,0.1757,0.1819,0.1819,6,0.0963,R8009_M8018:30:6,30
0.1234,0.0939,0.0,slow,0.0939,slow_base,R8009_M8018,0.1234,0.1234,0.1234,7,0.0939,R8009_M8018:30:7,30
0.1135,0.1073,0.0,slow,0.1073,slow_base,R8009_M8018,0.1135,0.1135,0.1135,8,0.1073,R8009_M8018:30:8,30
0.1494,0.1192,-0.010000000000000286,slow,0.1193,slow_base,R8009_M8018,0.1494,0.1494,0.1494,9,0.1193,R8009_M8018:30:9,30
0.1563,0.1092,0.0,slow,0.1092,slow_base,R8009_M8018,0.1534,0.1534,0.1534,10,0.1092,R8009_M8018:30:10,30
0.1561,0.0794,-0.010000000000000286,slow,0.0795,slow_base,R8009_M8018,0.1561,0.1561,0.1561,11,0.0795,R8009_M8018:30:11,30
0.1608,0.1608,0.0,recording_balanced_fast_overlay,0.1608,fast_base,R8009_M8018,0.1608,0.1608,0.1608,12,0.1657,R8009_M8018:30:12,30
0.1372,0.0995,0.010000000000000286,slow,0.0994,slow_base,R8009_M8018,0.1372,0.1372,0.1372,13,0.0994,R8009_M8018:30:13,30
0.1243,0.0771,0.010000000000000286,slow,0.077,slow_base,R8009_M8018,0.1243,0.1243,0.1243,14,0.077,R8009_M8018:30:14,30
0.1031,0.0313,-0.009999999999999593,slow,0.0314,slow_base,R8009_M8019,0.1031,0.1031,0.1031,0,0.0314,R8009_M8019:30:0,30
0.1226,0.0535,0.0,slow,0.0535,slow_base,R8009_M8019,0.1226,0.1226,0.1226,1,0.0535,R8009_M8019:30:1,30
0.1349,0.0623,0.0,slow,0.0623,slow_base,R8009_M8019,0.1349,0.1349,0.1349,2,0.0623,R8009_M8019:30:2,30
0.1393,0.0421,-0.010000000000000286,slow,0.0422,slow_base,R8009_M8019,0.0844,0.0844,0.0844,3,0.0422,R8009_M8019:30:3,30
0.1446,0.0798,0.0,slow,0.0798,slow_base,R8009_M8019,0.1361,0.1361,0.1361,4,0.0798,R8009_M8019:30:4,30
0.131,0.0221,0.0,slow,0.0221,slow_base,R8009_M8019,0.131,0.131,0.131,5,0.0221,R8009_M8019:30:5,30
0.1543,0.0654,0.0,slow,0.0654,slow_base,R8009_M8019,0.1279,0.1279,0.1279,6,0.0654,R8009_M8019:30:6,30
0.1894,0.0875,0.0,slow,0.0875,slow_base,R8009_M8019,0.1894,0.1894,0.1894,7,0.0875,R8009_M8019:30:7,30
0.0896,0.0592,0.0,slow,0.0592,slow_base,R8009_M8019,0.0896,0.0896,0.0896,8,0.0592,R8009_M8019:30:8,30
0.1286,0.0953,0.009999999999998899,slow,0.0952,slow_base,R8009_M8019,0.1286,0.1286,0.1286,9,0.0952,R8009_M8019:30:9,30
0.0728,0.0573,0.0,slow,0.0573,slow_base,R8009_M8019,0.0728,0.0728,0.0728,10,0.0573,R8009_M8019:30:10,30
0.054,0.0659,1.1900000000000002,slow,0.054,fast_base,R8009_M8019,0.054,0.054,0.054,11,0.0659,R8009_M8019:30:11,30
0.1292,0.0158,0.0,rare_short_slow_rule_recover,0.0158,rule_recover_matched_label,R8009_M8019,0.0158,0.0158,0.0158,12,0.0333,R8009_M8019:30:12,30
0.1754,0.0222,0.0,slow,0.0222,slow_base,R8009_M8019,0.1754,0.1754,0.1754,13,0.0222,R8009_M8019:30:13,30
0.1474,0.088,0.0,slow,0.088,slow_base,R8009_M8019,0.1474,0.1474,0.1474,14,0.088,R8009_M8019:30:14,30
0.1112,0.0778,0.0,slow,0.0778,slow_base,R8009_M8020,0.1112,0.1112,0.1112,0,0.0778,R8009_M8020:30:0,30
0.1045,0.0175,-0.00999999999999994,slow,0.0176,slow_base,R8009_M8020,0.1045,0.1045,0.1045,1,0.0176,R8009_M8020:30:1,30
0.0744,0.0482,0.0,slow,0.0482,slow_base,R8009_M8020,0.0744,0.0744,0.0744,2,0.0482,R8009_M8020:30:2,30
0.2328,0.1681,0.0,slow,0.1681,slow_base,R8009_M8020,0.2164,0.2146,0.2146,3,0.1681,R8009_M8020:30:3,30
0.0918,0.0223,-0.01999999999999988,slow,0.0225,slow_base,R8009_M8020,0.0918,0.0918,0.0918,4,0.0225,R8009_M8020:30:4,30
0.105,0.055,0.0,slow,0.055,slow_base,R8009_M8020,0.105,0.105,0.105,5,0.055,R8009_M8020:30:5,30
0.1854,0.0529,0.0,slow,0.0529,slow_base,R8009_M8020,0.1699,0.1699,0.1699,6,0.0529,R8009_M8020:30:6,30
0.1642,0.042,-0.009999999999999593,slow,0.0421,slow_base,R8009_M8020,0.1642,0.1642,0.1642,7,0.0421,R8009_M8020:30:7,30
0.1134,0.0661,0.0,slow,0.0661,slow_base,R8009_M8020,0.1134,0.1134,0.1134,8,0.0661,R8009_M8020:30:8,30
0.0744,0.0189,0.0,slow,0.0189,slow_base,R8009_M8020,0.0744,0.0744,0.0744,9,0.0189,R8009_M8020:30:9,30
0.1072,0.0416,0.0,slow,0.0416,slow_base,R8009_M8020,0.1072,0.1072,0.1072,10,0.0416,R8009_M8020:30:10,30
0.0836,0.0483,-0.009999999999999593,slow,0.0484,slow_base,R8009_M8020,0.0836,0.0836,0.0836,11,0.0484,R8009_M8020:30:11,30
0.3331,0.0302,-0.00999999999999994,slow,0.0303,slow_base,R8009_M8020,0.3587,0.3227,0.3227,12,0.0303,R8009_M8020:30:12,30
0.1099,0.0812,0.009999999999998899,slow,0.0811,slow_base,R8009_M8020,0.1099,0.1099,0.1099,13,0.0811,R8009_M8020:30:13,30
0.1057,0.0216,0.0,slow,0.0216,slow_base,R8009_M8020,0.1057,0.1057,0.1057,14,0.0216,R8009_M8020:30:14,30
