choice_counts,clipped_slow_der,current_final_der,delta_vs_clipped_slow,delta_vs_clipped_slow_pp,delta_vs_current,delta_vs_current_pp,description,feature_a,feature_b,final_der,negative_recordings_vs_clipped_slow,op_a,op_b,overlay_losses_vs_current,overlay_wins_vs_current,policy_id,policy_kind,positive_recordings_vs_clipped_slow,selected,selected_windows,threshold_a,threshold_b,true_variant,windows
"{'current_final': 119, 'fast_base': 1}",0.1687966666666667,0.16492333333333334,0.0038733333333333675,0.38733333333333675,0.0,0.0,align_slow_segment >= 18 AND keep_fast_supported >= 6,align_slow_segment,keep_fast_supported,0.16492333333333334,0,>=,>=,0,0,if_align_slow_segment_>=_18_AND_keep_fast_supported_>=_6_then_fast_base_else_current_final,recording_balanced_overlay,5,1,1,18.0,6.0,fast_base,120
"{'current_final': 119, 'rule_recover_matched_label': 1}",0.1687966666666667,0.16492333333333334,0.0038733333333333675,0.38733333333333675,0.0,0.0,align_slow_segment >= 18 AND keep_fast_supported >= 6,align_slow_segment,keep_fast_supported,0.16492333333333334,0,>=,>=,0,0,if_align_slow_segment_>=_18_AND_keep_fast_supported_>=_6_then_rule_recover_matched_label_else_current_final,recording_balanced_overlay,5,1,1,18.0,6.0,rule_recover_matched_label,120
"{'current_final': 119, 'rule_recover_policy_sweep_best': 1}",0.1687966666666667,0.16492333333333334,0.0038733333333333675,0.38733333333333675,0.0,0.0,align_slow_segment >= 18 AND keep_fast_supported >= 6,align_slow_segment,keep_fast_supported,0.16492333333333334,0,>=,>=,0,0,if_align_slow_segment_>=_18_AND_keep_fast_supported_>=_6_then_rule_recover_policy_sweep_best_else_current_final,recording_balanced_overlay,5,1,1,18.0,6.0,rule_recover_policy_sweep_best,120
"{'current_final': 119, 'rule_recover_uncovered_only': 1}",0.1687966666666667,0.16492333333333334,0.0038733333333333675,0.38733333333333675,0.0,0.0,align_slow_segment >= 18 AND keep_fast_supported >= 6,align_slow_segment,keep_fast_supported,0.16492333333333334,0,>=,>=,0,0,if_align_slow_segment_>=_18_AND_keep_fast_supported_>=_6_then_rule_recover_uncovered_only_else_current_final,recording_balanced_overlay,5,1,1,18.0,6.0,rule_recover_uncovered_only,120
"{'current_final': 119, 'rule_recover_matched_label': 1}",0.1687966666666667,0.16492333333333334,0.0038733333333333675,0.38733333333333675,0.0,0.0,audio_speech_sec >= 18.605,audio_speech_sec,,0.16492333333333334,0,>=,,0,0,if_audio_speech_sec_>=_18.605_then_rule_recover_matched_label_else_current_final,recording_balanced_overlay,5,1,1,18.604999999999997,,rule_recover_matched_label,120
"{'current_final': 119, 'rule_recover_policy_sweep_best': 1}",0.1687966666666667,0.16492333333333334,0.0038733333333333675,0.38733333333333675,0.0,0.0,audio_speech_sec >= 18.605,audio_speech_sec,,0.16492333333333334,0,>=,,0,0,if_audio_speech_sec_>=_18.605_then_rule_recover_policy_sweep_best_else_current_final,recording_balanced_overlay,5,1,1,18.604999999999997,,rule_recover_policy_sweep_best,120
"{'current_final': 119, 'rule_recover_uncovered_only': 1}",0.1687966666666667,0.16492333333333334,0.0038733333333333675,0.38733333333333675,0.0,0.0,audio_speech_sec >= 18.605,audio_speech_sec,,0.16492333333333334,0,>=,,0,0,if_audio_speech_sec_>=_18.605_then_rule_recover_uncovered_only_else_current_final,recording_balanced_overlay,5,1,1,18.604999999999997,,rule_recover_uncovered_only,120
"{'current_final': 119, 'rule_recover_matched_label': 1}",0.1687966666666667,0.16492333333333334,0.0038733333333333675,0.38733333333333675,0.0,0.0,slow_segments <= 2,slow_segments,,0.16492333333333334,0,<=,,0,0,if_slow_segments_<=_2_then_rule_recover_matched_label_else_current_final,recording_balanced_overlay,5,1,1,2.0,,rule_recover_matched_label,120
"{'current_final': 119, 'rule_recover_policy_sweep_best': 1}",0.1687966666666667,0.16492333333333334,0.0038733333333333675,0.38733333333333675,0.0,0.0,slow_segments <= 2,slow_segments,,0.16492333333333334,0,<=,,0,0,if_slow_segments_<=_2_then_rule_recover_policy_sweep_best_else_current_final,recording_balanced_overlay,5,1,1,2.0,,rule_recover_policy_sweep_best,120
"{'current_final': 119, 'rule_recover_uncovered_only': 1}",0.1687966666666667,0.16492333333333334,0.0038733333333333675,0.38733333333333675,0.0,0.0,slow_segments <= 2,slow_segments,,0.16492333333333334,0,<=,,0,0,if_slow_segments_<=_2_then_rule_recover_uncovered_only_else_current_final,recording_balanced_overlay,5,1,1,2.0,,rule_recover_uncovered_only,120
"{'current_final': 118, 'rule_recover_matched_label': 2}",0.1687966666666667,0.16492333333333334,0.0038733333333333675,0.38733333333333675,0.0,0.0,slow_segments <= 3,slow_segments,,0.16492333333333334,0,<=,,0,0,if_slow_segments_<=_3_then_rule_recover_matched_label_else_current_final,recording_balanced_overlay,5,2,2,3.0,,rule_recover_matched_label,120
"{'current_final': 118, 'rule_recover_policy_sweep_best': 2}",0.1687966666666667,0.16492333333333334,0.0038733333333333675,0.38733333333333675,0.0,0.0,slow_segments <= 3,slow_segments,,0.16492333333333334,0,<=,,0,0,if_slow_segments_<=_3_then_rule_recover_policy_sweep_best_else_current_final,recording_balanced_overlay,5,2,2,3.0,,rule_recover_policy_sweep_best,120
"{'current_final': 118, 'rule_recover_uncovered_only': 2}",0.1687966666666667,0.16492333333333334,0.0038733333333333675,0.38733333333333675,0.0,0.0,slow_segments <= 3,slow_segments,,0.16492333333333334,0,<=,,0,0,if_slow_segments_<=_3_then_rule_recover_uncovered_only_else_current_final,recording_balanced_overlay,5,2,2,3.0,,rule_recover_uncovered_only,120
"{'current_final': 118, 'rule_recover_matched_label': 2}",0.1687966666666667,0.16492333333333334,0.0037066666666666914,0.37066666666666914,-0.00016666666666667607,-0.016666666666667607,audio_speech_sec >= 15.92 AND seg_diff <= -7,audio_speech_sec,seg_diff,0.16509000000000001,0,>=,<=,1,0,if_audio_speech_sec_>=_15.92_AND_seg_diff_<=_-7_then_rule_recover_matched_label_else_current_final,recording_balanced_overlay,5,2,2,15.92,-7.0,rule_recover_matched_label,120
"{'current_final': 118, 'rule_recover_policy_sweep_best': 2}",0.1687966666666667,0.16492333333333334,0.0037058333333333804,0.37058333333333804,-0.0001674999999999871,-0.01674999999999871,audio_speech_sec >= 15.92 AND seg_diff <= -7,audio_speech_sec,seg_diff,0.16509083333333333,0,>=,<=,1,0,if_audio_speech_sec_>=_15.92_AND_seg_diff_<=_-7_then_rule_recover_policy_sweep_best_else_current_final,recording_balanced_overlay,5,2,2,15.92,-7.0,rule_recover_policy_sweep_best,120
"{'current_final': 118, 'rule_recover_uncovered_only': 2}",0.1687966666666667,0.16492333333333334,0.0037058333333333804,0.37058333333333804,-0.0001674999999999871,-0.01674999999999871,audio_speech_sec >= 15.92 AND seg_diff <= -7,audio_speech_sec,seg_diff,0.16509083333333333,0,>=,<=,1,0,if_audio_speech_sec_>=_15.92_AND_seg_diff_<=_-7_then_rule_recover_uncovered_only_else_current_final,recording_balanced_overlay,5,2,2,15.92,-7.0,rule_recover_uncovered_only,120
"{'current_final': 119, 'fast_base': 1}",0.1687966666666667,0.16492333333333334,0.0036575000000000635,0.36575000000000635,-0.000215833333333304,-0.0215833333333304,audio_speech_sec >= 18.605,audio_speech_sec,,0.16513916666666664,0,>=,,1,0,if_audio_speech_sec_>=_18.605_then_fast_base_else_current_final,recording_balanced_overlay,5,1,1,18.604999999999997,,fast_base,120
"{'current_final': 119, 'fast_base': 1}",0.1687966666666667,0.16492333333333334,0.0036516666666667197,0.36516666666667197,-0.0002216666666666478,-0.02216666666666478,audio_max_minus_mean_p90_db <= 3.907 AND fast_slow_disagreement_sec <= 0.48,audio_max_minus_mean_p90_db,fast_slow_disagreement_sec,0.165145,0,<=,<=,1,0,if_audio_max_minus_mean_p90_db_<=_3.907_AND_fast_slow_disagreement_sec_<=_0.48_then_fast_base_else_current_final,recording_balanced_overlay,5,1,1,3.907,0.48,fast_base,120
"{'current_final': 119, 'rule_recover_matched_label': 1}",0.1687966666666667,0.16492333333333334,0.0036516666666667197,0.36516666666667197,-0.0002216666666666478,-0.02216666666666478,audio_max_minus_mean_p90_db <= 3.907 AND fast_slow_disagreement_sec <= 0.48,audio_max_minus_mean_p90_db,fast_slow_disagreement_sec,0.165145,0,<=,<=,1,0,if_audio_max_minus_mean_p90_db_<=_3.907_AND_fast_slow_disagreement_sec_<=_0.48_then_rule_recover_matched_label_else_current_final,recording_balanced_overlay,5,1,1,3.907,0.48,rule_recover_matched_label,120
"{'current_final': 119, 'rule_recover_policy_sweep_best': 1}",0.1687966666666667,0.16492333333333334,0.0036516666666667197,0.36516666666667197,-0.0002216666666666478,-0.02216666666666478,audio_max_minus_mean_p90_db <= 3.907 AND fast_slow_disagreement_sec <= 0.48,audio_max_minus_mean_p90_db,fast_slow_disagreement_sec,0.165145,0,<=,<=,1,0,if_audio_max_minus_mean_p90_db_<=_3.907_AND_fast_slow_disagreement_sec_<=_0.48_then_rule_recover_policy_sweep_best_else_current_final,recording_balanced_overlay,5,1,1,3.907,0.48,rule_recover_policy_sweep_best,120
"{'current_final': 119, 'rule_recover_uncovered_only': 1}",0.1687966666666667,0.16492333333333334,0.0036516666666667197,0.36516666666667197,-0.0002216666666666478,-0.02216666666666478,audio_max_minus_mean_p90_db <= 3.907 AND fast_slow_disagreement_sec <= 0.48,audio_max_minus_mean_p90_db,fast_slow_disagreement_sec,0.165145,0,<=,<=,1,0,if_audio_max_minus_mean_p90_db_<=_3.907_AND_fast_slow_disagreement_sec_<=_0.48_then_rule_recover_uncovered_only_else_current_final,recording_balanced_overlay,5,1,1,3.907,0.48,rule_recover_uncovered_only,120
"{'current_final': 119, 'fast_base': 1}",0.1687966666666667,0.16492333333333334,0.0036141666666667516,0.36141666666667516,-0.0002591666666666159,-0.025916666666661592,audio_speech_sec >= 16.3 AND slow_fast_speech_ratio <= 0.967559,audio_speech_sec,slow_fast_speech_ratio,0.16518249999999995,0,>=,<=,1,0,if_audio_speech_sec_>=_16.3_AND_slow_fast_speech_ratio_<=_0.967559_then_fast_base_else_current_final,recording_balanced_overlay,5,1,1,16.3,0.9675590551181102,fast_base,120
"{'current_final': 119, 'rule_recover_matched_label': 1}",0.1687966666666667,0.16492333333333334,0.0036141666666667516,0.36141666666667516,-0.0002591666666666159,-0.025916666666661592,audio_speech_sec >= 16.3 AND slow_fast_speech_ratio <= 0.967559,audio_speech_sec,slow_fast_speech_ratio,0.16518249999999995,0,>=,<=,1,0,if_audio_speech_sec_>=_16.3_AND_slow_fast_speech_ratio_<=_0.967559_then_rule_recover_matched_label_else_current_final,recording_balanced_overlay,5,1,1,16.3,0.9675590551181102,rule_recover_matched_label,120
"{'current_final': 119, 'rule_recover_policy_sweep_best': 1}",0.1687966666666667,0.16492333333333334,0.0036141666666667516,0.36141666666667516,-0.0002591666666666159,-0.025916666666661592,audio_speech_sec >= 16.3 AND slow_fast_speech_ratio <= 0.967559,audio_speech_sec,slow_fast_speech_ratio,0.16518249999999995,0,>=,<=,1,0,if_audio_speech_sec_>=_16.3_AND_slow_fast_speech_ratio_<=_0.967559_then_rule_recover_policy_sweep_best_else_current_final,recording_balanced_overlay,5,1,1,16.3,0.9675590551181102,rule_recover_policy_sweep_best,120
"{'current_final': 119, 'rule_recover_uncovered_only': 1}",0.1687966666666667,0.16492333333333334,0.0036141666666667516,0.36141666666667516,-0.0002591666666666159,-0.025916666666661592,audio_speech_sec >= 16.3 AND slow_fast_speech_ratio <= 0.967559,audio_speech_sec,slow_fast_speech_ratio,0.16518249999999995,0,>=,<=,1,0,if_audio_speech_sec_>=_16.3_AND_slow_fast_speech_ratio_<=_0.967559_then_rule_recover_uncovered_only_else_current_final,recording_balanced_overlay,5,1,1,16.3,0.9675590551181102,rule_recover_uncovered_only,120
"{'current_final': 118, 'rule_recover_matched_label': 2}",0.1687966666666667,0.16492333333333334,0.0036141666666667516,0.36141666666667516,-0.0002591666666666159,-0.025916666666661592,audio_speech_sec >= 17.4,audio_speech_sec,,0.16518249999999995,0,>=,,1,0,if_audio_speech_sec_>=_17.4_then_rule_recover_matched_label_else_current_final,recording_balanced_overlay,5,2,2,17.4,,rule_recover_matched_label,120
"{'current_final': 118, 'rule_recover_policy_sweep_best': 2}",0.1687966666666667,0.16492333333333334,0.0036141666666667516,0.36141666666667516,-0.0002591666666666159,-0.025916666666661592,audio_speech_sec >= 17.4,audio_speech_sec,,0.16518249999999995,0,>=,,1,0,if_audio_speech_sec_>=_17.4_then_rule_recover_policy_sweep_best_else_current_final,recording_balanced_overlay,5,2,2,17.4,,rule_recover_policy_sweep_best,120
"{'current_final': 118, 'rule_recover_uncovered_only': 2}",0.1687966666666667,0.16492333333333334,0.0036141666666667516,0.36141666666667516,-0.0002591666666666159,-0.025916666666661592,audio_speech_sec >= 17.4,audio_speech_sec,,0.16518249999999995,0,>=,,1,0,if_audio_speech_sec_>=_17.4_then_rule_recover_uncovered_only_else_current_final,recording_balanced_overlay,5,2,2,17.4,,rule_recover_uncovered_only,120
"{'current_final': 118, 'fast_base': 2}",0.1687966666666667,0.16492333333333334,0.00339833333333342,0.339833333333342,-0.0004749999999999477,-0.04749999999999477,audio_speech_sec >= 17.4,audio_speech_sec,,0.1653983333333333,0,>=,,2,0,if_audio_speech_sec_>=_17.4_then_fast_base_else_current_final,recording_balanced_overlay,5,2,2,17.4,,fast_base,120
"{'current_final': 118, 'rule_recover_matched_label': 2}",0.1687966666666667,0.16492333333333334,0.003315000000000068,0.3315000000000068,-0.0005583333333332996,-0.05583333333332996,audio_max_speech_sec >= 18.25 AND audio_speech_sec >= 16.68,audio_max_speech_sec,audio_speech_sec,0.16548166666666664,0,>=,>=,1,0,if_audio_max_speech_sec_>=_18.25_AND_audio_speech_sec_>=_16.68_then_rule_recover_matched_label_else_current_final,recording_balanced_overlay,5,2,2,18.25,16.68,rule_recover_matched_label,120
"{'current_final': 118, 'rule_recover_policy_sweep_best': 2}",0.1687966666666667,0.16492333333333334,0.003315000000000068,0.3315000000000068,-0.0005583333333332996,-0.05583333333332996,audio_max_speech_sec >= 18.25 AND audio_speech_sec >= 16.68,audio_max_speech_sec,audio_speech_sec,0.16548166666666664,0,>=,>=,1,0,if_audio_max_speech_sec_>=_18.25_AND_audio_speech_sec_>=_16.68_then_rule_recover_policy_sweep_best_else_current_final,recording_balanced_overlay,5,2,2,18.25,16.68,rule_recover_policy_sweep_best,120
"{'current_final': 118, 'rule_recover_uncovered_only': 2}",0.1687966666666667,0.16492333333333334,0.003315000000000068,0.3315000000000068,-0.0005583333333332996,-0.05583333333332996,audio_max_speech_sec >= 18.25 AND audio_speech_sec >= 16.68,audio_max_speech_sec,audio_speech_sec,0.16548166666666664,0,>=,>=,1,0,if_audio_max_speech_sec_>=_18.25_AND_audio_speech_sec_>=_16.68_then_rule_recover_uncovered_only_else_current_final,recording_balanced_overlay,5,2,2,18.25,16.68,rule_recover_uncovered_only,120
"{'current_final': 119, 'fast_base': 1}",0.1687966666666667,0.16492333333333334,0.003315000000000068,0.3315000000000068,-0.0005583333333332996,-0.05583333333332996,audio_max_speech_sec >= 18.25 AND slow_segments >= 20,audio_max_speech_sec,slow_segments,0.16548166666666664,0,>=,>=,1,0,if_audio_max_speech_sec_>=_18.25_AND_slow_segments_>=_20_then_fast_base_else_current_final,recording_balanced_overlay,5,1,1,18.25,20.0,fast_base,120
"{'current_final': 119, 'rule_recover_matched_label': 1}",0.1687966666666667,0.16492333333333334,0.003315000000000068,0.3315000000000068,-0.0005583333333332996,-0.05583333333332996,audio_max_speech_sec >= 18.25 AND slow_segments >= 20,audio_max_speech_sec,slow_segments,0.16548166666666664,0,>=,>=,1,0,if_audio_max_speech_sec_>=_18.25_AND_slow_segments_>=_20_then_rule_recover_matched_label_else_current_final,recording_balanced_overlay,5,1,1,18.25,20.0,rule_recover_matched_label,120
"{'current_final': 119, 'rule_recover_policy_sweep_best': 1}",0.1687966666666667,0.16492333333333334,0.003315000000000068,0.3315000000000068,-0.0005583333333332996,-0.05583333333332996,audio_max_speech_sec >= 18.25 AND slow_segments >= 20,audio_max_speech_sec,slow_segments,0.16548166666666664,0,>=,>=,1,0,if_audio_max_speech_sec_>=_18.25_AND_slow_segments_>=_20_then_rule_recover_policy_sweep_best_else_current_final,recording_balanced_overlay,5,1,1,18.25,20.0,rule_recover_policy_sweep_best,120
"{'current_final': 119, 'rule_recover_uncovered_only': 1}",0.1687966666666667,0.16492333333333334,0.003315000000000068,0.3315000000000068,-0.0005583333333332996,-0.05583333333332996,audio_max_speech_sec >= 18.25 AND slow_segments >= 20,audio_max_speech_sec,slow_segments,0.16548166666666664,0,>=,>=,1,0,if_audio_max_speech_sec_>=_18.25_AND_slow_segments_>=_20_then_rule_recover_uncovered_only_else_current_final,recording_balanced_overlay,5,1,1,18.25,20.0,rule_recover_uncovered_only,120
"{'current_final': 117, 'rule_recover_matched_label': 3}",0.1687966666666667,0.16492333333333334,0.0031450000000000644,0.31450000000000644,-0.0007283333333333031,-0.07283333333333031,audio_speech_sec >= 16.3 AND slow_audio_speech_ratio <= 1.96199,audio_speech_sec,slow_audio_speech_ratio,0.16565166666666664,0,>=,<=,2,0,if_audio_speech_sec_>=_16.3_AND_slow_audio_speech_ratio_<=_1.96199_then_rule_recover_matched_label_else_current_final,recording_balanced_overlay,5,3,3,16.3,1.9619921363040629,rule_recover_matched_label,120
"{'current_final': 117, 'rule_recover_policy_sweep_best': 3}",0.1687966666666667,0.16492333333333334,0.0031450000000000644,0.31450000000000644,-0.0007283333333333031,-0.07283333333333031,audio_speech_sec >= 16.3 AND slow_audio_speech_ratio <= 1.96199,audio_speech_sec,slow_audio_speech_ratio,0.16565166666666664,0,>=,<=,2,0,if_audio_speech_sec_>=_16.3_AND_slow_audio_speech_ratio_<=_1.96199_then_rule_recover_policy_sweep_best_else_current_final,recording_balanced_overlay,5,3,3,16.3,1.9619921363040629,rule_recover_policy_sweep_best,120
"{'current_final': 118, 'fast_base': 2}",0.1687966666666667,0.16492333333333334,0.003099166666666736,0.3099166666666736,-0.0007741666666666314,-0.07741666666666314,audio_max_speech_sec >= 18.25 AND audio_speech_sec >= 16.68,audio_max_speech_sec,audio_speech_sec,0.16569749999999997,0,>=,>=,2,0,if_audio_max_speech_sec_>=_18.25_AND_audio_speech_sec_>=_16.68_then_fast_base_else_current_final,recording_balanced_overlay,5,2,2,18.25,16.68,fast_base,120
"{'current_final': 117, 'rule_recover_uncovered_only': 3}",0.1687966666666667,0.16492333333333334,0.00309500000000007,0.309500000000007,-0.0007783333333332976,-0.07783333333332976,audio_speech_sec >= 16.3 AND slow_audio_speech_ratio <= 1.96199,audio_speech_sec,slow_audio_speech_ratio,0.16570166666666664,0,>=,<=,2,0,if_audio_speech_sec_>=_16.3_AND_slow_audio_speech_ratio_<=_1.96199_then_rule_recover_uncovered_only_else_current_final,recording_balanced_overlay,5,3,3,16.3,1.9619921363040629,rule_recover_uncovered_only,120
"{'current_final': 117, 'rule_recover_matched_label': 3}",0.1687966666666667,0.16492333333333334,0.0030558333333333965,0.30558333333333965,-0.000817499999999971,-0.0817499999999971,audio_speech_sec >= 17.015,audio_speech_sec,,0.1657408333333333,0,>=,,2,0,if_audio_speech_sec_>=_17.015_then_rule_recover_matched_label_else_current_final,recording_balanced_overlay,5,3,3,17.015,,rule_recover_matched_label,120
"{'current_final': 117, 'rule_recover_policy_sweep_best': 3}",0.1687966666666667,0.16492333333333334,0.0030558333333333965,0.30558333333333965,-0.000817499999999971,-0.0817499999999971,audio_speech_sec >= 17.015,audio_speech_sec,,0.1657408333333333,0,>=,,2,0,if_audio_speech_sec_>=_17.015_then_rule_recover_policy_sweep_best_else_current_final,recording_balanced_overlay,5,3,3,17.015,,rule_recover_policy_sweep_best,120
"{'current_final': 117, 'rule_recover_uncovered_only': 3}",0.1687966666666667,0.16492333333333334,0.0030558333333333965,0.30558333333333965,-0.000817499999999971,-0.0817499999999971,audio_speech_sec >= 17.015,audio_speech_sec,,0.1657408333333333,0,>=,,2,0,if_audio_speech_sec_>=_17.015_then_rule_recover_uncovered_only_else_current_final,recording_balanced_overlay,5,3,3,17.015,,rule_recover_uncovered_only,120
"{'current_final': 118, 'fast_base': 2}",0.1687966666666667,0.16492333333333334,0.0029925000000000646,0.29925000000000646,-0.0008808333333333029,-0.0880833333333303,audio_speech_sec >= 15.92 AND seg_diff <= -7,audio_speech_sec,seg_diff,0.16580416666666664,0,>=,<=,2,0,if_audio_speech_sec_>=_15.92_AND_seg_diff_<=_-7_then_fast_base_else_current_final,recording_balanced_overlay,5,2,2,15.92,-7.0,fast_base,120
"{'current_final': 117, 'rule_recover_matched_label': 3}",0.1687966666666667,0.16492333333333334,0.0028458333333333807,0.2845833333333381,-0.0010274999999999868,-0.10274999999999868,audio_max_speech_sec >= 18.25 AND audio_speech_sec >= 16.3,audio_max_speech_sec,audio_speech_sec,0.16595083333333333,0,>=,>=,2,0,if_audio_max_speech_sec_>=_18.25_AND_audio_speech_sec_>=_16.3_then_rule_recover_matched_label_else_current_final,recording_balanced_overlay,5,3,3,18.25,16.3,rule_recover_matched_label,120
"{'current_final': 117, 'rule_recover_policy_sweep_best': 3}",0.1687966666666667,0.16492333333333334,0.0028458333333333807,0.2845833333333381,-0.0010274999999999868,-0.10274999999999868,audio_max_speech_sec >= 18.25 AND audio_speech_sec >= 16.3,audio_max_speech_sec,audio_speech_sec,0.16595083333333333,0,>=,>=,2,0,if_audio_max_speech_sec_>=_18.25_AND_audio_speech_sec_>=_16.3_then_rule_recover_policy_sweep_best_else_current_final,recording_balanced_overlay,5,3,3,18.25,16.3,rule_recover_policy_sweep_best,120
"{'current_final': 117, 'fast_base': 3}",0.1687966666666667,0.16492333333333334,0.0028400000000000647,0.28400000000000647,-0.0010333333333333028,-0.10333333333333028,audio_speech_sec >= 17.015,audio_speech_sec,,0.16595666666666664,0,>=,,3,0,if_audio_speech_sec_>=_17.015_then_fast_base_else_current_final,recording_balanced_overlay,5,3,3,17.015,,fast_base,120
"{'current_final': 117, 'rule_recover_uncovered_only': 3}",0.1687966666666667,0.16492333333333334,0.0027958333333333862,0.2795833333333386,-0.0010774999999999813,-0.10774999999999813,audio_max_speech_sec >= 18.25 AND audio_speech_sec >= 16.3,audio_max_speech_sec,audio_speech_sec,0.16600083333333332,0,>=,>=,2,0,if_audio_max_speech_sec_>=_18.25_AND_audio_speech_sec_>=_16.3_then_rule_recover_uncovered_only_else_current_final,recording_balanced_overlay,5,3,3,18.25,16.3,rule_recover_uncovered_only,120
