baseline_id,window_id,recording_id,window_size,segment_idx,der,miss_rate,fa_rate,conf_rate,pred_segments,clip_window_clip_adjusted_segments,clip_window_clip_dropped_segments,clip_window_clip_trimmed_ms
fast_base,R8007_M8010:30:11,R8007_M8010,30,11,0.3472,0.3106,0.0275,0.0091,15,,,
fast_base,R8007_M8010:30:12,R8007_M8010,30,12,0.3202,0.248,0.0252,0.047,14,,,
fast_base,R8007_M8010:30:13,R8007_M8010,30,13,0.4425,0.3672,0.0026,0.0727,14,,,
fast_base,R8007_M8010:30:14,R8007_M8010,30,14,0.4443,0.1943,0.0898,0.1601,22,,,
fast_base,R8007_M8011:30:0,R8007_M8011,30,0,0.0292,0.0004,0.0289,0.0,1,,,
fast_base,R8007_M8011:30:1,R8007_M8011,30,1,0.2016,0.1655,0.0318,0.0043,3,,,
fast_base,R8007_M8011:30:2,R8007_M8011,30,2,0.5231,0.4985,0.0118,0.0128,5,,,
fast_base,R8007_M8011:30:3,R8007_M8011,30,3,0.3932,0.2676,0.0106,0.115,7,,,
fast_base,R8007_M8011:30:4,R8007_M8011,30,4,0.3474,0.2569,0.014,0.0765,14,,,
fast_base,R8007_M8011:30:5,R8007_M8011,30,5,0.1944,0.1615,0.0293,0.0036,10,,,
fast_base,R8007_M8011:30:6,R8007_M8011,30,6,0.1864,0.0861,0.0296,0.0707,4,,,
fast_base,R8007_M8011:30:7,R8007_M8011,30,7,0.2778,0.2254,0.005,0.0474,9,,,
fast_base,R8007_M8011:30:8,R8007_M8011,30,8,0.3675,0.1936,0.0517,0.1222,20,,,
fast_base,R8007_M8011:30:9,R8007_M8011,30,9,0.5244,0.52,0.0,0.0043,4,,,
fast_base,R8007_M8011:30:10,R8007_M8011,30,10,0.4363,0.1255,0.0474,0.2634,12,,,
fast_base,R8007_M8011:30:11,R8007_M8011,30,11,0.3306,0.2548,0.0103,0.0655,12,,,
fast_base,R8007_M8011:30:12,R8007_M8011,30,12,0.2557,0.2487,0.007,0.0,6,,,
fast_base,R8007_M8011:30:13,R8007_M8011,30,13,0.2478,0.0706,0.0492,0.128,6,,,
fast_base,R8007_M8011:30:14,R8007_M8011,30,14,0.2101,0.2101,0.0,0.0,2,,,
fast_base,R8008_M8013:30:0,R8008_M8013,30,0,0.1221,0.0945,0.0203,0.0073,11,,,
fast_base,R8008_M8013:30:1,R8008_M8013,30,1,0.1723,0.1429,0.0278,0.0017,7,,,
fast_base,R8008_M8013:30:2,R8008_M8013,30,2,0.2364,0.1458,0.088,0.0025,10,,,
fast_base,R8008_M8013:30:3,R8008_M8013,30,3,0.1271,0.0218,0.0602,0.045,1,,,
fast_base,R8008_M8013:30:4,R8008_M8013,30,4,0.2592,0.1229,0.0379,0.0984,6,,,
fast_base,R8008_M8013:30:5,R8008_M8013,30,5,0.3157,0.1595,0.0073,0.1489,12,,,
fast_base,R8008_M8013:30:6,R8008_M8013,30,6,0.4012,0.2822,0.0377,0.0813,12,,,
fast_base,R8008_M8013:30:7,R8008_M8013,30,7,0.7929,0.7917,0.0,0.0012,4,,,
fast_base,R8008_M8013:30:8,R8008_M8013,30,8,0.4495,0.292,0.0218,0.1356,16,,,
fast_base,R8008_M8013:30:9,R8008_M8013,30,9,0.1744,0.0842,0.05,0.0401,12,,,
fast_base,R8008_M8013:30:10,R8008_M8013,30,10,0.2696,0.1119,0.1232,0.0345,12,,,
fast_base,R8008_M8013:30:11,R8008_M8013,30,11,0.2129,0.1873,0.0133,0.0123,6,,,
fast_base,R8008_M8013:30:12,R8008_M8013,30,12,0.2737,0.1846,0.0058,0.0833,2,,,
fast_base,R8008_M8013:30:13,R8008_M8013,30,13,0.2971,0.196,0.0364,0.0647,10,,,
fast_base,R8008_M8013:30:14,R8008_M8013,30,14,0.1964,0.1158,0.0539,0.0268,10,,,
fast_base,R8009_M8018:30:0,R8009_M8018,30,0,0.1802,0.1665,0.0114,0.0023,14,,,
fast_base,R8009_M8018:30:1,R8009_M8018,30,1,0.0757,0.0631,0.0077,0.0049,6,,,
fast_base,R8009_M8018:30:2,R8009_M8018,30,2,0.1143,0.0892,0.0251,0.0,10,,,
fast_base,R8009_M8018:30:3,R8009_M8018,30,3,0.2397,0.2188,0.0209,0.0,16,,,
fast_base,R8009_M8018:30:4,R8009_M8018,30,4,0.1084,0.0338,0.0729,0.0016,6,,,
fast_base,R8009_M8018:30:5,R8009_M8018,30,5,0.1191,0.0463,0.0565,0.0163,7,,,
fast_base,R8009_M8018:30:6,R8009_M8018,30,6,0.2232,0.161,0.0298,0.0324,19,,,
fast_base,R8009_M8018:30:7,R8009_M8018,30,7,0.1234,0.0944,0.0203,0.0087,11,,,
fast_base,R8009_M8018:30:8,R8009_M8018,30,8,0.1135,0.0975,0.016,0.0,7,,,
fast_base,R8009_M8018:30:9,R8009_M8018,30,9,0.1494,0.1171,0.0319,0.0003,9,,,
fast_base,R8009_M8018:30:10,R8009_M8018,30,10,0.1563,0.1154,0.0409,0.0,13,,,
fast_base,R8009_M8018:30:11,R8009_M8018,30,11,0.1561,0.1417,0.0144,0.0,16,,,
fast_base,R8009_M8018:30:12,R8009_M8018,30,12,0.1608,0.1324,0.0254,0.003,17,,,
fast_base,R8009_M8018:30:13,R8009_M8018,30,13,0.1372,0.1077,0.0239,0.0056,13,,,
fast_base,R8009_M8018:30:14,R8009_M8018,30,14,0.1243,0.0358,0.0763,0.0122,8,,,
fast_base,R8009_M8019:30:0,R8009_M8019,30,0,0.1031,0.0586,0.0391,0.0053,8,,,
fast_base,R8009_M8019:30:1,R8009_M8019,30,1,0.1226,0.0737,0.0328,0.016,13,,,
fast_base,R8009_M8019:30:2,R8009_M8019,30,2,0.1349,0.0802,0.0547,0.0,11,,,
fast_base,R8009_M8019:30:3,R8009_M8019,30,3,0.1393,0.1234,0.0138,0.0021,12,,,
fast_base,R8009_M8019:30:4,R8009_M8019,30,4,0.1446,0.1167,0.0279,0.0,12,,,
fast_base,R8009_M8019:30:5,R8009_M8019,30,5,0.131,0.0754,0.0556,0.0,4,,,
fast_base,R8009_M8019:30:6,R8009_M8019,30,6,0.1543,0.1484,0.0059,0.0,14,,,
fast_base,R8009_M8019:30:7,R8009_M8019,30,7,0.1894,0.1776,0.0118,0.0,17,,,
fast_base,R8009_M8019:30:8,R8009_M8019,30,8,0.0896,0.0655,0.0218,0.0022,9,,,
fast_base,R8009_M8019:30:9,R8009_M8019,30,9,0.1286,0.0568,0.0719,0.0,7,,,
fast_base,R8009_M8019:30:10,R8009_M8019,30,10,0.0728,0.0499,0.0229,0.0,8,,,
fast_base,R8009_M8019:30:11,R8009_M8019,30,11,0.054,0.0361,0.0179,0.0,7,,,
fast_base,R8009_M8019:30:12,R8009_M8019,30,12,0.1292,0.1265,0.0027,0.0,15,,,
fast_base,R8009_M8019:30:13,R8009_M8019,30,13,0.1754,0.1383,0.0371,0.0,13,,,
fast_base,R8009_M8019:30:14,R8009_M8019,30,14,0.1474,0.1352,0.0118,0.0003,17,,,
fast_base,R8009_M8020:30:0,R8009_M8020,30,0,0.1112,0.0847,0.0264,0.0,10,,,
fast_base,R8009_M8020:30:1,R8009_M8020,30,1,0.1045,0.0385,0.066,0.0,2,,,
fast_base,R8009_M8020:30:2,R8009_M8020,30,2,0.0744,0.0436,0.0295,0.0013,8,,,
fast_base,R8009_M8020:30:3,R8009_M8020,30,3,0.2328,0.1997,0.0172,0.0159,17,,,
fast_base,R8009_M8020:30:4,R8009_M8020,30,4,0.0918,0.0004,0.0914,0.0,2,,,
fast_base,R8009_M8020:30:5,R8009_M8020,30,5,0.105,0.0669,0.0372,0.001,4,,,
fast_base,R8009_M8020:30:6,R8009_M8020,30,6,0.1854,0.1792,0.0039,0.0022,14,,,
fast_base,R8009_M8020:30:7,R8009_M8020,30,7,0.1642,0.1388,0.021,0.0044,14,,,
fast_base,R8009_M8020:30:8,R8009_M8020,30,8,0.1134,0.0595,0.0509,0.003,8,,,
fast_base,R8009_M8020:30:9,R8009_M8020,30,9,0.0744,0.0224,0.0486,0.0034,2,,,
fast_base,R8009_M8020:30:10,R8009_M8020,30,10,0.1072,0.0758,0.0293,0.0021,12,,,
fast_base,R8009_M8020:30:11,R8009_M8020,30,11,0.0836,0.0557,0.0279,0.0,8,,,
fast_base,R8009_M8020:30:12,R8009_M8020,30,12,0.3331,0.3017,0.0197,0.0116,23,,,
fast_base,R8009_M8020:30:13,R8009_M8020,30,13,0.1099,0.0168,0.0931,0.0,5,,,
fast_base,R8009_M8020:30:14,R8009_M8020,30,14,0.1057,0.0227,0.083,0.0,3,,,
slow_base,R8001_M8004:30:0,R8001_M8004,30,0,0.0891,0.0521,0.037,0.0,7,,,
slow_base,R8001_M8004:30:1,R8001_M8004,30,1,0.2578,0.0557,0.0158,0.1863,10,,,
slow_base,R8001_M8004:30:2,R8001_M8004,30,2,0.0936,0.0615,0.0306,0.0015,9,,,
slow_base,R8001_M8004:30:3,R8001_M8004,30,3,0.0417,0.0114,0.0226,0.0077,9,1,,32
slow_base,R8001_M8004:30:4,R8001_M8004,30,4,0.3245,0.0752,0.0301,0.2192,24,,,
slow_base,R8001_M8004:30:5,R8001_M8004,30,5,0.2321,0.1399,0.0415,0.0506,17,2,1,104
slow_base,R8001_M8004:30:6,R8001_M8004,30,6,0.3184,0.1473,0.0604,0.1107,21,1,,12
slow_base,R8001_M8004:30:7,R8001_M8004,30,7,0.0731,0.0572,0.0095,0.0064,11,1,,392
slow_base,R8001_M8004:30:8,R8001_M8004,30,8,0.2471,0.1474,0.0101,0.0896,14,,,
slow_base,R8001_M8004:30:9,R8001_M8004,30,9,0.122,0.0971,0.0145,0.0104,17,1,,392
slow_base,R8001_M8004:30:10,R8001_M8004,30,10,0.1242,0.0873,0.0234,0.0135,19,1,,392
slow_base,R8001_M8004:30:11,R8001_M8004,30,11,0.1746,0.0333,0.0282,0.1132,16,1,,133
slow_base,R8001_M8004:30:12,R8001_M8004,30,12,0.3042,0.0647,0.018,0.2215,12,2,,224
slow_base,R8001_M8004:30:13,R8001_M8004,30,13,0.1447,0.0887,0.0407,0.0154,18,1,,392
slow_base,R8001_M8004:30:14,R8001_M8004,30,14,0.1409,0.0699,0.0367,0.0343,13,1,,392
slow_base,R8003_M8001:30:0,R8003_M8001,30,0,0.1029,0.041,0.0287,0.0331,11,1,,392
slow_base,R8003_M8001:30:1,R8003_M8001,30,1,0.0272,0.0151,0.0121,0.0,6,1,,192
slow_base,R8003_M8001:30:2,R8003_M8001,30,2,0.0838,0.0461,0.0271,0.0106,12,1,,392
slow_base,R8003_M8001:30:3,R8003_M8001,30,3,0.0278,0.0036,0.0166,0.0076,10,,,
slow_base,R8003_M8001:30:4,R8003_M8001,30,4,0.1033,0.0246,0.0325,0.0462,12,,,
slow_base,R8003_M8001:30:5,R8003_M8001,30,5,0.0738,0.0295,0.0443,0.0,12,1,,392
slow_base,R8003_M8001:30:6,R8003_M8001,30,6,0.0576,0.0406,0.0169,0.0002,7,1,,133
slow_base,R8003_M8001:30:7,R8003_M8001,30,7,0.1496,0.0971,0.0246,0.0279,9,2,,64
slow_base,R8003_M8001:30:8,R8003_M8001,30,8,0.361,0.073,0.1141,0.1739,19,1,1,192
slow_base,R8003_M8001:30:9,R8003_M8001,30,9,3.5947,0.006,3.3484,0.2403,5,1,,392
slow_base,R8003_M8001:30:10,R8003_M8001,30,10,0.1406,0.0584,0.0472,0.035,15,1,,12
slow_base,R8003_M8001:30:11,R8003_M8001,30,11,0.1502,0.067,0.042,0.0413,11,1,,133
slow_base,R8003_M8001:30:12,R8003_M8001,30,12,0.0683,0.0223,0.0459,0.0,8,1,,52
slow_base,R8003_M8001:30:13,R8003_M8001,30,13,0.2381,0.0407,0.0622,0.1353,11,1,,392
slow_base,R8003_M8001:30:14,R8003_M8001,30,14,0.5533,0.0431,0.5102,0.0,7,,,
slow_base,R8007_M8010:30:0,R8007_M8010,30,0,0.1852,0.0589,0.0441,0.0823,23,2,,84
slow_base,R8007_M8010:30:1,R8007_M8010,30,1,0.2874,0.0726,0.0404,0.1744,24,1,,392
slow_base,R8007_M8010:30:2,R8007_M8010,30,2,0.2507,0.0945,0.0345,0.1217,19,1,,392
slow_base,R8007_M8010:30:3,R8007_M8010,30,3,0.2989,0.151,0.0622,0.0857,19,2,1,204
slow_base,R8007_M8010:30:4,R8007_M8010,30,4,0.243,0.1274,0.0229,0.0927,20,1,,12
slow_base,R8007_M8010:30:5,R8007_M8010,30,5,0.2825,0.1757,0.0345,0.0724,18,,,
slow_base,R8007_M8010:30:6,R8007_M8010,30,6,0.1525,0.0579,0.0525,0.0421,23,1,,392
slow_base,R8007_M8010:30:7,R8007_M8010,30,7,0.2928,0.1453,0.0194,0.1281,13,1,,113
slow_base,R8007_M8010:30:8,R8007_M8010,30,8,0.1964,0.0896,0.0602,0.0465,21,1,,392
slow_base,R8007_M8010:30:9,R8007_M8010,30,9,0.2387,0.1192,0.0129,0.1066,15,2,,444
slow_base,R8007_M8010:30:10,R8007_M8010,30,10,0.2711,0.1021,0.0225,0.1466,13,1,,392
slow_base,R8007_M8010:30:11,R8007_M8010,30,11,0.1469,0.0432,0.0478,0.0558,19,2,,166
slow_base,R8007_M8010:30:12,R8007_M8010,30,12,0.1915,0.0973,0.0247,0.0695,19,,,
slow_base,R8007_M8010:30:13,R8007_M8010,30,13,0.2509,0.1251,0.0623,0.0635,14,2,,404
slow_base,R8007_M8010:30:14,R8007_M8010,30,14,0.369,0.0814,0.0484,0.2392,16,2,1,224
slow_base,R8007_M8011:30:0,R8007_M8011,30,0,0.0325,0.0145,0.018,0.0,3,1,,232
slow_base,R8007_M8011:30:1,R8007_M8011,30,1,0.0896,0.0128,0.0379,0.039,14,1,,93
slow_base,R8007_M8011:30:2,R8007_M8011,30,2,0.133,0.0668,0.0248,0.0413,13,1,,93
slow_base,R8007_M8011:30:3,R8007_M8011,30,3,0.1797,0.0171,0.0353,0.1274,7,1,,392
slow_base,R8007_M8011:30:4,R8007_M8011,30,4,0.2536,0.0505,0.0365,0.1667,15,1,,392
slow_base,R8007_M8011:30:5,R8007_M8011,30,5,0.0215,0.0098,0.0117,0.0,9,1,,392
slow_base,R8007_M8011:30:6,R8007_M8011,30,6,0.1598,0.0187,0.0487,0.0924,9,1,,392
slow_base,R8007_M8011:30:7,R8007_M8011,30,7,0.198,0.0272,0.0271,0.1437,13,,,
slow_base,R8007_M8011:30:8,R8007_M8011,30,8,0.4266,0.0349,0.0792,0.3125,12,1,,52
slow_base,R8007_M8011:30:9,R8007_M8011,30,9,0.1405,0.0215,0.0363,0.0827,12,1,,392
slow_base,R8007_M8011:30:10,R8007_M8011,30,10,0.2698,0.0335,0.0402,0.1961,17,,,
slow_base,R8007_M8011:30:11,R8007_M8011,30,11,0.1851,0.02,0.0281,0.137,14,,,
slow_base,R8007_M8011:30:12,R8007_M8011,30,12,0.1351,0.0296,0.0394,0.0661,12,1,,52
slow_base,R8007_M8011:30:13,R8007_M8011,30,13,0.1715,0.0202,0.0441,0.1071,11,,,
slow_base,R8007_M8011:30:14,R8007_M8011,30,14,0.074,0.0044,0.0189,0.0506,6,1,,392
slow_base,R8008_M8013:30:0,R8008_M8013,30,0,0.0368,0.0047,0.0289,0.0032,8,1,,392
slow_base,R8008_M8013:30:1,R8008_M8013,30,1,0.0771,0.0049,0.0722,0.0,9,,,
slow_base,R8008_M8013:30:2,R8008_M8013,30,2,0.2265,0.0249,0.031,0.1706,10,1,,392
slow_base,R8008_M8013:30:3,R8008_M8013,30,3,0.1117,0.0167,0.0669,0.0281,8,1,,392
slow_base,R8008_M8013:30:4,R8008_M8013,30,4,0.2039,0.0266,0.0311,0.1462,8,1,,392
slow_base,R8008_M8013:30:5,R8008_M8013,30,5,0.1516,0.0637,0.0229,0.065,16,1,,392
slow_base,R8008_M8013:30:6,R8008_M8013,30,6,0.2471,0.0263,0.0639,0.157,22,1,,392
slow_base,R8008_M8013:30:7,R8008_M8013,30,7,0.159,0.0454,0.1063,0.0072,16,2,,424
slow_base,R8008_M8013:30:8,R8008_M8013,30,8,0.3288,0.0415,0.1317,0.1556,24,1,,392
slow_base,R8008_M8013:30:9,R8008_M8013,30,9,0.1044,0.0167,0.0751,0.0126,12,1,,392
slow_base,R8008_M8013:30:10,R8008_M8013,30,10,0.2261,0.1092,0.0953,0.0216,11,1,,392
slow_base,R8008_M8013:30:11,R8008_M8013,30,11,0.1771,0.0085,0.1132,0.0554,10,1,,133
slow_base,R8008_M8013:30:12,R8008_M8013,30,12,0.1399,0.0816,0.0308,0.0275,8,2,,404
slow_base,R8008_M8013:30:13,R8008_M8013,30,13,0.2109,0.0463,0.1264,0.0382,19,1,,392
slow_base,R8008_M8013:30:14,R8008_M8013,30,14,0.0994,0.0683,0.0187,0.0124,7,1,,392
slow_base,R8009_M8018:30:0,R8009_M8018,30,0,0.0875,0.0559,0.0316,0.0,8,1,,133
slow_base,R8009_M8018:30:1,R8009_M8018,30,1,0.0701,0.0371,0.0321,0.001,5,1,,392
slow_base,R8009_M8018:30:2,R8009_M8018,30,2,0.0429,0.0006,0.0423,0.0,6,1,,113
slow_base,R8009_M8018:30:3,R8009_M8018,30,3,0.2048,0.0325,0.1118,0.0605,7,1,,392
slow_base,R8009_M8018:30:4,R8009_M8018,30,4,0.1005,0.0497,0.0509,0.0,5,,,
slow_base,R8009_M8018:30:5,R8009_M8018,30,5,0.097,0.044,0.0508,0.0022,6,1,,152
slow_base,R8009_M8018:30:6,R8009_M8018,30,6,0.0963,0.0327,0.0486,0.0151,5,1,,392
slow_base,R8009_M8018:30:7,R8009_M8018,30,7,0.0939,0.051,0.0321,0.0109,4,1,,392
slow_base,R8009_M8018:30:8,R8009_M8018,30,8,0.1073,0.0552,0.0521,0.0,5,1,,392
slow_base,R8009_M8018:30:9,R8009_M8018,30,9,0.1192,0.0581,0.0314,0.0297,7,,,
slow_base,R8009_M8018:30:10,R8009_M8018,30,10,0.1092,0.0437,0.0592,0.0063,7,1,,392
slow_base,R8009_M8018:30:11,R8009_M8018,30,11,0.0794,0.0306,0.0489,0.0,8,2,,465
slow_base,R8009_M8018:30:12,R8009_M8018,30,12,0.1657,0.0705,0.0838,0.0114,18,1,,392
slow_base,R8009_M8018:30:13,R8009_M8018,30,13,0.0995,0.0245,0.075,0.0,7,1,,133
slow_base,R8009_M8018:30:14,R8009_M8018,30,14,0.0771,0.0101,0.0665,0.0004,7,,,
slow_base,R8009_M8019:30:0,R8009_M8019,30,0,0.0313,0.0224,0.0089,0.0,9,,,
slow_base,R8009_M8019:30:1,R8009_M8019,30,1,0.0535,0.034,0.0195,0.0,13,,,
slow_base,R8009_M8019:30:2,R8009_M8019,30,2,0.0623,0.0454,0.0169,0.0,8,1,,52
slow_base,R8009_M8019:30:3,R8009_M8019,30,3,0.0421,0.0273,0.0148,0.0,7,1,,392
slow_base,R8009_M8019:30:4,R8009_M8019,30,4,0.0798,0.0447,0.0351,0.0,8,,,
slow_base,R8009_M8019:30:5,R8009_M8019,30,5,0.0221,0.0113,0.0108,0.0,5,1,,93
slow_base,R8009_M8019:30:6,R8009_M8019,30,6,0.0654,0.0579,0.0075,0.0,8,,,
slow_base,R8009_M8019:30:7,R8009_M8019,30,7,0.0875,0.0531,0.0344,0.0,8,,,
slow_base,R8009_M8019:30:8,R8009_M8019,30,8,0.0592,0.0241,0.0351,0.0,6,,,
slow_base,R8009_M8019:30:9,R8009_M8019,30,9,0.0953,0.0364,0.0589,0.0,9,1,,73
slow_base,R8009_M8019:30:10,R8009_M8019,30,10,0.0573,0.0256,0.0317,0.0,6,1,,52
slow_base,R8009_M8019:30:11,R8009_M8019,30,11,0.0659,0.0629,0.0017,0.0014,11,1,,93
slow_base,R8009_M8019:30:12,R8009_M8019,30,12,0.0333,0.0314,0.002,0.0,2,,,
slow_base,R8009_M8019:30:13,R8009_M8019,30,13,0.0222,0.0137,0.0085,0.0,9,,,
slow_base,R8009_M8019:30:14,R8009_M8019,30,14,0.088,0.0494,0.0295,0.0092,12,2,,146
slow_base,R8009_M8020:30:0,R8009_M8020,30,0,0.0778,0.0538,0.0241,0.0,10,1,,93
slow_base,R8009_M8020:30:1,R8009_M8020,30,1,0.0175,0.0025,0.0151,0.0,8,1,,113
slow_base,R8009_M8020:30:2,R8009_M8020,30,2,0.0482,0.015,0.0323,0.0009,7,1,,133
slow_base,R8009_M8020:30:3,R8009_M8020,30,3,0.1681,0.1289,0.0367,0.0025,9,,,
slow_base,R8009_M8020:30:4,R8009_M8020,30,4,0.0223,0.0033,0.019,0.0,6,1,,93
slow_base,R8009_M8020:30:5,R8009_M8020,30,5,0.055,0.0371,0.0178,0.0,7,1,,73
slow_base,R8009_M8020:30:6,R8009_M8020,30,6,0.0529,0.0471,0.0046,0.0012,10,1,,133
slow_base,R8009_M8020:30:7,R8009_M8020,30,7,0.042,0.0334,0.0086,0.0,12,,,
slow_base,R8009_M8020:30:8,R8009_M8020,30,8,0.0661,0.0453,0.0208,0.0,7,1,,133
slow_base,R8009_M8020:30:9,R8009_M8020,30,9,0.0189,0.0172,0.0017,0.0,7,1,,73
slow_base,R8009_M8020:30:10,R8009_M8020,30,10,0.0416,0.0367,0.0049,0.0,8,1,,93
slow_base,R8009_M8020:30:11,R8009_M8020,30,11,0.0483,0.0326,0.0157,0.0,7,,,
slow_base,R8009_M8020:30:12,R8009_M8020,30,12,0.0302,0.014,0.0161,0.0001,14,1,,32
slow_base,R8009_M8020:30:13,R8009_M8020,30,13,0.0812,0.0604,0.0208,0.0,7,1,,93
slow_base,R8009_M8020:30:14,R8009_M8020,30,14,0.0216,0.0147,0.007,0.0,6,,,
rule_recover_policy_sweep_best,R8001_M8004:30:0,R8001_M8004,30,0,0.229,0.1614,0.0123,0.0553,8,,,
rule_recover_policy_sweep_best,R8001_M8004:30:1,R8001_M8004,30,1,0.4068,0.1727,0.0114,0.2227,7,,,
rule_recover_policy_sweep_best,R8001_M8004:30:2,R8001_M8004,30,2,0.216,0.1898,0.0261,0.0,14,,,
rule_recover_policy_sweep_best,R8001_M8004:30:3,R8001_M8004,30,3,0.1905,0.1123,0.0602,0.0181,20,,,
rule_recover_policy_sweep_best,R8001_M8004:30:4,R8001_M8004,30,4,0.6839,0.3742,0.0021,0.3076,7,,,
rule_recover_policy_sweep_best,R8001_M8004:30:5,R8001_M8004,30,5,0.6879,0.4776,0.0068,0.2035,8,1,,52
rule_recover_policy_sweep_best,R8001_M8004:30:6,R8001_M8004,30,6,0.6824,0.4814,0.0,0.201,7,,,
rule_recover_policy_sweep_best,R8001_M8004:30:7,R8001_M8004,30,7,0.1841,0.1571,0.0242,0.0028,13,,,
rule_recover_policy_sweep_best,R8001_M8004:30:8,R8001_M8004,30,8,0.5871,0.4607,0.0745,0.052,10,,,
rule_recover_policy_sweep_best,R8001_M8004:30:9,R8001_M8004,30,9,0.6636,0.3527,0.0,0.3109,9,,,
rule_recover_policy_sweep_best,R8001_M8004:30:10,R8001_M8004,30,10,0.3614,0.1991,0.1007,0.0617,17,,,
rule_recover_policy_sweep_best,R8001_M8004:30:11,R8001_M8004,30,11,0.2661,0.2641,0.0,0.002,6,,,
