window_id,recording_id,segment_idx,window_decision,window_reason,patch_count,patch_bucket,call_seconds,correction_delay_avgslow_seconds,prompt_tokens,completion_tokens,total_tokens,tokens_per_patch,seconds_per_patch,patch_decision_counts
R8003_M8001:30:6,R8003_M8001,6,quarantine,deployable_proxy_flags_speech_too_long,12,03_6-15,13.701,38.348,3194,1800,4994,416.2,1.142,quarantine 12
R8009_M8018:30:8,R8009_M8018,8,quarantine,slow_proxy_risk_quarantine,12,03_6-15,15.347,39.994,3104,2048,5152,429.3,1.279,defer 6 / quarantine 6
R8001_M8004:30:12,R8001_M8004,12,quarantine,deployable_proxy_risk_window,11,03_6-15,14.336,38.983,4314,2118,6432,584.7,1.303,quarantine 11
R8001_M8004:30:9,R8001_M8004,9,quarantine,proxy_risk_window_cross_model_disagreement_high,11,03_6-15,9.418,34.065,4400,1694,6094,554.0,0.856,quarantine 11
R8009_M8018:30:1,R8009_M8018,1,quarantine,deployable_proxy_abnormal_flags,11,03_6-15,19.401,44.048,3028,2868,5896,536.0,1.764,quarantine 11
R8009_M8020:30:5,R8009_M8020,5,quarantine,deployable_proxy_flag_pred_speech_too_long,11,03_6-15,16.48,41.127,3010,2523,5533,503.0,1.498,defer 11
R8001_M8004:30:5,R8001_M8004,5,quarantine,deployable_proxy_flags_and_cross_model_disagreement,10,03_6-15,17.054,41.701,4048,1932,5980,598.0,1.705,quarantine 10
R8008_M8013:30:12,R8008_M8013,12,quarantine,cross_model_speaker_count_mismatch,10,03_6-15,18.156,42.803,3109,2427,5536,553.6,1.816,quarantine 10
R8009_M8020:30:1,R8009_M8020,1,quarantine,proxy_flag_contamination_risk,10,03_6-15,11.57,36.217,2821,1578,4399,439.9,1.157,defer 1 / quarantine 9
R8008_M8013:30:3,R8008_M8013,3,quarantine,proxy_flags_speaker_count_mismatch_and_speech_too_long,9,03_6-15,7.772,32.419,2876,1353,4229,469.9,0.864,quarantine 9
R8009_M8019:30:5,R8009_M8019,5,quarantine,pred_speech_too_long_proxy_flags,9,03_6-15,13.787,38.434,2565,2257,4822,535.8,1.532,quarantine 9
R8009_M8020:30:9,R8009_M8020,9,review,proxy_flag_and_long_speech,9,03_6-15,25.726,50.373,2591,2837,5428,603.1,2.858,accept 7 / defer 2
R8007_M8011:30:14,R8007_M8011,14,quarantine,multiple_proxy_risk_flags,8,03_6-15,16.868,41.515,2588,2425,5013,626.6,2.108,quarantine 8
R8009_M8020:30:4,R8009_M8020,4,quarantine,fast_pred_speech_too_long_proxy,8,03_6-15,16.931,41.578,2207,2176,4383,547.9,2.116,quarantine 8
R8003_M8001:30:11,R8003_M8001,11,quarantine,proxy_risk_window_with_mismatch_and_overflow,7,03_6-15,9.713,34.36,2367,1501,3868,552.6,1.388,quarantine 7
R8001_M8004:30:13,R8001_M8004,13,quarantine,cross_model_speaker_count_mismatch_and_pred_speech_too_long,6,03_6-15,10.748,35.395,2138,1169,3307,551.2,1.791,quarantine 6
R8001_M8004:30:6,R8001_M8004,6,quarantine,high_proxy_risk_window,6,03_6-15,8.607,33.254,2518,1362,3880,646.7,1.434,quarantine 6
R8001_M8004:30:8,R8001_M8004,8,quarantine,multiple_deployable_proxy_flags_and_slow_fast_disagreement,5,02_3-5,7.701,32.348,2082,1207,3289,657.8,1.54,quarantine 5
R8007_M8011:30:2,R8007_M8011,2,quarantine,deployable_proxy_flags_high_risk,5,02_3-5,9.846,34.493,2387,1245,3632,726.4,1.969,quarantine 5
R8007_M8011:30:9,R8007_M8011,9,quarantine,window_has_deployable_proxy_flags,5,02_3-5,6.672,31.319,2390,1135,3525,705.0,1.334,quarantine 5
R8008_M8013:30:6,R8008_M8013,6,quarantine,cross_model_disagreement_high_proxy_flags,5,02_3-5,9.77,34.417,2054,1260,3314,662.8,1.954,quarantine 5
R8003_M8001:30:13,R8003_M8001,13,quarantine,slow_proxy_window_requires_quarantine,4,02_3-5,9.915,34.562,1486,970,2456,614.0,2.479,quarantine 4
R8007_M8011:30:0,R8007_M8011,0,quarantine,window_has_proxy_flag,4,02_3-5,12.168,36.815,1399,1829,3228,807.0,3.042,defer 4
R8008_M8013:30:8,R8008_M8013,8,quarantine,deployable_proxy_flags,4,02_3-5,5.956,30.603,1762,911,2673,668.2,1.489,quarantine 4
R8001_M8004:30:3,R8001_M8004,3,quarantine,proxy_risk_window,3,02_3-5,16.407,41.054,1264,2027,3291,1097.0,5.469,quarantine 3
R8003_M8001:30:3,R8003_M8001,3,quarantine,multiple_proxy_flags_and_speaker_count_mismatch,3,02_3-5,6.794,31.441,1425,670,2095,698.3,2.265,quarantine 3
R8003_M8001:30:8,R8003_M8001,8,quarantine,slow_proxy_risk_window_requires_quarantine,3,02_3-5,8.107,32.754,1439,975,2414,804.7,2.702,quarantine 3
R8007_M8010:30:1,R8007_M8010,1,quarantine,cross_model_speaker_count_mismatch_and_pred_speech_too_long,3,02_3-5,8.181,32.828,1419,1124,2543,847.7,2.727,quarantine 3
R8007_M8011:30:3,R8007_M8011,3,quarantine,deployable_proxy_abnormal_flags,3,02_3-5,4.497,29.144,1261,710,1971,657.0,1.499,quarantine 3
R8007_M8011:30:4,R8007_M8011,4,quarantine,slow_proxy_window_requires_review,3,02_3-5,12.045,36.692,1262,1375,2637,879.0,4.015,defer 1 / quarantine 2
R8008_M8013:30:11,R8008_M8013,11,quarantine,speaker_count_mismatch_and_speech_too_long,3,02_3-5,7.631,32.278,1392,1065,2457,819.0,2.544,quarantine 3
R8008_M8013:30:13,R8008_M8013,13,quarantine,deployable_proxy_risk_window,3,02_3-5,10.972,35.619,1371,1286,2657,885.7,3.657,quarantine 3
R8009_M8018:30:3,R8009_M8018,3,quarantine,proxy_flags_triggered_quarantine,3,02_3-5,8.621,33.268,1372,1075,2447,815.7,2.874,quarantine 3
R8009_M8020:30:3,R8009_M8020,3,quarantine,deployable_proxy_flag_present,3,02_3-5,17.984,42.631,1323,2260,3583,1194.3,5.995,accept 2 / quarantine 1
