window_id,model,patch_count,window_decision,window_reason,call_seconds,prompt_tokens,completion_tokens,total_tokens,patch_decision_counts,error
R8003_M8001:30:0,deepseek-v4-flash,27,quarantine,high_risk_proxy_flags,22.289,7058,3916,10974,quarantine 27,
R8003_M8001:30:5,deepseek-v4-flash,27,quarantine,slow_proxy_risk_window,29.743,6296,4291,10587,defer 26 / quarantine 1,
R8007_M8011:30:11,deepseek-v4-flash,26,quarantine,proxy_flags_and_speaker_count_mismatch,22.124,6860,3134,9994,quarantine 26,
R8009_M8020:30:7,deepseek-v4-flash,26,quarantine,slow_proxy_risk_window_flags,26.492,6028,4074,10102,quarantine 26,
R8003_M8001:30:4,deepseek-v4-flash,25,quarantine,proxy_speech_too_long_with_abnormal_flags,20.824,6146,3287,9433,defer 25,
R8009_M8019:30:7,deepseek-v4-flash,25,quarantine,proxy_risk_cross_model_gap,23.066,6234,3865,10099,defer 24 / quarantine 1,
R8001_M8004:30:7,deepseek-v4-flash,24,quarantine,cross_model_speaker_count_mismatch,16.384,6077,2840,8917,quarantine 24,
R8003_M8001:30:7,deepseek-v4-flash,24,quarantine,deployable_proxy_risk,18.579,6619,3482,10101,defer 23 / quarantine 1,
R8008_M8013:30:9,deepseek-v4-flash,24,quarantine,proxy_risk_window_multiple_flags,25.831,6548,3699,10247,defer 24,
R8009_M8018:30:11,deepseek-v4-flash,24,quarantine,deployable_proxy_flags_and_disagreement,29.031,6175,4055,10230,defer 13 / quarantine 11,
R8009_M8018:30:6,deepseek-v4-flash,24,quarantine,proxy_flagged_window_requires_quarantine,21.85,6236,3959,10195,defer 22 / quarantine 2,
R8009_M8020:30:6,deepseek-v4-flash,24,quarantine,proxy_flagged_window,29.073,5590,4370,9960,defer 23 / quarantine 1,
R8001_M8004:30:2,deepseek-v4-flash,23,quarantine,multiple_proxy_flags_speaker_count_mismatch_and_speech_length_disagreement,21.604,6138,3694,9832,defer 22 / quarantine 1,
R8003_M8001:30:12,deepseek-v4-flash,23,review,slow_proxy_risk_flagged,35.731,5454,5053,10507,accept 10 / defer 12 / quarantine 1,
R8001_M8004:30:11,deepseek-v4-flash,22,quarantine,multiple_proxy_risk_flags,19.39,6636,3328,9964,quarantine 22,
R8007_M8011:30:7,deepseek-v4-flash,22,quarantine,deployable_proxy_abnormal_flags_and_risk_window,25.016,5433,3539,8972,quarantine 22,
R8009_M8018:30:0,deepseek-v4-flash,22,review,proxy_flag_requires_review,27.128,5233,4343,9576,accept 9 / defer 12 / quarantine 1,
R8003_M8001:30:14,deepseek-v4-flash,20,quarantine,proxy_risk_window_with_spk_count_mismatch,23.194,5376,3245,8621,defer 19 / quarantine 1,
R8008_M8013:30:2,deepseek-v4-flash,20,quarantine,cross_model_speaker_count_mismatch,14.312,5143,2093,7236,quarantine 20,
R8009_M8018:30:10,deepseek-v4-flash,20,quarantine,proxy_flags_and_abnormal_window,18.455,5001,3177,8178,defer 19 / quarantine 1,
R8009_M8018:30:13,deepseek-v4-flash,20,quarantine,deployable_proxy_flags_quarantine,25.911,4944,3346,8290,quarantine 20,
R8003_M8001:30:1,deepseek-v4-flash,19,review,slow_pred_speech_too_long_proxy_flag,27.992,4589,4217,8806,accept 5 / defer 13 / quarantine 1,
R8003_M8001:30:9,deepseek-v4-flash,19,quarantine,proxy_flags_quarantine,22.447,5061,3205,8266,defer 14 / quarantine 5,
R8007_M8011:30:5,deepseek-v4-flash,19,quarantine,pred_speech_too_long_with_proxy_flags,18.279,4742,2557,7299,quarantine 19,
R8008_M8013:30:0,deepseek-v4-flash,19,quarantine,deployable_proxy_risk_window,24.48,4557,3373,7930,quarantine 19,
R8009_M8019:30:2,deepseek-v4-flash,19,quarantine,deployable_proxy_abnormal_flags,18.33,4762,2772,7534,quarantine 19,
R8009_M8019:30:3,deepseek-v4-flash,19,quarantine,slow_proxy_anomaly_window,17.289,4530,2942,7472,quarantine 19,
R8007_M8011:30:12,deepseek-v4-flash,18,quarantine,deployable_proxy_risk_window,18.74,4353,3179,7532,defer 4 / quarantine 14,
R8007_M8011:30:1,deepseek-v4-flash,17,quarantine,high_risk_proxy_window,19.257,5242,2661,7903,quarantine 17,
R8007_M8011:30:13,deepseek-v4-flash,17,quarantine,pred_speech_exceeds_window_anomaly,23.061,4302,3179,7481,quarantine 17,
R8008_M8013:30:14,deepseek-v4-flash,17,quarantine,window_quarantine_due_to_proxy_flags,16.272,4858,2770,7628,defer 9 / quarantine 8,
R8009_M8019:30:12,deepseek-v4-flash,17,quarantine,proxy_risk_quarantine,17.859,4571,2744,7315,defer 13 / quarantine 4,
R8001_M8004:30:1,deepseek-v4-flash,16,quarantine,cross_model_speaker_count_mismatch,29.35,4476,3694,8170,defer 15 / quarantine 1,
R8008_M8013:30:1,deepseek-v4-flash,16,review,proxy_flag_review_needed,18.899,3942,3335,7277,accept 8 / defer 7 / quarantine 1,
R8009_M8019:30:9,deepseek-v4-flash,16,quarantine,proxy_risk_flags_and_abnormal_speech_duration,13.302,4089,2410,6499,quarantine 16,
R8001_M8004:30:0,deepseek-v4-flash,15,quarantine,proxy_flags_and_speaker_count_mismatch,18.401,4181,2585,6766,defer 15,
R8009_M8018:30:14,deepseek-v4-flash,15,quarantine,deployable_proxy_abnormal_flags,14.02,3900,2280,6180,quarantine 15,
R8009_M8019:30:8,deepseek-v4-flash,15,quarantine,deployable_proxy_flags_and_speech_too_long,16.814,3844,2620,6464,quarantine 15,
R8009_M8020:30:11,deepseek-v4-flash,15,quarantine,proxy_flag_high_risk_window,21.787,3895,2581,6476,quarantine 15,
R8009_M8020:30:2,deepseek-v4-flash,15,quarantine,proxy_speech_too_long_abnormal,14.565,3883,2563,6446,quarantine 15,
R8009_M8020:30:8,deepseek-v4-flash,15,quarantine,deployable_proxy_abnormal_flags_present,26.627,3923,3437,7360,defer 4 / quarantine 11,
R8001_M8004:30:4,deepseek-v4-flash,14,quarantine,proxy_risk_window,13.793,5396,2259,7655,quarantine 14,
R8008_M8013:30:4,deepseek-v4-flash,14,quarantine,slow_pred_speech_too_long_proxy,19.819,3526,2581,6107,quarantine 14,
R8009_M8019:30:10,deepseek-v4-flash,14,quarantine,proxy_speech_too_long,20.064,3629,3142,6771,quarantine 14,
R8007_M8011:30:6,deepseek-v4-flash,13,review,cross_model_speaker_count_mismatch_and_speech_too_long,19.075,3826,3033,6859,defer 13,
R8008_M8013:30:7,deepseek-v4-flash,13,quarantine,multiple_proxy_flags,19.304,5005,2621,7626,quarantine 13,
R8009_M8018:30:5,deepseek-v4-flash,13,quarantine,pred_speech_too_long_proxy_flag,13.877,3444,2238,5682,defer 13,
R8003_M8001:30:6,deepseek-v4-flash,12,quarantine,deployable_proxy_flags_speech_too_long,13.701,3194,1800,4994,quarantine 12,
R8009_M8018:30:8,deepseek-v4-flash,12,quarantine,slow_proxy_risk_quarantine,15.347,3104,2048,5152,defer 6 / quarantine 6,
R8001_M8004:30:12,deepseek-v4-flash,11,quarantine,deployable_proxy_risk_window,14.336,4314,2118,6432,quarantine 11,
R8001_M8004:30:9,deepseek-v4-flash,11,quarantine,proxy_risk_window_cross_model_disagreement_high,9.418,4400,1694,6094,quarantine 11,
R8009_M8018:30:1,deepseek-v4-flash,11,quarantine,deployable_proxy_abnormal_flags,19.401,3028,2868,5896,quarantine 11,
R8009_M8020:30:5,deepseek-v4-flash,11,quarantine,deployable_proxy_flag_pred_speech_too_long,16.48,3010,2523,5533,defer 11,
R8001_M8004:30:5,deepseek-v4-flash,10,quarantine,deployable_proxy_flags_and_cross_model_disagreement,17.054,4048,1932,5980,quarantine 10,
R8008_M8013:30:12,deepseek-v4-flash,10,quarantine,cross_model_speaker_count_mismatch,18.156,3109,2427,5536,quarantine 10,
R8009_M8020:30:1,deepseek-v4-flash,10,quarantine,proxy_flag_contamination_risk,11.57,2821,1578,4399,defer 1 / quarantine 9,
R8008_M8013:30:3,deepseek-v4-flash,9,quarantine,proxy_flags_speaker_count_mismatch_and_speech_too_long,7.772,2876,1353,4229,quarantine 9,
R8009_M8019:30:5,deepseek-v4-flash,9,quarantine,pred_speech_too_long_proxy_flags,13.787,2565,2257,4822,quarantine 9,
R8009_M8020:30:9,deepseek-v4-flash,9,review,proxy_flag_and_long_speech,25.726,2591,2837,5428,accept 7 / defer 2,
R8007_M8011:30:14,deepseek-v4-flash,8,quarantine,multiple_proxy_risk_flags,16.868,2588,2425,5013,quarantine 8,
R8009_M8020:30:4,deepseek-v4-flash,8,quarantine,fast_pred_speech_too_long_proxy,16.931,2207,2176,4383,quarantine 8,
R8003_M8001:30:11,deepseek-v4-flash,7,quarantine,proxy_risk_window_with_mismatch_and_overflow,9.713,2367,1501,3868,quarantine 7,
R8001_M8004:30:13,deepseek-v4-flash,6,quarantine,cross_model_speaker_count_mismatch_and_pred_speech_too_long,10.748,2138,1169,3307,quarantine 6,
R8001_M8004:30:6,deepseek-v4-flash,6,quarantine,high_proxy_risk_window,8.607,2518,1362,3880,quarantine 6,
R8001_M8004:30:8,deepseek-v4-flash,5,quarantine,multiple_deployable_proxy_flags_and_slow_fast_disagreement,7.701,2082,1207,3289,quarantine 5,
R8007_M8011:30:2,deepseek-v4-flash,5,quarantine,deployable_proxy_flags_high_risk,9.846,2387,1245,3632,quarantine 5,
R8007_M8011:30:9,deepseek-v4-flash,5,quarantine,window_has_deployable_proxy_flags,6.672,2390,1135,3525,quarantine 5,
R8008_M8013:30:6,deepseek-v4-flash,5,quarantine,cross_model_disagreement_high_proxy_flags,9.77,2054,1260,3314,quarantine 5,
R8003_M8001:30:13,deepseek-v4-flash,4,quarantine,slow_proxy_window_requires_quarantine,9.915,1486,970,2456,quarantine 4,
R8007_M8011:30:0,deepseek-v4-flash,4,quarantine,window_has_proxy_flag,12.168,1399,1829,3228,defer 4,
R8008_M8013:30:8,deepseek-v4-flash,4,quarantine,deployable_proxy_flags,5.956,1762,911,2673,quarantine 4,
R8001_M8004:30:3,deepseek-v4-flash,3,quarantine,proxy_risk_window,16.407,1264,2027,3291,quarantine 3,
R8003_M8001:30:3,deepseek-v4-flash,3,quarantine,multiple_proxy_flags_and_speaker_count_mismatch,6.794,1425,670,2095,quarantine 3,
R8003_M8001:30:8,deepseek-v4-flash,3,quarantine,slow_proxy_risk_window_requires_quarantine,8.107,1439,975,2414,quarantine 3,
R8007_M8010:30:1,deepseek-v4-flash,3,quarantine,cross_model_speaker_count_mismatch_and_pred_speech_too_long,8.181,1419,1124,2543,quarantine 3,
R8007_M8011:30:3,deepseek-v4-flash,3,quarantine,deployable_proxy_abnormal_flags,4.497,1261,710,1971,quarantine 3,
R8007_M8011:30:4,deepseek-v4-flash,3,quarantine,slow_proxy_window_requires_review,12.045,1262,1375,2637,defer 1 / quarantine 2,
R8008_M8013:30:11,deepseek-v4-flash,3,quarantine,speaker_count_mismatch_and_speech_too_long,7.631,1392,1065,2457,quarantine 3,
R8008_M8013:30:13,deepseek-v4-flash,3,quarantine,deployable_proxy_risk_window,10.972,1371,1286,2657,quarantine 3,
R8009_M8018:30:3,deepseek-v4-flash,3,quarantine,proxy_flags_triggered_quarantine,8.621,1372,1075,2447,quarantine 3,
R8009_M8020:30:3,deepseek-v4-flash,3,quarantine,deployable_proxy_flag_present,17.984,1323,2260,3583,accept 2 / quarantine 1,
