window_id,patch_id,patch_type,llm_decision,gt_support_ratio_eval_only,safety_class,window_decision
R8001_M8004:30:9,R8001_M8004:30:9:slow:slow_12,recover_slow_segment,quarantine,1.0,conservative_block,quarantine
R8001_M8004:30:9,R8001_M8004:30:9:slow:slow_14,recover_slow_segment,quarantine,1.0,conservative_block,quarantine
R8001_M8004:30:12,R8001_M8004:30:12:slow:slow_0,recover_slow_segment,quarantine,1.0,conservative_block,quarantine
R8001_M8004:30:12,R8001_M8004:30:12:slow:slow_1,recover_slow_segment,quarantine,1.0,conservative_block,quarantine
R8001_M8004:30:12,R8001_M8004:30:12:slow:slow_2,recover_slow_segment,quarantine,1.0,conservative_block,quarantine
R8001_M8004:30:12,R8001_M8004:30:12:slow:slow_4,recover_slow_segment,quarantine,1.0,conservative_block,quarantine
R8001_M8004:30:12,R8001_M8004:30:12:slow:slow_5,recover_slow_segment,quarantine,1.0,conservative_block,quarantine
R8001_M8004:30:12,R8001_M8004:30:12:slow:slow_6,recover_slow_segment,quarantine,1.0,conservative_block,quarantine
R8001_M8004:30:12,R8001_M8004:30:12:slow:slow_7,recover_slow_segment,quarantine,1.0,conservative_block,quarantine
R8001_M8004:30:12,R8001_M8004:30:12:slow:slow_8,recover_slow_segment,quarantine,1.0,conservative_block,quarantine
R8001_M8004:30:12,R8001_M8004:30:12:slow:slow_9,recover_slow_segment,quarantine,0.9437,conservative_block,quarantine
R8001_M8004:30:12,R8001_M8004:30:12:slow:slow_10,recover_slow_segment,quarantine,1.0,conservative_block,quarantine
R8001_M8004:30:12,R8001_M8004:30:12:slow:slow_11,recover_slow_segment,quarantine,1.0,conservative_block,quarantine
R8001_M8004:30:5,R8001_M8004:30:5:slow:slow_0,recover_slow_segment,quarantine,1.0,conservative_block,quarantine
R8001_M8004:30:5,R8001_M8004:30:5:slow:slow_1,recover_slow_segment,quarantine,1.0,conservative_block,quarantine
R8001_M8004:30:5,R8001_M8004:30:5:slow:slow_2,recover_slow_segment,quarantine,1.0,conservative_block,quarantine
R8001_M8004:30:5,R8001_M8004:30:5:slow:slow_4,recover_slow_segment,quarantine,1.0,conservative_block,quarantine
R8001_M8004:30:5,R8001_M8004:30:5:slow:slow_5,recover_slow_segment,quarantine,1.0,conservative_block,quarantine
R8001_M8004:30:5,R8001_M8004:30:5:slow:slow_6,recover_slow_segment,quarantine,1.0,conservative_block,quarantine
R8001_M8004:30:5,R8001_M8004:30:5:slow:slow_7,recover_slow_segment,quarantine,1.0,conservative_block,quarantine
R8001_M8004:30:5,R8001_M8004:30:5:slow:slow_8,recover_slow_segment,quarantine,1.0,conservative_block,quarantine
R8001_M8004:30:5,R8001_M8004:30:5:slow:slow_16,recover_slow_segment,quarantine,1.0,conservative_block,quarantine
R8001_M8004:30:5,R8001_M8004:30:5:slow:slow_17,recover_slow_segment,quarantine,0.0,safe_block,quarantine
R8003_M8001:30:11,R8003_M8001:30:11:slow:slow_3,recover_slow_segment,quarantine,1.0,conservative_block,quarantine
R8003_M8001:30:11,R8003_M8001:30:11:slow:slow_5,recover_slow_segment,quarantine,1.0,conservative_block,quarantine
R8003_M8001:30:11,R8003_M8001:30:11:slow:slow_6,recover_slow_segment,quarantine,1.0,conservative_block,quarantine
R8003_M8001:30:11,R8003_M8001:30:11:slow:slow_7,recover_slow_segment,quarantine,1.0,conservative_block,quarantine
R8003_M8001:30:11,R8003_M8001:30:11:slow:slow_8,recover_slow_segment,quarantine,1.0,conservative_block,quarantine
R8003_M8001:30:11,R8003_M8001:30:11:slow:slow_9,recover_slow_segment,quarantine,1.0,conservative_block,quarantine
R8003_M8001:30:11,R8003_M8001:30:11:slow:slow_10,recover_slow_segment,quarantine,1.0,conservative_block,quarantine
R8001_M8004:30:6,R8001_M8004:30:6:slow:slow_11,recover_slow_segment,quarantine,1.0,conservative_block,quarantine
R8001_M8004:30:6,R8001_M8004:30:6:slow:slow_12,recover_slow_segment,quarantine,1.0,conservative_block,quarantine
R8001_M8004:30:6,R8001_M8004:30:6:slow:slow_13,recover_slow_segment,quarantine,1.0,conservative_block,quarantine
R8001_M8004:30:6,R8001_M8004:30:6:slow:slow_18,recover_slow_segment,quarantine,1.0,conservative_block,quarantine
R8001_M8004:30:6,R8001_M8004:30:6:slow:slow_19,recover_slow_segment,quarantine,1.0,conservative_block,quarantine
R8001_M8004:30:6,R8001_M8004:30:6:slow:slow_20,recover_slow_segment,quarantine,1.0,conservative_block,quarantine
R8001_M8004:30:13,R8001_M8004:30:13:slow:slow_4,recover_slow_segment,quarantine,1.0,conservative_block,quarantine
R8001_M8004:30:13,R8001_M8004:30:13:slow:slow_5,recover_slow_segment,quarantine,1.0,conservative_block,quarantine
R8001_M8004:30:13,R8001_M8004:30:13:slow:slow_6,recover_slow_segment,quarantine,1.0,conservative_block,quarantine
R8001_M8004:30:13,R8001_M8004:30:13:slow:slow_8,recover_slow_segment,quarantine,0.8068,conservative_block,quarantine
R8001_M8004:30:13,R8001_M8004:30:13:slow:slow_9,recover_slow_segment,quarantine,1.0,conservative_block,quarantine
R8001_M8004:30:13,R8001_M8004:30:13:slow:slow_10,recover_slow_segment,quarantine,1.0,conservative_block,quarantine
