max_patches_per_call,window_id,patch_count,subcalls,largest_subcall_patch_count,observed_call_seconds,simulated_parallel_call_seconds,observed_total_tokens,simulated_total_tokens,window_decision
20,R8009_M8019:30:5,9,1,9,13.787,13.862,4822,4822.0,quarantine
20,R8009_M8020:30:9,9,1,9,25.726,15.099,5428,5428.0,review
20,R8007_M8011:30:14,8,1,8,16.868,14.252,5013,5013.0,quarantine
20,R8009_M8020:30:4,8,1,8,16.931,13.036,4383,4417.2,quarantine
20,R8003_M8001:30:11,7,1,7,9.713,12.342,3868,4077.5,quarantine
20,R8001_M8004:30:13,6,1,6,10.748,11.649,3307,3737.8,quarantine
20,R8001_M8004:30:6,6,1,6,8.607,11.939,3880,3880.0,quarantine
20,R8001_M8004:30:8,5,1,5,7.701,10.955,3289,3398.2,quarantine
20,R8007_M8011:30:2,5,1,5,9.846,11.433,3632,3632.0,quarantine
20,R8007_M8011:30:9,5,1,5,6.672,11.214,3525,3525.0,quarantine
20,R8008_M8013:30:6,5,1,5,9.77,10.955,3314,3398.2,quarantine
20,R8003_M8001:30:13,4,1,4,9.915,10.262,2456,3058.5,quarantine
20,R8007_M8011:30:0,4,1,4,12.168,10.608,3228,3228.0,quarantine
20,R8008_M8013:30:8,4,1,4,5.956,10.262,2673,3058.5,quarantine
20,R8001_M8004:30:3,3,1,3,16.407,10.736,3291,3291.0,quarantine
20,R8003_M8001:30:3,3,1,3,6.794,9.568,2095,2718.8,quarantine
20,R8003_M8001:30:8,3,1,3,8.107,9.568,2414,2718.8,quarantine
20,R8007_M8010:30:1,3,1,3,8.181,9.568,2543,2718.8,quarantine
20,R8007_M8011:30:3,3,1,3,4.497,9.568,1971,2718.8,quarantine
20,R8007_M8011:30:4,3,1,3,12.045,9.568,2637,2718.8,quarantine
20,R8008_M8013:30:11,3,1,3,7.631,9.568,2457,2718.8,quarantine
20,R8008_M8013:30:13,3,1,3,10.972,9.568,2657,2718.8,quarantine
20,R8009_M8018:30:3,3,1,3,8.621,9.568,2447,2718.8,quarantine
20,R8009_M8020:30:3,3,1,3,17.984,11.332,3583,3583.0,quarantine
15,R8007_M8010:30:0,45,3,15,48.465,18.048,17217,20616.7,quarantine
15,R8007_M8010:30:8,44,3,15,25.711,17.89,15844,20044.8,quarantine
15,R8007_M8010:30:3,42,3,14,39.721,17.223,16004,19403.7,quarantine
15,R8007_M8010:30:6,40,3,14,44.557,18.674,17354,20753.7,review
15,R8007_M8010:30:14,39,3,13,28.867,16.503,14696,18346.5,quarantine
15,R8009_M8020:30:12,37,3,13,36.447,17.383,15494,18893.7,quarantine
15,R8001_M8004:30:10,35,3,12,29.932,16.132,14049,17448.7,quarantine
15,R8007_M8010:30:4,35,3,12,28.18,16.073,13964,17363.7,quarantine
15,R8007_M8010:30:5,35,3,12,22.59,15.81,11676,16987.8,quarantine
15,R8009_M8018:30:12,35,3,12,27.001,15.81,12446,16987.8,review
15,R8007_M8010:30:11,34,3,12,25.271,15.81,12143,16648.2,quarantine
15,R8003_M8001:30:10,33,3,11,32.746,15.228,13073,16472.7,quarantine
15,R8007_M8010:30:12,33,3,11,32.248,15.28,13149,16548.7,quarantine
15,R8007_M8010:30:2,32,3,11,34.399,15.116,12539,15968.8,quarantine
15,R8007_M8010:30:7,32,3,11,24.073,15.334,12879,16278.7,quarantine
15,R8007_M8011:30:8,32,3,11,27.604,15.438,13027,16426.7,quarantine
15,R8003_M8001:30:2,30,2,15,35.515,18.038,12035,13734.9,quarantine
15,R8007_M8010:30:9,30,2,15,24.493,17.89,11359,13589.7,quarantine
15,R8007_M8010:30:10,29,2,15,28.083,17.89,11432,13250.0,quarantine
15,R8007_M8011:30:10,29,2,15,26.508,18.297,11935,13634.9,quarantine
15,R8007_M8010:30:13,28,2,14,27.406,17.197,11077,12910.3,quarantine
15,R8008_M8013:30:5,28,2,14,27.381,17.972,11970,13669.9,quarantine
15,R8001_M8004:30:14,27,2,14,22.351,17.197,9884,12570.7,quarantine
15,R8003_M8001:30:0,27,2,14,22.289,17.306,10974,12673.9,quarantine
15,R8003_M8001:30:5,27,2,14,29.743,17.197,10587,12570.7,quarantine
15,R8007_M8011:30:11,26,2,13,22.124,16.503,9994,12231.0,quarantine
15,R8009_M8020:30:7,26,2,13,26.492,16.503,10102,12231.0,quarantine
15,R8003_M8001:30:4,25,2,13,20.824,16.503,9433,11891.3,quarantine
15,R8009_M8019:30:7,25,2,13,23.066,16.503,10099,11891.3,quarantine
15,R8001_M8004:30:7,24,2,12,16.384,15.81,8917,11551.7,quarantine
15,R8003_M8001:30:7,24,2,12,18.579,16.064,10101,11800.9,quarantine
15,R8008_M8013:30:9,24,2,12,25.831,16.213,10247,11946.9,quarantine
15,R8009_M8018:30:11,24,2,12,29.031,16.196,10230,11929.9,quarantine
15,R8009_M8018:30:6,24,2,12,21.85,16.16,10195,11894.9,quarantine
15,R8009_M8020:30:6,24,2,12,29.073,15.92,9960,11659.9,quarantine
15,R8001_M8004:30:2,23,2,12,21.604,16.15,9832,11531.9,quarantine
15,R8003_M8001:30:12,23,2,12,35.731,16.869,10507,12206.9,review
15,R8001_M8004:30:11,22,2,11,19.39,15.924,9964,11663.9,quarantine
15,R8007_M8011:30:7,22,2,11,25.016,15.116,8972,10872.3,quarantine
15,R8009_M8018:30:0,22,2,11,27.128,15.528,9576,11275.9,review
15,R8003_M8001:30:14,20,2,10,23.194,14.553,8621,10320.9,quarantine
15,R8008_M8013:30:2,20,2,10,14.312,14.423,7236,10193.0,quarantine
15,R8009_M8018:30:10,20,2,10,18.455,14.423,8178,10193.0,quarantine
15,R8009_M8018:30:13,20,2,10,25.911,14.423,8290,10193.0,quarantine
15,R8003_M8001:30:1,19,2,10,27.992,15.124,8806,10505.9,review
15,R8003_M8001:30:9,19,2,10,22.447,14.544,8266,9965.9,quarantine
15,R8007_M8011:30:5,19,2,10,18.279,14.423,7299,9853.3,quarantine
15,R8008_M8013:30:0,19,2,10,24.48,14.423,7930,9853.3,quarantine
15,R8009_M8019:30:2,19,2,10,18.33,14.423,7534,9853.3,quarantine
15,R8009_M8019:30:3,19,2,10,17.289,14.423,7472,9853.3,quarantine
15,R8007_M8011:30:12,18,2,9,18.74,13.729,7532,9513.7,quarantine
15,R8007_M8011:30:1,17,2,9,19.257,14.193,7903,9602.9,quarantine
15,R8007_M8011:30:13,17,2,9,23.061,13.737,7481,9180.9,quarantine
15,R8008_M8013:30:14,17,2,9,16.272,13.895,7628,9327.9,quarantine
15,R8009_M8019:30:12,17,2,9,17.859,13.729,7315,9174.0,quarantine
15,R8001_M8004:30:1,16,2,8,29.35,14.093,8170,9869.9,quarantine
15,R8008_M8013:30:1,16,2,8,18.899,13.181,7277,8976.9,review
15,R8009_M8019:30:9,16,2,8,13.302,13.036,6499,8834.3,quarantine
15,R8001_M8004:30:0,15,1,15,18.401,17.89,6766,6794.8,quarantine
15,R8009_M8018:30:14,15,1,15,14.02,17.89,6180,6794.8,quarantine
15,R8009_M8019:30:8,15,1,15,16.814,17.89,6464,6794.8,quarantine
15,R8009_M8020:30:11,15,1,15,21.787,17.89,6476,6794.8,quarantine
15,R8009_M8020:30:2,15,1,15,14.565,17.89,6446,6794.8,quarantine
15,R8009_M8020:30:8,15,1,15,26.627,19.044,7360,7360.0,quarantine
15,R8001_M8004:30:4,14,1,14,13.793,19.646,7655,7655.0,quarantine
15,R8008_M8013:30:4,14,1,14,19.819,17.197,6107,6455.2,quarantine
15,R8009_M8019:30:10,14,1,14,20.064,17.842,6771,6771.0,quarantine
15,R8007_M8011:30:6,13,1,13,19.075,18.021,6859,6859.0,review
15,R8008_M8013:30:7,13,1,13,19.304,19.587,7626,7626.0,quarantine
15,R8009_M8018:30:5,13,1,13,13.877,16.503,5682,6115.5,quarantine
15,R8003_M8001:30:6,12,1,12,13.701,15.81,4994,5775.8,quarantine
15,R8009_M8018:30:8,12,1,12,15.347,15.81,5152,5775.8,quarantine
15,R8001_M8004:30:12,11,1,11,14.336,17.149,6432,6432.0,quarantine
15,R8001_M8004:30:9,11,1,11,9.418,16.459,6094,6094.0,quarantine
15,R8009_M8018:30:1,11,1,11,19.401,16.055,5896,5896.0,quarantine
15,R8009_M8020:30:5,11,1,11,16.48,15.314,5533,5533.0,quarantine
15,R8001_M8004:30:5,10,1,10,17.054,16.227,5980,5980.0,quarantine
15,R8008_M8013:30:12,10,1,10,18.156,15.32,5536,5536.0,quarantine
15,R8009_M8020:30:1,10,1,10,11.57,14.423,4399,5096.5,quarantine
15,R8008_M8013:30:3,9,1,9,7.772,13.729,4229,4756.8,quarantine
15,R8009_M8019:30:5,9,1,9,13.787,13.862,4822,4822.0,quarantine
15,R8009_M8020:30:9,9,1,9,25.726,15.099,5428,5428.0,review
15,R8007_M8011:30:14,8,1,8,16.868,14.252,5013,5013.0,quarantine
15,R8009_M8020:30:4,8,1,8,16.931,13.036,4383,4417.2,quarantine
15,R8003_M8001:30:11,7,1,7,9.713,12.342,3868,4077.5,quarantine
15,R8001_M8004:30:13,6,1,6,10.748,11.649,3307,3737.8,quarantine
15,R8001_M8004:30:6,6,1,6,8.607,11.939,3880,3880.0,quarantine
15,R8001_M8004:30:8,5,1,5,7.701,10.955,3289,3398.2,quarantine
15,R8007_M8011:30:2,5,1,5,9.846,11.433,3632,3632.0,quarantine
15,R8007_M8011:30:9,5,1,5,6.672,11.214,3525,3525.0,quarantine
15,R8008_M8013:30:6,5,1,5,9.77,10.955,3314,3398.2,quarantine
15,R8003_M8001:30:13,4,1,4,9.915,10.262,2456,3058.5,quarantine
15,R8007_M8011:30:0,4,1,4,12.168,10.608,3228,3228.0,quarantine
15,R8008_M8013:30:8,4,1,4,5.956,10.262,2673,3058.5,quarantine
15,R8001_M8004:30:3,3,1,3,16.407,10.736,3291,3291.0,quarantine
15,R8003_M8001:30:3,3,1,3,6.794,9.568,2095,2718.8,quarantine
15,R8003_M8001:30:8,3,1,3,8.107,9.568,2414,2718.8,quarantine
15,R8007_M8010:30:1,3,1,3,8.181,9.568,2543,2718.8,quarantine
15,R8007_M8011:30:3,3,1,3,4.497,9.568,1971,2718.8,quarantine
15,R8007_M8011:30:4,3,1,3,12.045,9.568,2637,2718.8,quarantine
15,R8008_M8013:30:11,3,1,3,7.631,9.568,2457,2718.8,quarantine
15,R8008_M8013:30:13,3,1,3,10.972,9.568,2657,2718.8,quarantine
15,R8009_M8018:30:3,3,1,3,8.621,9.568,2447,2718.8,quarantine
15,R8009_M8020:30:3,3,1,3,17.984,11.332,3583,3583.0,quarantine
12,R8007_M8010:30:0,45,4,12,48.465,15.936,17217,22316.6,quarantine
12,R8007_M8010:30:8,44,4,11,25.711,15.116,15844,21744.7,quarantine
12,R8007_M8010:30:3,42,4,11,39.721,15.137,16004,21103.6,quarantine
12,R8007_M8010:30:6,40,4,10,44.557,15.478,17354,22453.6,review
12,R8007_M8010:30:14,39,4,10,28.867,14.423,14696,20046.4,quarantine
12,R8009_M8020:30:12,37,4,10,36.447,15.099,15494,20593.6,quarantine
12,R8001_M8004:30:10,35,3,12,29.932,16.132,14049,17448.7,quarantine
12,R8007_M8010:30:4,35,3,12,28.18,16.073,13964,17363.7,quarantine
12,R8007_M8010:30:5,35,3,12,22.59,15.81,11676,16987.8,quarantine
12,R8009_M8018:30:12,35,3,12,27.001,15.81,12446,16987.8,review
12,R8007_M8010:30:11,34,3,12,25.271,15.81,12143,16648.2,quarantine
12,R8003_M8001:30:10,33,3,11,32.746,15.228,13073,16472.7,quarantine
12,R8007_M8010:30:12,33,3,11,32.248,15.28,13149,16548.7,quarantine
12,R8007_M8010:30:2,32,3,11,34.399,15.116,12539,15968.8,quarantine
12,R8007_M8010:30:7,32,3,11,24.073,15.334,12879,16278.7,quarantine
12,R8007_M8011:30:8,32,3,11,27.604,15.438,13027,16426.7,quarantine
12,R8003_M8001:30:2,30,3,10,35.515,14.521,12035,15434.7,quarantine
12,R8007_M8010:30:9,30,3,10,24.493,14.423,11359,15289.5,quarantine
12,R8007_M8010:30:10,29,3,10,28.083,14.423,11432,14949.9,quarantine
12,R8007_M8011:30:10,29,3,10,26.508,14.694,11935,15334.7,quarantine
12,R8007_M8010:30:13,28,3,10,27.406,14.423,11077,14610.2,quarantine
12,R8008_M8013:30:5,28,3,10,27.381,14.976,11970,15369.7,quarantine
12,R8001_M8004:30:14,27,3,9,22.351,13.729,9884,14270.5,quarantine
12,R8003_M8001:30:0,27,3,9,22.289,13.799,10974,14373.7,quarantine
12,R8003_M8001:30:5,27,3,9,29.743,13.729,10587,14270.5,quarantine
12,R8007_M8011:30:11,26,3,9,22.124,13.729,9994,13930.9,quarantine
12,R8009_M8020:30:7,26,3,9,26.492,13.729,10102,13930.9,quarantine
12,R8003_M8001:30:4,25,3,9,20.824,13.729,9433,13591.2,quarantine
12,R8009_M8019:30:7,25,3,9,23.066,13.729,10099,13591.2,quarantine
12,R8001_M8004:30:7,24,2,12,16.384,15.81,8917,11551.7,quarantine
12,R8003_M8001:30:7,24,2,12,18.579,16.064,10101,11800.9,quarantine
12,R8008_M8013:30:9,24,2,12,25.831,16.213,10247,11946.9,quarantine
12,R8009_M8018:30:11,24,2,12,29.031,16.196,10230,11929.9,quarantine
12,R8009_M8018:30:6,24,2,12,21.85,16.16,10195,11894.9,quarantine
12,R8009_M8020:30:6,24,2,12,29.073,15.92,9960,11659.9,quarantine
12,R8001_M8004:30:2,23,2,12,21.604,16.15,9832,11531.9,quarantine
12,R8003_M8001:30:12,23,2,12,35.731,16.869,10507,12206.9,review
12,R8001_M8004:30:11,22,2,11,19.39,15.924,9964,11663.9,quarantine
12,R8007_M8011:30:7,22,2,11,25.016,15.116,8972,10872.3,quarantine
12,R8009_M8018:30:0,22,2,11,27.128,15.528,9576,11275.9,review
12,R8003_M8001:30:14,20,2,10,23.194,14.553,8621,10320.9,quarantine
12,R8008_M8013:30:2,20,2,10,14.312,14.423,7236,10193.0,quarantine
12,R8009_M8018:30:10,20,2,10,18.455,14.423,8178,10193.0,quarantine
12,R8009_M8018:30:13,20,2,10,25.911,14.423,8290,10193.0,quarantine
12,R8003_M8001:30:1,19,2,10,27.992,15.124,8806,10505.9,review
12,R8003_M8001:30:9,19,2,10,22.447,14.544,8266,9965.9,quarantine
12,R8007_M8011:30:5,19,2,10,18.279,14.423,7299,9853.3,quarantine
12,R8008_M8013:30:0,19,2,10,24.48,14.423,7930,9853.3,quarantine
12,R8009_M8019:30:2,19,2,10,18.33,14.423,7534,9853.3,quarantine
12,R8009_M8019:30:3,19,2,10,17.289,14.423,7472,9853.3,quarantine
12,R8007_M8011:30:12,18,2,9,18.74,13.729,7532,9513.7,quarantine
12,R8007_M8011:30:1,17,2,9,19.257,14.193,7903,9602.9,quarantine
12,R8007_M8011:30:13,17,2,9,23.061,13.737,7481,9180.9,quarantine
12,R8008_M8013:30:14,17,2,9,16.272,13.895,7628,9327.9,quarantine
12,R8009_M8019:30:12,17,2,9,17.859,13.729,7315,9174.0,quarantine
12,R8001_M8004:30:1,16,2,8,29.35,14.093,8170,9869.9,quarantine
12,R8008_M8013:30:1,16,2,8,18.899,13.181,7277,8976.9,review
12,R8009_M8019:30:9,16,2,8,13.302,13.036,6499,8834.3,quarantine
12,R8001_M8004:30:0,15,2,8,18.401,13.036,6766,8494.7,quarantine
12,R8009_M8018:30:14,15,2,8,14.02,13.036,6180,8494.7,quarantine
12,R8009_M8019:30:8,15,2,8,16.814,13.036,6464,8494.7,quarantine
12,R8009_M8020:30:11,15,2,8,21.787,13.036,6476,8494.7,quarantine
12,R8009_M8020:30:2,15,2,8,14.565,13.036,6446,8494.7,quarantine
12,R8009_M8020:30:8,15,2,8,26.627,13.651,7360,9059.9,quarantine
12,R8001_M8004:30:4,14,2,7,13.793,13.567,7655,9354.9,quarantine
12,R8008_M8013:30:4,14,2,7,19.819,12.342,6107,8155.0,quarantine
12,R8009_M8019:30:10,14,2,7,20.064,12.665,6771,8470.9,quarantine
12,R8007_M8011:30:6,13,2,7,19.075,13.16,6859,8558.9,review
12,R8008_M8013:30:7,13,2,7,19.304,14.003,7626,9325.9,quarantine
12,R8009_M8018:30:5,13,2,7,13.877,12.342,5682,7815.4,quarantine
12,R8003_M8001:30:6,12,1,12,13.701,15.81,4994,5775.8,quarantine
12,R8009_M8018:30:8,12,1,12,15.347,15.81,5152,5775.8,quarantine
12,R8001_M8004:30:12,11,1,11,14.336,17.149,6432,6432.0,quarantine
12,R8001_M8004:30:9,11,1,11,9.418,16.459,6094,6094.0,quarantine
12,R8009_M8018:30:1,11,1,11,19.401,16.055,5896,5896.0,quarantine
12,R8009_M8020:30:5,11,1,11,16.48,15.314,5533,5533.0,quarantine
12,R8001_M8004:30:5,10,1,10,17.054,16.227,5980,5980.0,quarantine
12,R8008_M8013:30:12,10,1,10,18.156,15.32,5536,5536.0,quarantine
12,R8009_M8020:30:1,10,1,10,11.57,14.423,4399,5096.5,quarantine
12,R8008_M8013:30:3,9,1,9,7.772,13.729,4229,4756.8,quarantine
12,R8009_M8019:30:5,9,1,9,13.787,13.862,4822,4822.0,quarantine
12,R8009_M8020:30:9,9,1,9,25.726,15.099,5428,5428.0,review
12,R8007_M8011:30:14,8,1,8,16.868,14.252,5013,5013.0,quarantine
12,R8009_M8020:30:4,8,1,8,16.931,13.036,4383,4417.2,quarantine
12,R8003_M8001:30:11,7,1,7,9.713,12.342,3868,4077.5,quarantine
12,R8001_M8004:30:13,6,1,6,10.748,11.649,3307,3737.8,quarantine
12,R8001_M8004:30:6,6,1,6,8.607,11.939,3880,3880.0,quarantine
12,R8001_M8004:30:8,5,1,5,7.701,10.955,3289,3398.2,quarantine
12,R8007_M8011:30:2,5,1,5,9.846,11.433,3632,3632.0,quarantine
12,R8007_M8011:30:9,5,1,5,6.672,11.214,3525,3525.0,quarantine
12,R8008_M8013:30:6,5,1,5,9.77,10.955,3314,3398.2,quarantine
12,R8003_M8001:30:13,4,1,4,9.915,10.262,2456,3058.5,quarantine
12,R8007_M8011:30:0,4,1,4,12.168,10.608,3228,3228.0,quarantine
12,R8008_M8013:30:8,4,1,4,5.956,10.262,2673,3058.5,quarantine
12,R8001_M8004:30:3,3,1,3,16.407,10.736,3291,3291.0,quarantine
12,R8003_M8001:30:3,3,1,3,6.794,9.568,2095,2718.8,quarantine
12,R8003_M8001:30:8,3,1,3,8.107,9.568,2414,2718.8,quarantine
12,R8007_M8010:30:1,3,1,3,8.181,9.568,2543,2718.8,quarantine
12,R8007_M8011:30:3,3,1,3,4.497,9.568,1971,2718.8,quarantine
12,R8007_M8011:30:4,3,1,3,12.045,9.568,2637,2718.8,quarantine
12,R8008_M8013:30:11,3,1,3,7.631,9.568,2457,2718.8,quarantine
12,R8008_M8013:30:13,3,1,3,10.972,9.568,2657,2718.8,quarantine
12,R8009_M8018:30:3,3,1,3,8.621,9.568,2447,2718.8,quarantine
12,R8009_M8020:30:3,3,1,3,17.984,11.332,3583,3583.0,quarantine
10,R8007_M8010:30:0,45,5,9,48.465,13.824,17217,24016.4,quarantine
10,R8007_M8010:30:8,44,5,9,25.711,13.729,15844,23444.5,quarantine
10,R8007_M8010:30:3,42,5,9,39.721,13.746,16004,22803.4,quarantine
10,R8007_M8010:30:6,40,4,10,44.557,15.478,17354,22453.6,review
10,R8007_M8010:30:14,39,4,10,28.867,14.423,14696,20046.4,quarantine
10,R8009_M8020:30:12,37,4,10,36.447,15.099,15494,20593.6,quarantine
10,R8001_M8004:30:10,35,4,9,29.932,13.971,14049,19148.6,quarantine
10,R8007_M8010:30:4,35,4,9,28.18,13.926,13964,19063.6,quarantine
10,R8007_M8010:30:5,35,4,9,22.59,13.729,11676,18687.7,quarantine
10,R8009_M8018:30:12,35,4,9,27.001,13.729,12446,18687.7,review
10,R8007_M8010:30:11,34,4,9,25.271,13.729,12143,18348.0,quarantine
10,R8003_M8001:30:10,33,4,9,32.746,13.821,13073,18172.6,quarantine
10,R8007_M8010:30:12,33,4,9,32.248,13.863,13149,18248.6,quarantine
10,R8007_M8010:30:2,32,4,8,34.399,13.036,12539,17668.7,quarantine
10,R8007_M8010:30:7,32,4,8,24.073,13.194,12879,17978.6,quarantine
10,R8007_M8011:30:8,32,4,8,27.604,13.269,13027,18126.6,quarantine
10,R8003_M8001:30:2,30,3,10,35.515,14.521,12035,15434.7,quarantine
10,R8007_M8010:30:9,30,3,10,24.493,14.423,11359,15289.5,quarantine
10,R8007_M8010:30:10,29,3,10,28.083,14.423,11432,14949.9,quarantine
10,R8007_M8011:30:10,29,3,10,26.508,14.694,11935,15334.7,quarantine
10,R8007_M8010:30:13,28,3,10,27.406,14.423,11077,14610.2,quarantine
10,R8008_M8013:30:5,28,3,10,27.381,14.976,11970,15369.7,quarantine
10,R8001_M8004:30:14,27,3,9,22.351,13.729,9884,14270.5,quarantine
10,R8003_M8001:30:0,27,3,9,22.289,13.799,10974,14373.7,quarantine
10,R8003_M8001:30:5,27,3,9,29.743,13.729,10587,14270.5,quarantine
10,R8007_M8011:30:11,26,3,9,22.124,13.729,9994,13930.9,quarantine
10,R8009_M8020:30:7,26,3,9,26.492,13.729,10102,13930.9,quarantine
