window_id,patch_id,patch_type,raw_llm_decision,effective_decision,llm_decision,gt_support_ratio_eval_only,safety_class,window_decision,raw_window_decision,parent_window_id
R8009_M8020:30:12:part1of2,R8009_M8020:30:12:fast:fast_15,boundary_fix_or_relabel,quarantine,quarantine,quarantine,1.0,conservative_block,quarantine,quarantine,R8009_M8020:30:12
R8009_M8020:30:12:part1of2,R8009_M8020:30:12:fast:fast_16,boundary_fix_or_relabel,quarantine,quarantine,quarantine,1.0,conservative_block,quarantine,quarantine,R8009_M8020:30:12
R8009_M8020:30:12:part1of2,R8009_M8020:30:12:fast:fast_17,boundary_fix_or_relabel,quarantine,quarantine,quarantine,1.0,conservative_block,quarantine,quarantine,R8009_M8020:30:12
R8009_M8020:30:12:part1of2,R8009_M8020:30:12:fast:fast_18,boundary_fix_or_relabel,quarantine,quarantine,quarantine,1.0,conservative_block,quarantine,quarantine,R8009_M8020:30:12
R8009_M8020:30:12:part1of2,R8009_M8020:30:12:fast:fast_19,boundary_fix_or_relabel,quarantine,quarantine,quarantine,1.0,conservative_block,quarantine,quarantine,R8009_M8020:30:12
R8009_M8020:30:12:part2of2,R8009_M8020:30:12:fast:fast_20,boundary_fix_or_relabel,defer,defer,defer,1.0,conservative_block,quarantine,quarantine,R8009_M8020:30:12
R8009_M8020:30:12:part2of2,R8009_M8020:30:12:fast:fast_21,boundary_fix_or_relabel,defer,defer,defer,1.0,conservative_block,quarantine,quarantine,R8009_M8020:30:12
R8009_M8020:30:12:part2of2,R8009_M8020:30:12:fast:fast_22,keep_fast_supported,defer,defer,defer,1.0,conservative_block,quarantine,quarantine,R8009_M8020:30:12
R8009_M8020:30:12:part2of2,R8009_M8020:30:12:slow:slow_0,align_slow_segment,defer,defer,defer,0.675,conservative_block,quarantine,quarantine,R8009_M8020:30:12
R8009_M8020:30:12:part2of2,R8009_M8020:30:12:slow:slow_1,align_slow_segment,defer,defer,defer,1.0,conservative_block,quarantine,quarantine,R8009_M8020:30:12
R8009_M8020:30:12:part2of2,R8009_M8020:30:12:slow:slow_2,align_slow_segment,defer,defer,defer,1.0,conservative_block,quarantine,quarantine,R8009_M8020:30:12
R8009_M8020:30:12:part2of2,R8009_M8020:30:12:slow:slow_3,align_slow_segment,defer,defer,defer,1.0,conservative_block,quarantine,quarantine,R8009_M8020:30:12
R8009_M8020:30:12:part2of2,R8009_M8020:30:12:slow:slow_4,recover_slow_segment,quarantine,quarantine,quarantine,1.0,conservative_block,quarantine,quarantine,R8009_M8020:30:12
R8009_M8020:30:12:part2of2,R8009_M8020:30:12:slow:slow_5,align_slow_segment,defer,defer,defer,1.0,conservative_block,quarantine,quarantine,R8009_M8020:30:12
R8009_M8020:30:12:part2of2,R8009_M8020:30:12:slow:slow_6,align_slow_segment,defer,defer,defer,1.0,conservative_block,quarantine,quarantine,R8009_M8020:30:12
R8009_M8020:30:12:part2of2,R8009_M8020:30:12:slow:slow_7,align_slow_segment,defer,defer,defer,0.9931,conservative_block,quarantine,quarantine,R8009_M8020:30:12
R8009_M8020:30:12:part2of2,R8009_M8020:30:12:slow:slow_8,align_slow_segment,defer,defer,defer,0.9309,conservative_block,quarantine,quarantine,R8009_M8020:30:12
R8009_M8020:30:12:part2of2,R8009_M8020:30:12:slow:slow_9,align_slow_segment,defer,defer,defer,0.9746,conservative_block,quarantine,quarantine,R8009_M8020:30:12
R8009_M8020:30:12:part2of2,R8009_M8020:30:12:slow:slow_10,align_slow_segment,defer,defer,defer,1.0,conservative_block,quarantine,quarantine,R8009_M8020:30:12
R8009_M8020:30:12:part2of2,R8009_M8020:30:12:slow:slow_11,align_slow_segment,defer,defer,defer,1.0,conservative_block,quarantine,quarantine,R8009_M8020:30:12
R8009_M8020:30:12:part2of2,R8009_M8020:30:12:slow:slow_12,align_slow_segment,defer,defer,defer,0.9892,conservative_block,quarantine,quarantine,R8009_M8020:30:12
R8009_M8020:30:12:part2of2,R8009_M8020:30:12:slow:slow_13,align_slow_segment,defer,defer,defer,0.9881,conservative_block,quarantine,quarantine,R8009_M8020:30:12
R8003_M8001:30:12:part1of2,R8003_M8001:30:12:fast:fast_0,keep_fast_supported,quarantine,quarantine,quarantine,0.5312,conservative_block,quarantine,quarantine,R8003_M8001:30:12
R8003_M8001:30:12:part1of2,R8003_M8001:30:12:fast:fast_1,keep_fast_supported,quarantine,quarantine,quarantine,1.0,conservative_block,quarantine,quarantine,R8003_M8001:30:12
R8003_M8001:30:12:part1of2,R8003_M8001:30:12:fast:fast_2,boundary_fix_or_relabel,defer,defer,defer,1.0,conservative_block,quarantine,quarantine,R8003_M8001:30:12
R8003_M8001:30:12:part1of2,R8003_M8001:30:12:fast:fast_3,boundary_fix_or_relabel,defer,defer,defer,1.0,conservative_block,quarantine,quarantine,R8003_M8001:30:12
R8003_M8001:30:12:part1of2,R8003_M8001:30:12:fast:fast_4,boundary_fix_or_relabel,defer,defer,defer,1.0,conservative_block,quarantine,quarantine,R8003_M8001:30:12
R8003_M8001:30:12:part1of2,R8003_M8001:30:12:fast:fast_5,boundary_fix_or_relabel,defer,defer,defer,1.0,conservative_block,quarantine,quarantine,R8003_M8001:30:12
R8003_M8001:30:12:part1of2,R8003_M8001:30:12:fast:fast_6,boundary_fix_or_relabel,defer,defer,defer,1.0,conservative_block,quarantine,quarantine,R8003_M8001:30:12
R8003_M8001:30:12:part1of2,R8003_M8001:30:12:fast:fast_7,boundary_fix_or_relabel,defer,defer,defer,1.0,conservative_block,quarantine,quarantine,R8003_M8001:30:12
R8003_M8001:30:12:part1of2,R8003_M8001:30:12:fast:fast_8,boundary_fix_or_relabel,defer,defer,defer,1.0,conservative_block,quarantine,quarantine,R8003_M8001:30:12
R8003_M8001:30:12:part1of2,R8003_M8001:30:12:fast:fast_9,boundary_fix_or_relabel,defer,defer,defer,1.0,conservative_block,quarantine,quarantine,R8003_M8001:30:12
R8003_M8001:30:12:part1of2,R8003_M8001:30:12:fast:fast_10,keep_fast_supported,quarantine,quarantine,quarantine,1.0,conservative_block,quarantine,quarantine,R8003_M8001:30:12
R8003_M8001:30:12:part1of2,R8003_M8001:30:12:fast:fast_11,boundary_fix_or_relabel,defer,defer,defer,1.0,conservative_block,quarantine,quarantine,R8003_M8001:30:12
R8003_M8001:30:12:part1of2,R8003_M8001:30:12:fast:fast_12,boundary_fix_or_relabel,defer,defer,defer,0.9567,conservative_block,quarantine,quarantine,R8003_M8001:30:12
R8003_M8001:30:12:part1of2,R8003_M8001:30:12:fast:fast_13,boundary_fix_or_relabel,defer,defer,defer,1.0,conservative_block,quarantine,quarantine,R8003_M8001:30:12
R8003_M8001:30:12:part1of2,R8003_M8001:30:12:fast:fast_14,boundary_fix_or_relabel,defer,defer,defer,1.0,conservative_block,quarantine,quarantine,R8003_M8001:30:12
R8003_M8001:30:12:part1of2,R8003_M8001:30:12:slow:slow_0,align_slow_segment,quarantine,quarantine,quarantine,0.6562,conservative_block,quarantine,quarantine,R8003_M8001:30:12
R8003_M8001:30:12:part1of2,R8003_M8001:30:12:slow:slow_1,align_slow_segment,quarantine,quarantine,quarantine,0.993,conservative_block,quarantine,quarantine,R8003_M8001:30:12
R8003_M8001:30:12:part1of2,R8003_M8001:30:12:slow:slow_2,align_slow_segment,quarantine,quarantine,quarantine,1.0,conservative_block,quarantine,quarantine,R8003_M8001:30:12
R8003_M8001:30:12:part1of2,R8003_M8001:30:12:slow:slow_3,align_slow_segment,quarantine,quarantine,quarantine,1.0,conservative_block,quarantine,quarantine,R8003_M8001:30:12
R8003_M8001:30:12:part1of2,R8003_M8001:30:12:slow:slow_4,recover_slow_segment,quarantine,quarantine,quarantine,1.0,conservative_block,quarantine,quarantine,R8003_M8001:30:12
R8003_M8001:30:12:part2of2,R8003_M8001:30:12:slow:slow_5,align_slow_segment,quarantine,quarantine,quarantine,1.0,conservative_block,quarantine,quarantine,R8003_M8001:30:12
R8003_M8001:30:12:part2of2,R8003_M8001:30:12:slow:slow_6,align_slow_segment,quarantine,quarantine,quarantine,1.0,conservative_block,quarantine,quarantine,R8003_M8001:30:12
R8003_M8001:30:12:part2of2,R8003_M8001:30:12:slow:slow_7,align_slow_segment,quarantine,quarantine,quarantine,0.9583,conservative_block,quarantine,quarantine,R8003_M8001:30:12
