policy,windows,recover_windows,avg_der,avg_miss_rate,avg_fa_rate,avg_conf_rate,matched_windows,uncovered_windows,fast_windows,choice_counts
spk_gt_or_ratio_le_1.00,120,47,0.2643,0.1539,0.0602,0.0502,47,0,73,fast_base 73 / rule_recover_matched_label 47
spk_ge_or_ratio_le_1.00,120,47,0.2643,0.1539,0.0602,0.0502,47,0,73,fast_base 73 / rule_recover_matched_label 47
ratio_le_1.05_else_uncovered,120,47,0.2643,0.1539,0.0602,0.0502,47,0,73,fast_base 73 / rule_recover_matched_label 47
spk_gt_or_ratio_le_1.05,120,47,0.2643,0.1539,0.0602,0.0502,47,0,73,fast_base 73 / rule_recover_matched_label 47
spk_ge_or_ratio_le_1.05,120,47,0.2643,0.1539,0.0602,0.0502,47,0,73,fast_base 73 / rule_recover_matched_label 47
ratio_le_1.10_else_uncovered,120,47,0.2643,0.1539,0.0602,0.0502,47,0,73,fast_base 73 / rule_recover_matched_label 47
spk_gt_or_ratio_le_1.10,120,47,0.2643,0.1539,0.0602,0.0502,47,0,73,fast_base 73 / rule_recover_matched_label 47
spk_ge_or_ratio_le_1.10,120,47,0.2643,0.1539,0.0602,0.0502,47,0,73,fast_base 73 / rule_recover_matched_label 47
ratio_le_0.90_else_uncovered,120,47,0.2644,0.1542,0.0598,0.0504,39,8,73,fast_base 73 / rule_recover_matched_label 39 / rule_recover_uncovered_only 8
spk_gt_min_recover_4.0,120,47,0.2646,0.1573,0.0575,0.0498,18,22,80,fast_base 80 / rule_recover_matched_label 18 / rule_recover_uncovered_only 22
spk_gt_or_ratio_le_0.85,120,47,0.2646,0.1543,0.0599,0.0505,35,12,73,fast_base 73 / rule_recover_matched_label 35 / rule_recover_uncovered_only 12
spk_gt_or_ratio_le_0.80,120,47,0.2647,0.1545,0.0596,0.0507,31,16,73,fast_base 73 / rule_recover_matched_label 31 / rule_recover_uncovered_only 16
ratio_le_0.80_else_uncovered,120,47,0.2649,0.1550,0.0592,0.0508,26,21,73,fast_base 73 / rule_recover_matched_label 26 / rule_recover_uncovered_only 21
ratio_le_0.85_else_uncovered,120,47,0.2649,0.1547,0.0595,0.0507,31,16,73,fast_base 73 / rule_recover_matched_label 31 / rule_recover_uncovered_only 16
spk_ge,120,47,0.2649,0.1546,0.0601,0.0502,44,3,73,fast_base 73 / rule_recover_matched_label 44 / rule_recover_uncovered_only 3
spk_ge_or_ratio_le_0.25,120,47,0.2649,0.1546,0.0601,0.0502,44,3,73,fast_base 73 / rule_recover_matched_label 44 / rule_recover_uncovered_only 3
spk_ge_or_ratio_le_0.30,120,47,0.2649,0.1546,0.0601,0.0502,44,3,73,fast_base 73 / rule_recover_matched_label 44 / rule_recover_uncovered_only 3
spk_ge_or_ratio_le_0.35,120,47,0.2649,0.1546,0.0601,0.0502,44,3,73,fast_base 73 / rule_recover_matched_label 44 / rule_recover_uncovered_only 3
spk_ge_or_ratio_le_0.40,120,47,0.2649,0.1546,0.0601,0.0502,44,3,73,fast_base 73 / rule_recover_matched_label 44 / rule_recover_uncovered_only 3
spk_ge_or_ratio_le_0.45,120,47,0.2649,0.1546,0.0601,0.0502,44,3,73,fast_base 73 / rule_recover_matched_label 44 / rule_recover_uncovered_only 3
spk_ge_or_ratio_le_0.50,120,47,0.2649,0.1546,0.0601,0.0502,44,3,73,fast_base 73 / rule_recover_matched_label 44 / rule_recover_uncovered_only 3
spk_ge_or_ratio_le_0.55,120,47,0.2649,0.1546,0.0601,0.0502,44,3,73,fast_base 73 / rule_recover_matched_label 44 / rule_recover_uncovered_only 3
spk_ge_or_ratio_le_0.60,120,47,0.2649,0.1546,0.0601,0.0502,44,3,73,fast_base 73 / rule_recover_matched_label 44 / rule_recover_uncovered_only 3
all_uncovered,120,47,0.2653,0.1595,0.0554,0.0503,0,47,73,fast_base 73 / rule_recover_uncovered_only 47
spk_gt_else_fast,120,47,0.2707,0.1662,0.0568,0.0477,21,0,99,fast_base 99 / rule_recover_matched_label 21
