recording_id,window_size,segment_idx,audio_path,audio_exists,offset,duration,sample_rate,channels,audio_speech_sec,audio_speech_ratio,audio_mean_db,audio_p20_db,audio_p50_db,audio_p90_db,audio_p95_db,audio_threshold_db,audio_dynamic_range_db,audio_high_energy_ratio,audio_low_energy_ratio,audio_max_speech_sec,audio_max_speech_ratio,audio_max_mean_db,audio_max_p90_db,audio_max_threshold_db,audio_max_minus_mean_p90_db,audio_channel_activity_mean,audio_channel_activity_p90,audio_channel_activity_ratio,audio_frame_count,feature_status
R8007_M8011,30,1,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8007_M8011_MS806.wav,True,270.0,30.0,16000,8,11.0,0.3667,-40.9642,-45.6327,-40.08,-32.1309,-30.2547,-37.6327,13.5018,0.1001,0.2001,11.74,0.3913,-36.6746,-26.9331,-33.8468,5.1978,1.998,8.0,0.2497,2998,ok
R8007_M8011,30,2,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8007_M8011_MS806.wav,True,300.0,30.0,16000,8,10.86,0.362,-38.3335,-43.3992,-37.7385,-30.3062,-28.5085,-35.3992,13.093,0.1001,0.2001,11.52,0.384,-33.3754,-24.9045,-30.6789,5.4016,1.7462,7.0,0.2183,2998,ok
R8007_M8011,30,3,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8007_M8011_MS806.wav,True,420.0,30.0,16000,8,12.03,0.401,-38.8707,-44.4022,-37.8823,-30.3366,-28.4173,-36.4022,14.0656,0.1001,0.2001,12.81,0.427,-33.9924,-25.0323,-31.7184,5.3043,1.9109,7.0,0.2389,2998,ok
R8007_M8011,30,4,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8007_M8011_MS806.wav,True,510.0,30.0,16000,8,11.88,0.396,-39.8009,-44.5438,-38.2051,-30.9923,-29.2815,-36.5438,13.5515,0.1001,0.2001,12.08,0.4027,-35.0745,-25.7552,-32.055,5.2371,1.9239,7.0,0.2405,2998,ok
R8007_M8011,30,5,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8007_M8011_MS806.wav,True,630.0,30.0,16000,8,11.25,0.375,-40.106,-44.9699,-39.0364,-31.8774,-30.1356,-36.9699,13.0925,0.1001,0.2001,11.78,0.3927,-35.4789,-26.7078,-32.7155,5.1696,1.8182,7.0,0.2273,2998,ok
R8007_M8011,30,6,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8007_M8011_MS806.wav,True,810.0,30.0,16000,8,13.0,0.4333,-41.5892,-47.4009,-40.8208,-31.5456,-29.5216,-39.4009,15.8553,0.1001,0.2001,11.92,0.3973,-37.7071,-27.6448,-35.2078,3.9008,2.3282,8.0,0.291,2998,ok
R8007_M8011,30,7,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8007_M8011_MS806.wav,True,840.0,30.0,16000,8,13.21,0.4403,-38.4366,-43.79,-36.6753,-29.435,-27.7858,-35.79,14.3551,0.1001,0.2001,14.99,0.4997,-33.7428,-24.2668,-31.9939,5.1681,2.5147,8.0,0.3143,2998,ok
R8007_M8011,30,8,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8007_M8011_MS806.wav,True,1110.0,30.0,16000,8,19.81,0.6603,-43.535,-52.4742,-40.9444,-32.3945,-30.0203,-44.4742,20.0797,0.1001,0.2001,20.53,0.6843,-38.9428,-27.2335,-40.6304,5.161,4.5007,8.0,0.5626,2998,ok
R8007_M8011,30,9,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8007_M8011_MS806.wav,True,1320.0,30.0,16000,8,11.38,0.3793,-37.0966,-42.4469,-36.3797,-28.4361,-26.4007,-34.4469,14.0108,0.1001,0.2001,12.54,0.418,-32.0842,-22.9649,-29.7203,5.4712,1.8799,7.0,0.235,2998,ok
R8007_M8011,30,10,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8007_M8011_MS806.wav,True,1440.0,30.0,16000,8,10.61,0.3537,-39.2106,-43.9713,-38.1421,-30.5969,-28.9425,-35.9713,13.3743,0.1001,0.2001,11.73,0.391,-34.9528,-25.4245,-32.2149,5.1724,1.95,8.0,0.2437,2998,ok
R8007_M8011,30,11,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8007_M8011_MS806.wav,True,1530.0,30.0,16000,8,14.97,0.499,-41.2919,-47.9514,-39.9589,-30.2474,-28.2687,-39.9514,17.704,0.1001,0.2001,15.95,0.5317,-36.8575,-24.749,-36.3329,5.4984,3.2181,8.0,0.4023,2998,ok
R8007_M8011,30,12,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8007_M8011_MS806.wav,True,1650.0,30.0,16000,8,13.56,0.452,-41.182,-46.4901,-39.2742,-32.2633,-30.8176,-38.4901,14.2268,0.1001,0.2001,12.9,0.43,-36.8161,-27.3286,-33.9191,4.9346,2.1237,8.0,0.2655,2998,ok
R8007_M8011,30,13,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8007_M8011_MS806.wav,True,1710.0,30.0,16000,8,8.85,0.295,-39.5286,-43.7692,-38.8276,-31.8098,-30.1323,-35.7692,11.9594,0.1001,0.2001,9.51,0.317,-35.3557,-27.333,-31.8416,4.4768,1.4179,6.0,0.1772,2998,ok
R8007_M8011,30,14,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8007_M8011_MS806.wav,True,1740.0,30.0,16000,8,10.09,0.3363,-38.0044,-42.5062,-36.9295,-29.8164,-28.1084,-34.5062,12.6898,0.1001,0.2001,11.48,0.3827,-33.2815,-24.7644,-30.3944,5.0519,1.7205,7.0,0.2151,2998,ok
R8001_M8004,30,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8001_M8004_MS801.wav,True,60.0,30.0,16000,8,10.83,0.361,-48.1987,-53.7967,-46.9362,-39.5746,-37.8131,-45.0,14.2221,0.1001,0.2001,13.52,0.4507,-44.2782,-35.182,-42.2601,4.3925,2.2779,8.0,0.2847,2998,ok
R8001_M8004,30,1,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8001_M8004_MS801.wav,True,150.0,30.0,16000,8,11.7,0.39,-45.6825,-51.562,-45.4407,-35.4902,-33.8767,-43.562,16.0718,0.1001,0.2001,12.56,0.4187,-41.6882,-30.6236,-40.0405,4.8666,2.2125,8.0,0.2766,2998,ok
R8001_M8004,30,2,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8001_M8004_MS801.wav,True,180.0,30.0,16000,8,12.76,0.4253,-47.7589,-56.1124,-46.8766,-36.6327,-34.6996,-45.0,19.4797,0.1001,0.2001,16.86,0.562,-43.7408,-31.6811,-44.5884,4.9516,3.7145,8.0,0.4643,2998,ok
R8001_M8004,30,3,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8001_M8004_MS801.wav,True,210.0,30.0,16000,8,13.91,0.4637,-47.4087,-55.7416,-45.6582,-37.6793,-36.1413,-45.0,18.0623,0.1001,0.2001,17.96,0.5987,-43.2377,-32.975,-43.8177,4.7043,3.6211,8.0,0.4526,2998,ok
R8001_M8004,30,4,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8001_M8004_MS801.wav,True,390.0,30.0,16000,8,13.18,0.4393,-44.8323,-51.1624,-44.3964,-34.6106,-32.4902,-43.1624,16.5518,0.1001,0.2001,13.38,0.446,-41.0319,-30.0722,-39.5201,4.5384,2.525,8.0,0.3156,2998,ok
R8001_M8004,30,5,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8001_M8004_MS801.wav,True,480.0,30.0,16000,8,16.68,0.556,-42.5762,-51.2212,-41.523,-31.3522,-29.3126,-43.2212,19.869,0.1001,0.2001,17.12,0.5707,-38.644,-26.675,-39.7171,4.6771,3.8919,8.0,0.4865,2998,ok
R8001_M8004,30,6,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8001_M8004_MS801.wav,True,630.0,30.0,16000,8,10.66,0.3553,-43.0556,-48.7061,-43.0255,-34.6335,-32.5339,-40.7061,14.0726,0.1001,0.2001,11.08,0.3693,-39.267,-30.6345,-36.98,3.999,2.0981,8.0,0.2623,2998,ok
R8001_M8004,30,7,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8001_M8004_MS801.wav,True,660.0,30.0,16000,8,6.9,0.23,-51.4569,-59.5188,-50.2377,-42.4091,-40.7177,-45.0,17.1096,0.1001,0.2001,12.66,0.422,-47.9509,-38.3384,-45.0,4.0708,2.3899,8.0,0.2987,2998,ok
R8001_M8004,30,8,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8001_M8004_MS801.wav,True,720.0,30.0,16000,8,12.88,0.4293,-43.187,-49.6186,-42.9749,-32.138,-29.9255,-41.6186,17.4806,0.1001,0.2001,13.28,0.4427,-39.1754,-27.9531,-37.7166,4.1849,2.5554,8.0,0.3194,2998,ok
R8001_M8004,30,9,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8001_M8004_MS801.wav,True,870.0,30.0,16000,8,10.98,0.366,-43.5307,-49.0102,-43.4796,-35.1722,-33.3682,-41.0102,13.838,0.1001,0.2001,11.26,0.3753,-39.5598,-31.0903,-37.2088,4.082,1.9566,8.0,0.2446,2998,ok
R8001_M8004,30,10,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8001_M8004_MS801.wav,True,1020.0,30.0,16000,8,15.88,0.5293,-43.5699,-51.0957,-42.4137,-33.4797,-31.6136,-43.0957,17.616,0.1001,0.2001,16.38,0.546,-39.6521,-29.0649,-39.5769,4.4148,3.3989,8.0,0.4249,2998,ok
R8001_M8004,30,11,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8001_M8004_MS801.wav,True,1140.0,30.0,16000,8,9.6,0.32,-47.8317,-53.2619,-47.8221,-39.0745,-34.8875,-45.0,14.1874,0.1001,0.2001,10.69,0.3563,-44.348,-35.5633,-41.9838,3.5112,1.9286,8.0,0.2411,2998,ok
R8001_M8004,30,12,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8001_M8004_MS801.wav,True,1320.0,30.0,16000,8,9.68,0.3227,-42.7531,-47.5331,-42.421,-34.0647,-32.0825,-39.5331,13.4684,0.1001,0.2001,10.14,0.338,-39.085,-30.1355,-36.048,3.9292,1.9276,8.0,0.241,2998,ok
R8001_M8004,30,13,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8001_M8004_MS801.wav,True,1440.0,30.0,16000,8,7.16,0.2387,-50.3195,-57.4875,-49.5543,-41.8129,-39.3513,-45.0,15.6746,0.1001,0.2001,13.41,0.447,-46.9176,-37.9058,-45.0,3.907,2.6334,8.0,0.3292,2998,ok
R8001_M8004,30,14,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8001_M8004_MS801.wav,True,1500.0,30.0,16000,8,9.61,0.3203,-48.3886,-54.43,-47.7879,-40.2084,-38.081,-45.0,14.2217,0.1001,0.2001,13.54,0.4513,-44.7995,-36.5664,-43.1019,3.642,2.4393,8.0,0.3049,2998,ok
R8009_M8020,30,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8009_M8020_MS810.wav,True,60.0,30.0,16000,8,10.09,0.3363,-51.3069,-62.9071,-48.7236,-40.1777,-38.3211,-45.0,22.7294,0.1001,0.2001,15.92,0.5307,-46.6359,-35.243,-45.0,4.9347,2.8519,8.0,0.3565,2998,ok
R8009_M8020,30,1,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8009_M8020_MS810.wav,True,120.0,30.0,16000,8,11.95,0.3983,-49.146,-57.349,-46.874,-39.6311,-37.9559,-45.0,17.7179,0.1001,0.2001,18.59,0.6197,-44.026,-34.7604,-44.3516,4.8707,3.1504,8.0,0.3938,2998,ok
R8009_M8020,30,2,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8009_M8020_MS810.wav,True,150.0,30.0,16000,8,14.5,0.4833,-47.0009,-53.3354,-45.3901,-38.1592,-36.8274,-45.0,15.1763,0.1001,0.2001,15.09,0.503,-41.9731,-33.091,-40.3844,5.0682,2.1498,6.0,0.2687,2998,ok
R8009_M8020,30,3,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8009_M8020_MS810.wav,True,360.0,30.0,16000,8,12.12,0.404,-50.4531,-63.4931,-48.3362,-37.2877,-35.6682,-45.0,26.2053,0.1001,0.2001,16.29,0.543,-45.5778,-31.9348,-45.0,5.3529,3.516,8.0,0.4395,2998,ok
R8009_M8020,30,4,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8009_M8020_MS810.wav,True,540.0,30.0,16000,8,16.27,0.5423,-46.4517,-55.4406,-44.1026,-35.9845,-34.4068,-45.0,19.4561,0.1001,0.2001,18.58,0.6193,-41.6697,-30.7234,-42.6752,5.2611,3.6908,8.0,0.4613,2998,ok
R8009_M8020,30,5,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8009_M8020_MS810.wav,True,690.0,30.0,16000,8,15.92,0.5307,-45.9779,-52.3764,-43.7199,-36.717,-35.357,-44.3764,15.6593,0.1001,0.2001,16.08,0.536,-41.0687,-31.7017,-39.572,5.0153,2.3783,6.0,0.2973,2998,ok
R8009_M8020,30,6,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8009_M8020_MS810.wav,True,720.0,30.0,16000,8,15.26,0.5087,-46.8937,-54.662,-44.6368,-37.1862,-35.6061,-45.0,17.4758,0.1001,0.2001,18.06,0.602,-41.9637,-32.086,-42.2806,5.1002,3.3442,8.0,0.418,2998,ok
R8009_M8020,30,7,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8009_M8020_MS810.wav,True,1050.0,30.0,16000,8,15.37,0.5123,-47.2083,-57.1266,-44.7278,-35.9667,-34.3164,-45.0,21.1599,0.1001,0.2001,19.06,0.6353,-42.6666,-31.0823,-44.2678,4.8844,4.034,8.0,0.5043,2998,ok
R8009_M8020,30,8,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8009_M8020_MS810.wav,True,1080.0,30.0,16000,8,14.86,0.4953,-47.3029,-56.0215,-45.1361,-37.2575,-35.7264,-45.0,18.764,0.1001,0.2001,17.93,0.5977,-42.3863,-32.2518,-42.9769,5.0058,3.3939,8.0,0.4242,2998,ok
