parent_window_id,recording_id,segment_idx,patch_count,subcalls,prompt_chars,estimated_prompt_tokens_chars_div4,original_call_seconds,simulated_parallel_call_seconds,observed_total_tokens,simulated_total_tokens,window_decision,deepseek_status,deepseek_live_split_max_seconds,deepseek_live_token_multiplier,qwen_status,qwen_live_split_max_seconds,qwen_live_token_multiplier
R8003_M8001:30:0,R8003_M8001,0,27,2,24418,6104,22.289,17.306,10974,12673.9,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8007_M8011:30:11,R8007_M8011,11,26,2,23904,5976,22.124,16.503,9994,12231.0,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8009_M8018:30:6,R8009_M8018,6,24,2,21953,5488,21.85,16.16,10195,11894.9,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8009_M8020:30:11,R8009_M8020,11,15,1,12091,3023,21.787,17.89,6476,6794.8,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8001_M8004:30:2,R8001_M8004,2,23,2,21738,5434,21.604,16.15,9832,11531.9,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8003_M8001:30:4,R8003_M8001,4,25,2,21487,5372,20.824,16.503,9433,11891.3,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8009_M8019:30:10,R8009_M8019,10,14,1,11269,2817,20.064,17.842,6771,6771.0,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8008_M8013:30:4,R8008_M8013,4,14,1,10957,2739,19.819,17.197,6107,6455.2,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8009_M8018:30:1,R8009_M8018,1,11,1,9526,2382,19.401,16.055,5896,5896.0,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8001_M8004:30:11,R8001_M8004,11,22,2,23772,5943,19.39,15.924,9964,11663.9,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8008_M8013:30:7,R8008_M8013,7,13,1,15893,3973,19.304,19.587,7626,7626.0,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8007_M8011:30:1,R8007_M8011,1,17,1,16501,4125,19.257,20.153,7903,7903.0,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8007_M8011:30:6,R8007_M8011,6,13,1,12009,3002,19.075,18.021,6859,6859.0,review,pending_live,0.0,0.0,not_run,0.0,0.0
R8008_M8013:30:1,R8008_M8013,1,16,1,12165,3041,18.899,18.875,7277,7277.0,review,pending_live,0.0,0.0,not_run,0.0,0.0
R8007_M8011:30:12,R8007_M8011,12,18,1,13410,3352,18.74,19.971,7532,7813.8,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8003_M8001:30:7,R8003_M8001,7,24,2,23218,5804,18.579,16.064,10101,11800.9,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8009_M8018:30:10,R8009_M8018,10,20,1,15258,3814,18.455,21.358,8178,8493.2,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8001_M8004:30:0,R8001_M8004,0,15,1,12997,3249,18.401,17.89,6766,6794.8,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8009_M8019:30:2,R8009_M8019,2,19,1,14561,3640,18.33,20.664,7534,8153.5,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8007_M8011:30:5,R8007_M8011,5,19,1,14515,3629,18.279,20.664,7299,8153.5,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8008_M8013:30:12,R8008_M8013,12,10,1,9920,2480,18.156,15.32,5536,5536.0,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8009_M8020:30:3,R8009_M8020,3,3,1,4642,1160,17.984,11.332,3583,3583.0,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8009_M8019:30:12,R8009_M8019,12,17,1,14130,3532,17.859,19.277,7315,7474.2,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8009_M8019:30:3,R8009_M8019,3,19,1,13813,3453,17.289,20.664,7472,8153.5,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8001_M8004:30:5,R8001_M8004,5,10,1,12992,3248,17.054,16.227,5980,5980.0,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8009_M8020:30:4,R8009_M8020,4,8,1,7073,1768,16.931,13.036,4383,4417.2,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8007_M8011:30:14,R8007_M8011,14,8,1,8346,2086,16.868,14.252,5013,5013.0,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8009_M8019:30:8,R8009_M8019,8,15,1,11878,2970,16.814,17.89,6464,6794.8,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8009_M8020:30:5,R8009_M8020,5,11,1,9492,2373,16.48,15.314,5533,5533.0,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8001_M8004:30:3,R8001_M8004,3,3,1,4446,1112,16.407,10.736,3291,3291.0,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8001_M8004:30:7,R8001_M8004,7,24,2,21574,5394,16.384,15.81,8917,11551.7,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8008_M8013:30:14,R8008_M8013,14,17,1,15068,3767,16.272,19.591,7628,7628.0,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8009_M8018:30:8,R8009_M8018,8,12,1,9695,2424,15.347,15.81,5152,5775.8,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8009_M8020:30:2,R8009_M8020,2,15,1,12045,3011,14.565,17.89,6446,6794.8,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8001_M8004:30:12,R8001_M8004,12,11,1,13809,3452,14.336,17.149,6432,6432.0,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8008_M8013:30:2,R8008_M8013,2,20,1,15932,3983,14.312,21.358,7236,8493.2,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8009_M8018:30:14,R8009_M8018,14,15,1,12088,3022,14.02,17.89,6180,6794.8,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8009_M8018:30:5,R8009_M8018,5,13,1,10725,2681,13.877,16.503,5682,6115.5,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8001_M8004:30:4,R8001_M8004,4,14,1,17136,4284,13.793,19.646,7655,7655.0,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8009_M8019:30:5,R8009_M8019,5,9,1,8164,2041,13.787,13.862,4822,4822.0,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8003_M8001:30:6,R8003_M8001,6,12,1,10010,2502,13.701,15.81,4994,5775.8,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8009_M8019:30:9,R8009_M8019,9,16,1,12615,3154,13.302,18.584,6499,7134.5,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8007_M8011:30:0,R8007_M8011,0,4,1,4722,1180,12.168,10.608,3228,3228.0,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8007_M8011:30:4,R8007_M8011,4,3,1,4434,1108,12.045,9.568,2637,2718.8,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8009_M8020:30:1,R8009_M8020,1,10,1,8959,2240,11.57,14.423,4399,5096.5,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8008_M8013:30:13,R8008_M8013,13,3,1,4801,1200,10.972,9.568,2657,2718.8,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8001_M8004:30:13,R8001_M8004,13,6,1,7051,1763,10.748,11.649,3307,3737.8,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8003_M8001:30:13,R8003_M8001,13,4,1,5075,1269,9.915,10.262,2456,3058.5,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8007_M8011:30:2,R8007_M8011,2,5,1,7939,1985,9.846,11.433,3632,3632.0,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8008_M8013:30:6,R8008_M8013,6,5,1,6885,1721,9.77,10.955,3314,3398.2,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8003_M8001:30:11,R8003_M8001,11,7,1,7759,1940,9.713,12.342,3868,4077.5,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8001_M8004:30:9,R8001_M8004,9,11,1,14053,3513,9.418,16.459,6094,6094.0,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8009_M8018:30:3,R8009_M8018,3,3,1,4786,1196,8.621,9.568,2447,2718.8,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8001_M8004:30:6,R8001_M8004,6,6,1,8234,2058,8.607,11.939,3880,3880.0,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8007_M8010:30:1,R8007_M8010,1,3,1,4923,1231,8.181,9.568,2543,2718.8,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8003_M8001:30:8,R8003_M8001,8,3,1,5006,1252,8.107,9.568,2414,2718.8,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8008_M8013:30:3,R8008_M8013,3,9,1,9212,2303,7.772,13.729,4229,4756.8,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8001_M8004:30:8,R8001_M8004,8,5,1,6865,1716,7.701,10.955,3289,3398.2,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8008_M8013:30:11,R8008_M8013,11,3,1,4862,1216,7.631,9.568,2457,2718.8,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8003_M8001:30:3,R8003_M8001,3,3,1,4957,1239,6.794,9.568,2095,2718.8,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8007_M8011:30:9,R8007_M8011,9,5,1,7930,1982,6.672,11.214,3525,3525.0,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8008_M8013:30:8,R8008_M8013,8,4,1,5999,1500,5.956,10.262,2673,3058.5,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8007_M8011:30:3,R8007_M8011,3,3,1,4410,1102,4.497,9.568,1971,2718.8,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
