call_index,call_id,model,recording_id,window_size,segment_idx,window_id,expansion_role,prior_bucket,existing_omni_result,audio,audio_exists,clip_start_sec,clip_sec,proxy_score,proxy_reasons,prior_omni_risks,source_artifacts,output_jsonl,writeback_right
12,R8003_M8001:30:5:qwen3.5-omni-plus-2026-03-15,qwen3.5-omni-plus-2026-03-15,R8003_M8001,30,5,R8003_M8001:30:5,anchor_smoke_window,high,1,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8003_M8001_MS801.wav,1,150.0,8.0,0.0,,medium,outputs/omni_guard/omni_flash_plus_window_batch_12.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
13,R8007_M8010:30:4:qwen3.5-omni-flash,qwen3.5-omni-flash,R8007_M8010,30,4,R8007_M8010:30:4,anchor_smoke_window,high,1,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8007_M8010_MS803.wav,1,120.0,8.0,0.0,,high;medium,outputs/omni_guard/omni_flash_plus_window_batch_12.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
14,R8007_M8010:30:4:qwen3.5-omni-plus-2026-03-15,qwen3.5-omni-plus-2026-03-15,R8007_M8010,30,4,R8007_M8010:30:4,anchor_smoke_window,high,1,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8007_M8010_MS803.wav,1,120.0,8.0,0.0,,high;medium,outputs/omni_guard/omni_flash_plus_window_batch_12.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
15,R8007_M8011:30:0:qwen3.5-omni-flash,qwen3.5-omni-flash,R8007_M8011,30,0,R8007_M8011:30:0,anchor_smoke_window,clean,1,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8007_M8011_MS806.wav,1,0.0,8.0,0.0,,low,outputs/omni_guard/omni_flash_plus_window_batch_12.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
16,R8007_M8011:30:0:qwen3.5-omni-plus-2026-03-15,qwen3.5-omni-plus-2026-03-15,R8007_M8011,30,0,R8007_M8011:30:0,anchor_smoke_window,clean,1,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8007_M8011_MS806.wav,1,0.0,8.0,0.0,,low,outputs/omni_guard/omni_flash_plus_window_batch_12.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
17,R8008_M8013:30:2:qwen3.5-omni-flash,qwen3.5-omni-flash,R8008_M8013,30,2,R8008_M8013:30:2,anchor_smoke_window,medium,1,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8008_M8013_MS807.wav,1,60.0,8.0,0.0,,low,outputs/omni_guard/omni_flash_plus_window_batch_12.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
18,R8008_M8013:30:2:qwen3.5-omni-plus-2026-03-15,qwen3.5-omni-plus-2026-03-15,R8008_M8013,30,2,R8008_M8013:30:2,anchor_smoke_window,medium,1,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8008_M8013_MS807.wav,1,60.0,8.0,0.0,,low,outputs/omni_guard/omni_flash_plus_window_batch_12.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
19,R8009_M8018:30:0:qwen3.5-omni-flash,qwen3.5-omni-flash,R8009_M8018,30,0,R8009_M8018:30:0,anchor_smoke_window,medium,1,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8009_M8018_MS809.wav,1,0.0,8.0,0.0,,low,outputs/omni_guard/omni_flash_plus_window_batch_12.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
20,R8009_M8018:30:0:qwen3.5-omni-plus-2026-03-15,qwen3.5-omni-plus-2026-03-15,R8009_M8018,30,0,R8009_M8018:30:0,anchor_smoke_window,medium,1,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8009_M8018_MS809.wav,1,0.0,8.0,0.0,,low,outputs/omni_guard/omni_flash_plus_window_batch_12.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
21,R8009_M8019:30:0:qwen3.5-omni-flash,qwen3.5-omni-flash,R8009_M8019,30,0,R8009_M8019:30:0,anchor_smoke_window,clean,1,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8009_M8019_MS810.wav,1,0.0,8.0,0.0,,medium,outputs/omni_guard/omni_flash_plus_window_batch_12.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
22,R8009_M8019:30:0:qwen3.5-omni-plus-2026-03-15,qwen3.5-omni-plus-2026-03-15,R8009_M8019,30,0,R8009_M8019:30:0,anchor_smoke_window,clean,1,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8009_M8019_MS810.wav,1,0.0,8.0,0.0,,medium,outputs/omni_guard/omni_flash_plus_window_batch_12.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
23,R8009_M8020:30:4:qwen3.5-omni-flash,qwen3.5-omni-flash,R8009_M8020,30,4,R8009_M8020:30:4,anchor_smoke_window,clean,1,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8009_M8020_MS810.wav,1,120.0,8.0,0.0,,low,outputs/omni_guard/omni_flash_plus_window_batch_12.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
24,R8009_M8020:30:4:qwen3.5-omni-plus-2026-03-15,qwen3.5-omni-plus-2026-03-15,R8009_M8020,30,4,R8009_M8020:30:4,anchor_smoke_window,clean,1,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8009_M8020_MS810.wav,1,120.0,8.0,0.0,,low,outputs/omni_guard/omni_flash_plus_window_batch_12.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
25,R8001_M8004:30:12:qwen3.5-omni-flash,qwen3.5-omni-flash,R8001_M8004,30,12,R8001_M8004:30:12,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8001_M8004_MS801.wav,1,360.0,8.0,20.632,cross_model_disagreement_high;cross_model_segment_count_gap;cross_model_speaker_count_mismatch;pred_speech_too_long;slow_speech_much_longer_than_fast,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
26,R8001_M8004:30:12:qwen3.5-omni-plus-2026-03-15,qwen3.5-omni-plus-2026-03-15,R8001_M8004,30,12,R8001_M8004:30:12,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8001_M8004_MS801.wav,1,360.0,8.0,20.632,cross_model_disagreement_high;cross_model_segment_count_gap;cross_model_speaker_count_mismatch;pred_speech_too_long;slow_speech_much_longer_than_fast,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
27,R8001_M8004:30:9:qwen3.5-omni-flash,qwen3.5-omni-flash,R8001_M8004,30,9,R8001_M8004:30:9,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8001_M8004_MS801.wav,1,270.0,8.0,20.341,cross_model_disagreement_high;cross_model_segment_count_gap;cross_model_speaker_count_mismatch;pred_speech_too_long;slow_speech_much_longer_than_fast,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
28,R8001_M8004:30:9:qwen3.5-omni-plus-2026-03-15,qwen3.5-omni-plus-2026-03-15,R8001_M8004,30,9,R8001_M8004:30:9,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8001_M8004_MS801.wav,1,270.0,8.0,20.341,cross_model_disagreement_high;cross_model_segment_count_gap;cross_model_speaker_count_mismatch;pred_speech_too_long;slow_speech_much_longer_than_fast,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
29,R8001_M8004:30:4:qwen3.5-omni-flash,qwen3.5-omni-flash,R8001_M8004,30,4,R8001_M8004:30:4,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8001_M8004_MS801.wav,1,120.0,8.0,20.010,cross_model_disagreement_high;cross_model_segment_count_gap;cross_model_speaker_count_mismatch;pred_speech_too_long;slow_speech_much_longer_than_fast,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
30,R8001_M8004:30:4:qwen3.5-omni-plus-2026-03-15,qwen3.5-omni-plus-2026-03-15,R8001_M8004,30,4,R8001_M8004:30:4,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8001_M8004_MS801.wav,1,120.0,8.0,20.010,cross_model_disagreement_high;cross_model_segment_count_gap;cross_model_speaker_count_mismatch;pred_speech_too_long;slow_speech_much_longer_than_fast,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
31,R8008_M8013:30:7:qwen3.5-omni-flash,qwen3.5-omni-flash,R8008_M8013,30,7,R8008_M8013:30:7,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8008_M8013_MS807.wav,1,210.0,8.0,19.257,cross_model_disagreement_high;cross_model_segment_count_gap;cross_model_speaker_count_mismatch;pred_speech_too_long;slow_speech_much_longer_than_fast,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
32,R8008_M8013:30:7:qwen3.5-omni-plus-2026-03-15,qwen3.5-omni-plus-2026-03-15,R8008_M8013,30,7,R8008_M8013:30:7,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8008_M8013_MS807.wav,1,210.0,8.0,19.257,cross_model_disagreement_high;cross_model_segment_count_gap;cross_model_speaker_count_mismatch;pred_speech_too_long;slow_speech_much_longer_than_fast,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
33,R8007_M8011:30:9:qwen3.5-omni-flash,qwen3.5-omni-flash,R8007_M8011,30,9,R8007_M8011:30:9,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8007_M8011_MS806.wav,1,270.0,8.0,17.546,cross_model_disagreement_high;cross_model_segment_count_gap;cross_model_speaker_count_mismatch;pred_speech_too_long;slow_speech_much_longer_than_fast,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
34,R8007_M8011:30:9:qwen3.5-omni-plus-2026-03-15,qwen3.5-omni-plus-2026-03-15,R8007_M8011,30,9,R8007_M8011:30:9,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8007_M8011_MS806.wav,1,270.0,8.0,17.546,cross_model_disagreement_high;cross_model_segment_count_gap;cross_model_speaker_count_mismatch;pred_speech_too_long;slow_speech_much_longer_than_fast,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
35,R8007_M8011:30:2:qwen3.5-omni-flash,qwen3.5-omni-flash,R8007_M8011,30,2,R8007_M8011:30:2,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8007_M8011_MS806.wav,1,60.0,8.0,17.237,cross_model_disagreement_high;cross_model_segment_count_gap;cross_model_speaker_count_mismatch;pred_speech_too_long;slow_speech_much_longer_than_fast,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
36,R8007_M8011:30:2:qwen3.5-omni-plus-2026-03-15,qwen3.5-omni-plus-2026-03-15,R8007_M8011,30,2,R8007_M8011:30:2,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8007_M8011_MS806.wav,1,60.0,8.0,17.237,cross_model_disagreement_high;cross_model_segment_count_gap;cross_model_speaker_count_mismatch;pred_speech_too_long;slow_speech_much_longer_than_fast,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
37,R8001_M8004:30:6:qwen3.5-omni-flash,qwen3.5-omni-flash,R8001_M8004,30,6,R8001_M8004:30:6,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8001_M8004_MS801.wav,1,180.0,8.0,11.901,cross_model_segment_count_gap;cross_model_speaker_count_mismatch;pred_speech_too_long;slow_speech_much_longer_than_fast,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
38,R8001_M8004:30:6:qwen3.5-omni-plus-2026-03-15,qwen3.5-omni-plus-2026-03-15,R8001_M8004,30,6,R8001_M8004:30:6,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8001_M8004_MS801.wav,1,180.0,8.0,11.901,cross_model_segment_count_gap;cross_model_speaker_count_mismatch;pred_speech_too_long;slow_speech_much_longer_than_fast,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
39,R8001_M8004:30:8:qwen3.5-omni-flash,qwen3.5-omni-flash,R8001_M8004,30,8,R8001_M8004:30:8,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8001_M8004_MS801.wav,1,240.0,8.0,9.021,cross_model_speaker_count_mismatch;pred_speech_too_long;slow_speech_much_longer_than_fast,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
40,R8001_M8004:30:8:qwen3.5-omni-plus-2026-03-15,qwen3.5-omni-plus-2026-03-15,R8001_M8004,30,8,R8001_M8004:30:8,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8001_M8004_MS801.wav,1,240.0,8.0,9.021,cross_model_speaker_count_mismatch;pred_speech_too_long;slow_speech_much_longer_than_fast,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
41,R8008_M8013:30:8:qwen3.5-omni-flash,qwen3.5-omni-flash,R8008_M8013,30,8,R8008_M8013:30:8,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8008_M8013_MS807.wav,1,240.0,8.0,7.196,cross_model_segment_count_gap;cross_model_speaker_count_mismatch;pred_speech_too_long,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
42,R8008_M8013:30:8:qwen3.5-omni-plus-2026-03-15,qwen3.5-omni-plus-2026-03-15,R8008_M8013,30,8,R8008_M8013:30:8,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8008_M8013_MS807.wav,1,240.0,8.0,7.196,cross_model_segment_count_gap;cross_model_speaker_count_mismatch;pred_speech_too_long,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
43,R8008_M8013:30:6:qwen3.5-omni-flash,qwen3.5-omni-flash,R8008_M8013,30,6,R8008_M8013:30:6,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8008_M8013_MS807.wav,1,180.0,8.0,7.162,cross_model_segment_count_gap;cross_model_speaker_count_mismatch;pred_speech_too_long,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
44,R8008_M8013:30:6:qwen3.5-omni-plus-2026-03-15,qwen3.5-omni-plus-2026-03-15,R8008_M8013,30,6,R8008_M8013:30:6,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8008_M8013_MS807.wav,1,180.0,8.0,7.162,cross_model_segment_count_gap;cross_model_speaker_count_mismatch;pred_speech_too_long,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
45,R8007_M8011:30:8:qwen3.5-omni-flash,qwen3.5-omni-flash,R8007_M8011,30,8,R8007_M8011:30:8,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8007_M8011_MS806.wav,1,240.0,8.0,6.955,cross_model_segment_count_gap;cross_model_speaker_count_mismatch;pred_speech_too_long,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
46,R8007_M8011:30:8:qwen3.5-omni-plus-2026-03-15,qwen3.5-omni-plus-2026-03-15,R8007_M8011,30,8,R8007_M8011:30:8,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8007_M8011_MS806.wav,1,240.0,8.0,6.955,cross_model_segment_count_gap;cross_model_speaker_count_mismatch;pred_speech_too_long,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
47,R8001_M8004:30:11:qwen3.5-omni-flash,qwen3.5-omni-flash,R8001_M8004,30,11,R8001_M8004:30:11,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8001_M8004_MS801.wav,1,330.0,8.0,6.459,cross_model_segment_count_gap;cross_model_speaker_count_mismatch;pred_speech_too_long,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
48,R8001_M8004:30:11:qwen3.5-omni-plus-2026-03-15,qwen3.5-omni-plus-2026-03-15,R8001_M8004,30,11,R8001_M8004:30:11,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8001_M8004_MS801.wav,1,330.0,8.0,6.459,cross_model_segment_count_gap;cross_model_speaker_count_mismatch;pred_speech_too_long,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
49,R8007_M8011:30:1:qwen3.5-omni-flash,qwen3.5-omni-flash,R8007_M8011,30,1,R8007_M8011:30:1,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8007_M8011_MS806.wav,1,30.0,8.0,6.250,cross_model_segment_count_gap;cross_model_speaker_count_mismatch;pred_speech_too_long,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
50,R8007_M8011:30:1:qwen3.5-omni-plus-2026-03-15,qwen3.5-omni-plus-2026-03-15,R8007_M8011,30,1,R8007_M8011:30:1,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8007_M8011_MS806.wav,1,30.0,8.0,6.250,cross_model_segment_count_gap;cross_model_speaker_count_mismatch;pred_speech_too_long,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
51,R8009_M8018:30:3:qwen3.5-omni-flash,qwen3.5-omni-flash,R8009_M8018,30,3,R8009_M8018:30:3,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8009_M8018_MS809.wav,1,90.0,8.0,5.240,cross_model_segment_count_gap;pred_speech_too_long,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
52,R8009_M8018:30:3:qwen3.5-omni-plus-2026-03-15,qwen3.5-omni-plus-2026-03-15,R8009_M8018,30,3,R8009_M8018:30:3,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8009_M8018_MS809.wav,1,90.0,8.0,5.240,cross_model_segment_count_gap;pred_speech_too_long,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
