choice_counts,clipped_slow_der,current_final_der,delta_vs_clipped_slow_pp,delta_vs_current,delta_vs_current_pp,description,feature_a,feature_b,final_der,improves_positive_recordings,meaningful_delta,negative_recordings_vs_clipped_slow,op_a,op_b,overlay_losses_vs_current,overlay_wins_vs_current,policy_id,policy_kind,positive_recordings_vs_clipped_slow,selected,selected_windows,source_coverage_windows,source_full_coverage,source_id,source_path,source_stale_gt_mismatch_windows,threshold_a,threshold_b,windows
"{'current_final': 114, 'diarizen-large-v2/diarizen-large-v2/spk_none::outputs/diarizen_uv_48/diarizen-large-v2/default__spk_none': 6}",0.1687966666666667,0.16492333333333334,0.38750000000000173,1.6666666666498298e-06,0.00016666666666498298,audio_p90_db <= -46.2244 AND prev_audio_max_p90_db <= -40.7464,audio_p90_db,prev_audio_max_p90_db,0.1649216666666667,True,False,0,<=,<=,0,2,if_audio_p90_db_<=_-46.2244_AND_prev_audio_max_p90_db_<=_-40.7464_then_diarizen-large-v2__diarizen-large-v2__spk_none::outputs__diarizen_uv_48__diarizen-large-v2__default__spk_none_else_current_final,external_candidate_surface_overlay,6,6,6,120,True,diarizen-large-v2/diarizen-large-v2/spk_none::outputs/diarizen_uv_48/diarizen-large-v2/default__spk_none,outputs/diarizen_uv_48/diarizen-large-v2/default__spk_none/summary.json,0,-46.2244,-40.7464,120
"{'current_final': 114, 'diarizen-large-v2/diarizen-large-v2/spk_none': 6}",0.1687966666666667,0.16492333333333334,0.38750000000000173,1.6666666666498298e-06,0.00016666666666498298,audio_p90_db <= -46.2244 AND prev_audio_max_p90_db <= -40.7464,audio_p90_db,prev_audio_max_p90_db,0.1649216666666667,True,False,0,<=,<=,0,2,if_audio_p90_db_<=_-46.2244_AND_prev_audio_max_p90_db_<=_-40.7464_then_diarizen-large-v2__diarizen-large-v2__spk_none_else_current_final,external_candidate_surface_overlay,6,6,6,120,True,diarizen-large-v2/diarizen-large-v2/spk_none,outputs/diarizen_uv_120/diarizen-large-v2/default__spk_none/summary.json,0,-46.2244,-40.7464,120
"{'current_final': 113, 'diarizen-large-v2/diarizen-large-v2/spk_none::outputs/diarizen_uv_48/diarizen-large-v2/default__spk_none': 7}",0.1687966666666667,0.16492333333333334,0.38750000000000173,1.6666666666498298e-06,0.00016666666666498298,audio_p95_db <= -44.6773 AND prev_audio_max_p90_db <= -40.7464,audio_p95_db,prev_audio_max_p90_db,0.1649216666666667,True,False,0,<=,<=,0,2,if_audio_p95_db_<=_-44.6773_AND_prev_audio_max_p90_db_<=_-40.7464_then_diarizen-large-v2__diarizen-large-v2__spk_none::outputs__diarizen_uv_48__diarizen-large-v2__default__spk_none_else_current_final,external_candidate_surface_overlay,6,7,7,120,True,diarizen-large-v2/diarizen-large-v2/spk_none::outputs/diarizen_uv_48/diarizen-large-v2/default__spk_none,outputs/diarizen_uv_48/diarizen-large-v2/default__spk_none/summary.json,0,-44.6773,-40.7464,120
"{'current_final': 113, 'diarizen-large-v2/diarizen-large-v2/spk_none': 7}",0.1687966666666667,0.16492333333333334,0.38750000000000173,1.6666666666498298e-06,0.00016666666666498298,audio_p95_db <= -44.6773 AND prev_audio_max_p90_db <= -40.7464,audio_p95_db,prev_audio_max_p90_db,0.1649216666666667,True,False,0,<=,<=,0,2,if_audio_p95_db_<=_-44.6773_AND_prev_audio_max_p90_db_<=_-40.7464_then_diarizen-large-v2__diarizen-large-v2__spk_none_else_current_final,external_candidate_surface_overlay,6,7,7,120,True,diarizen-large-v2/diarizen-large-v2/spk_none,outputs/diarizen_uv_120/diarizen-large-v2/default__spk_none/summary.json,0,-44.6773,-40.7464,120
"{'current_final': 111, 'diarizen-large-v2/diarizen-large-v2/spk_none::outputs/diarizen_uv_48/diarizen-large-v2/default__spk_none': 9}",0.1687966666666667,0.16492333333333334,0.38750000000000173,1.6666666666498298e-06,0.00016666666666498298,fast_audio_speech_ratio >= 11.9198 AND prev_audio_max_p90_db <= -40.7464,fast_audio_speech_ratio,prev_audio_max_p90_db,0.1649216666666667,True,False,0,>=,<=,0,2,if_fast_audio_speech_ratio_>=_11.9198_AND_prev_audio_max_p90_db_<=_-40.7464_then_diarizen-large-v2__diarizen-large-v2__spk_none::outputs__diarizen_uv_48__diarizen-large-v2__default__spk_none_else_current_final,external_candidate_surface_overlay,6,9,9,120,True,diarizen-large-v2/diarizen-large-v2/spk_none::outputs/diarizen_uv_48/diarizen-large-v2/default__spk_none,outputs/diarizen_uv_48/diarizen-large-v2/default__spk_none/summary.json,0,11.919811320754718,-40.7464,120
"{'current_final': 111, 'diarizen-large-v2/diarizen-large-v2/spk_none': 9}",0.1687966666666667,0.16492333333333334,0.38750000000000173,1.6666666666498298e-06,0.00016666666666498298,fast_audio_speech_ratio >= 11.9198 AND prev_audio_max_p90_db <= -40.7464,fast_audio_speech_ratio,prev_audio_max_p90_db,0.1649216666666667,True,False,0,>=,<=,0,2,if_fast_audio_speech_ratio_>=_11.9198_AND_prev_audio_max_p90_db_<=_-40.7464_then_diarizen-large-v2__diarizen-large-v2__spk_none_else_current_final,external_candidate_surface_overlay,6,9,9,120,True,diarizen-large-v2/diarizen-large-v2/spk_none,outputs/diarizen_uv_120/diarizen-large-v2/default__spk_none/summary.json,0,11.919811320754718,-40.7464,120
"{'current_final': 115, 'diarizen-large-v2/diarizen-large-v2/spk_none::outputs/diarizen_uv_48/diarizen-large-v2/default__spk_none': 5}",0.1687966666666667,0.16492333333333334,0.38750000000000173,1.6666666666498298e-06,0.00016666666666498298,fast_audio_speech_ratio >= 19.6909,fast_audio_speech_ratio,,0.1649216666666667,True,False,0,>=,,0,2,if_fast_audio_speech_ratio_>=_19.6909_then_diarizen-large-v2__diarizen-large-v2__spk_none::outputs__diarizen_uv_48__diarizen-large-v2__default__spk_none_else_current_final,external_candidate_surface_overlay,6,5,5,120,True,diarizen-large-v2/diarizen-large-v2/spk_none::outputs/diarizen_uv_48/diarizen-large-v2/default__spk_none,outputs/diarizen_uv_48/diarizen-large-v2/default__spk_none/summary.json,0,19.690936763550667,,120
"{'current_final': 115, 'diarizen-large-v2/diarizen-large-v2/spk_none': 5}",0.1687966666666667,0.16492333333333334,0.38750000000000173,1.6666666666498298e-06,0.00016666666666498298,fast_audio_speech_ratio >= 19.6909,fast_audio_speech_ratio,,0.1649216666666667,True,False,0,>=,,0,2,if_fast_audio_speech_ratio_>=_19.6909_then_diarizen-large-v2__diarizen-large-v2__spk_none_else_current_final,external_candidate_surface_overlay,6,5,5,120,True,diarizen-large-v2/diarizen-large-v2/spk_none,outputs/diarizen_uv_120/diarizen-large-v2/default__spk_none/summary.json,0,19.690936763550667,,120
"{'current_final': 112, 'diarizen-large-v2/diarizen-large-v2/spk_none::outputs/diarizen_uv_48/diarizen-large-v2/default__spk_none': 8}",0.1687966666666667,0.16492333333333334,0.38750000000000173,1.6666666666498298e-06,0.00016666666666498298,prev_audio_max_p90_db <= -40.7464 AND slow_audio_speech_ratio >= 17.3855,prev_audio_max_p90_db,slow_audio_speech_ratio,0.1649216666666667,True,False,0,<=,>=,0,2,if_prev_audio_max_p90_db_<=_-40.7464_AND_slow_audio_speech_ratio_>=_17.3855_then_diarizen-large-v2__diarizen-large-v2__spk_none::outputs__diarizen_uv_48__diarizen-large-v2__default__spk_none_else_current_final,external_candidate_surface_overlay,6,8,8,120,True,diarizen-large-v2/diarizen-large-v2/spk_none::outputs/diarizen_uv_48/diarizen-large-v2/default__spk_none,outputs/diarizen_uv_48/diarizen-large-v2/default__spk_none/summary.json,0,-40.7464,17.385474860335194,120
"{'current_final': 112, 'diarizen-large-v2/diarizen-large-v2/spk_none': 8}",0.1687966666666667,0.16492333333333334,0.38750000000000173,1.6666666666498298e-06,0.00016666666666498298,prev_audio_max_p90_db <= -40.7464 AND slow_audio_speech_ratio >= 17.3855,prev_audio_max_p90_db,slow_audio_speech_ratio,0.1649216666666667,True,False,0,<=,>=,0,2,if_prev_audio_max_p90_db_<=_-40.7464_AND_slow_audio_speech_ratio_>=_17.3855_then_diarizen-large-v2__diarizen-large-v2__spk_none_else_current_final,external_candidate_surface_overlay,6,8,8,120,True,diarizen-large-v2/diarizen-large-v2/spk_none,outputs/diarizen_uv_120/diarizen-large-v2/default__spk_none/summary.json,0,-40.7464,17.385474860335194,120
"{'current_final': 108, 'diarizen-large-v2/diarizen-large-v2/spk_none::outputs/diarizen_uv_48/diarizen-large-v2/default__spk_none': 12}",0.1687966666666667,0.16492333333333334,0.38750000000000173,1.6666666666498298e-06,0.00016666666666498298,prev_audio_max_p90_db <= -40.7464,prev_audio_max_p90_db,,0.1649216666666667,True,False,0,<=,,0,2,if_prev_audio_max_p90_db_<=_-40.7464_then_diarizen-large-v2__diarizen-large-v2__spk_none::outputs__diarizen_uv_48__diarizen-large-v2__default__spk_none_else_current_final,external_candidate_surface_overlay,6,12,12,120,True,diarizen-large-v2/diarizen-large-v2/spk_none::outputs/diarizen_uv_48/diarizen-large-v2/default__spk_none,outputs/diarizen_uv_48/diarizen-large-v2/default__spk_none/summary.json,0,-40.7464,,120
"{'current_final': 108, 'diarizen-large-v2/diarizen-large-v2/spk_none': 12}",0.1687966666666667,0.16492333333333334,0.38750000000000173,1.6666666666498298e-06,0.00016666666666498298,prev_audio_max_p90_db <= -40.7464,prev_audio_max_p90_db,,0.1649216666666667,True,False,0,<=,,0,2,if_prev_audio_max_p90_db_<=_-40.7464_then_diarizen-large-v2__diarizen-large-v2__spk_none_else_current_final,external_candidate_surface_overlay,6,12,12,120,True,diarizen-large-v2/diarizen-large-v2/spk_none,outputs/diarizen_uv_120/diarizen-large-v2/default__spk_none/summary.json,0,-40.7464,,120
"{'current_final': 118, 'diarizen-large-v2/diarizen-large-v2/spk_none::outputs/diarizen_uv_48/diarizen-large-v2/default__spk_none': 2}",0.1687966666666667,0.16492333333333334,0.38750000000000173,1.6666666666498298e-06,0.00016666666666498298,prev_fast_segments >= 23,prev_fast_segments,,0.1649216666666667,True,False,0,>=,,0,2,if_prev_fast_segments_>=_23_then_diarizen-large-v2__diarizen-large-v2__spk_none::outputs__diarizen_uv_48__diarizen-large-v2__default__spk_none_else_current_final,external_candidate_surface_overlay,6,2,2,120,True,diarizen-large-v2/diarizen-large-v2/spk_none::outputs/diarizen_uv_48/diarizen-large-v2/default__spk_none,outputs/diarizen_uv_48/diarizen-large-v2/default__spk_none/summary.json,0,23.0,,120
"{'current_final': 118, 'diarizen-large-v2/diarizen-large-v2/spk_none': 2}",0.1687966666666667,0.16492333333333334,0.38750000000000173,1.6666666666498298e-06,0.00016666666666498298,prev_fast_segments >= 23,prev_fast_segments,,0.1649216666666667,True,False,0,>=,,0,2,if_prev_fast_segments_>=_23_then_diarizen-large-v2__diarizen-large-v2__spk_none_else_current_final,external_candidate_surface_overlay,6,2,2,120,True,diarizen-large-v2/diarizen-large-v2/spk_none,outputs/diarizen_uv_120/diarizen-large-v2/default__spk_none/summary.json,0,23.0,,120
"{'current_final': 118, 'diarizen-large-v2/diarizen-large-v2/spk_none::outputs/diarizen_uv_48/diarizen-large-v2/default__spk_none': 2}",0.1687966666666667,0.16492333333333334,0.38750000000000173,1.6666666666498298e-06,0.00016666666666498298,prev_seg_diff <= -9 AND slow_fast_speech_ratio <= 0.967559,prev_seg_diff,slow_fast_speech_ratio,0.1649216666666667,True,False,0,<=,<=,0,2,if_prev_seg_diff_<=_-9_AND_slow_fast_speech_ratio_<=_0.967559_then_diarizen-large-v2__diarizen-large-v2__spk_none::outputs__diarizen_uv_48__diarizen-large-v2__default__spk_none_else_current_final,external_candidate_surface_overlay,6,2,2,120,True,diarizen-large-v2/diarizen-large-v2/spk_none::outputs/diarizen_uv_48/diarizen-large-v2/default__spk_none,outputs/diarizen_uv_48/diarizen-large-v2/default__spk_none/summary.json,0,-9.0,0.9675590551181102,120
"{'current_final': 118, 'diarizen-large-v2/diarizen-large-v2/spk_none': 2}",0.1687966666666667,0.16492333333333334,0.38750000000000173,1.6666666666498298e-06,0.00016666666666498298,prev_seg_diff <= -9 AND slow_fast_speech_ratio <= 0.967559,prev_seg_diff,slow_fast_speech_ratio,0.1649216666666667,True,False,0,<=,<=,0,2,if_prev_seg_diff_<=_-9_AND_slow_fast_speech_ratio_<=_0.967559_then_diarizen-large-v2__diarizen-large-v2__spk_none_else_current_final,external_candidate_surface_overlay,6,2,2,120,True,diarizen-large-v2/diarizen-large-v2/spk_none,outputs/diarizen_uv_120/diarizen-large-v2/default__spk_none/summary.json,0,-9.0,0.9675590551181102,120
"{'current_final': 117, 'diarizen-large-v2/diarizen-large-v2/spk_none::outputs/diarizen_uv_48/diarizen-large-v2/default__spk_none': 3}",0.1687966666666667,0.16492333333333334,0.38750000000000173,1.6666666666498298e-06,0.00016666666666498298,prev_seg_diff <= -9 AND slow_speech <= 24.96,prev_seg_diff,slow_speech,0.1649216666666667,True,False,0,<=,<=,0,2,if_prev_seg_diff_<=_-9_AND_slow_speech_<=_24.96_then_diarizen-large-v2__diarizen-large-v2__spk_none::outputs__diarizen_uv_48__diarizen-large-v2__default__spk_none_else_current_final,external_candidate_surface_overlay,6,3,3,120,True,diarizen-large-v2/diarizen-large-v2/spk_none::outputs/diarizen_uv_48/diarizen-large-v2/default__spk_none,outputs/diarizen_uv_48/diarizen-large-v2/default__spk_none/summary.json,0,-9.0,24.959999999999997,120
"{'current_final': 117, 'diarizen-large-v2/diarizen-large-v2/spk_none': 3}",0.1687966666666667,0.16492333333333334,0.38750000000000173,1.6666666666498298e-06,0.00016666666666498298,prev_seg_diff <= -9 AND slow_speech <= 24.96,prev_seg_diff,slow_speech,0.1649216666666667,True,False,0,<=,<=,0,2,if_prev_seg_diff_<=_-9_AND_slow_speech_<=_24.96_then_diarizen-large-v2__diarizen-large-v2__spk_none_else_current_final,external_candidate_surface_overlay,6,3,3,120,True,diarizen-large-v2/diarizen-large-v2/spk_none,outputs/diarizen_uv_120/diarizen-large-v2/default__spk_none/summary.json,0,-9.0,24.959999999999997,120
"{'current_final': 117, 'diarizen-large-v2/diarizen-large-v2/spk_none::outputs/diarizen_uv_48/diarizen-large-v2/default__spk_none': 3}",0.1687966666666667,0.16492333333333334,0.38750000000000173,1.6666666666498298e-06,0.00016666666666498298,slow_fast_speech_ratio <= 0.967559 AND slow_speech <= 24.72,slow_fast_speech_ratio,slow_speech,0.1649216666666667,True,False,0,<=,<=,0,2,if_slow_fast_speech_ratio_<=_0.967559_AND_slow_speech_<=_24.72_then_diarizen-large-v2__diarizen-large-v2__spk_none::outputs__diarizen_uv_48__diarizen-large-v2__default__spk_none_else_current_final,external_candidate_surface_overlay,6,3,3,120,True,diarizen-large-v2/diarizen-large-v2/spk_none::outputs/diarizen_uv_48/diarizen-large-v2/default__spk_none,outputs/diarizen_uv_48/diarizen-large-v2/default__spk_none/summary.json,0,0.9675590551181102,24.72,120
"{'current_final': 117, 'diarizen-large-v2/diarizen-large-v2/spk_none': 3}",0.1687966666666667,0.16492333333333334,0.38750000000000173,1.6666666666498298e-06,0.00016666666666498298,slow_fast_speech_ratio <= 0.967559 AND slow_speech <= 24.72,slow_fast_speech_ratio,slow_speech,0.1649216666666667,True,False,0,<=,<=,0,2,if_slow_fast_speech_ratio_<=_0.967559_AND_slow_speech_<=_24.72_then_diarizen-large-v2__diarizen-large-v2__spk_none_else_current_final,external_candidate_surface_overlay,6,3,3,120,True,diarizen-large-v2/diarizen-large-v2/spk_none,outputs/diarizen_uv_120/diarizen-large-v2/default__spk_none/summary.json,0,0.9675590551181102,24.72,120
"{'current_final': 116, 'diarizen-large-v2/diarizen-large-v2/spk_none::outputs/diarizen_uv_48/diarizen-large-v2/default__spk_none': 4}",0.1687966666666667,0.16492333333333334,0.38750000000000173,1.6666666666498298e-06,0.00016666666666498298,slow_fast_speech_ratio <= 0.990782 AND slow_speech <= 24.72,slow_fast_speech_ratio,slow_speech,0.1649216666666667,True,False,0,<=,<=,0,2,if_slow_fast_speech_ratio_<=_0.990782_AND_slow_speech_<=_24.72_then_diarizen-large-v2__diarizen-large-v2__spk_none::outputs__diarizen_uv_48__diarizen-large-v2__default__spk_none_else_current_final,external_candidate_surface_overlay,6,4,4,120,True,diarizen-large-v2/diarizen-large-v2/spk_none::outputs/diarizen_uv_48/diarizen-large-v2/default__spk_none,outputs/diarizen_uv_48/diarizen-large-v2/default__spk_none/summary.json,0,0.9907815631262523,24.72,120
"{'current_final': 116, 'diarizen-large-v2/diarizen-large-v2/spk_none': 4}",0.1687966666666667,0.16492333333333334,0.38750000000000173,1.6666666666498298e-06,0.00016666666666498298,slow_fast_speech_ratio <= 0.990782 AND slow_speech <= 24.72,slow_fast_speech_ratio,slow_speech,0.1649216666666667,True,False,0,<=,<=,0,2,if_slow_fast_speech_ratio_<=_0.990782_AND_slow_speech_<=_24.72_then_diarizen-large-v2__diarizen-large-v2__spk_none_else_current_final,external_candidate_surface_overlay,6,4,4,120,True,diarizen-large-v2/diarizen-large-v2/spk_none,outputs/diarizen_uv_120/diarizen-large-v2/default__spk_none/summary.json,0,0.9907815631262523,24.72,120
"{'current_final': 116, 'diarizen-large-v2/diarizen-large-v2/spk_none::outputs/diarizen_uv_48/diarizen-large-v2/default__spk_none': 4}",0.1687966666666667,0.16492333333333334,0.38750000000000173,1.6666666666498298e-06,0.00016666666666498298,slow_speech <= 24.68,slow_speech,,0.1649216666666667,True,False,0,<=,,0,2,if_slow_speech_<=_24.68_then_diarizen-large-v2__diarizen-large-v2__spk_none::outputs__diarizen_uv_48__diarizen-large-v2__default__spk_none_else_current_final,external_candidate_surface_overlay,6,4,4,120,True,diarizen-large-v2/diarizen-large-v2/spk_none::outputs/diarizen_uv_48/diarizen-large-v2/default__spk_none,outputs/diarizen_uv_48/diarizen-large-v2/default__spk_none/summary.json,0,24.68,,120
"{'current_final': 116, 'diarizen-large-v2/diarizen-large-v2/spk_none': 4}",0.1687966666666667,0.16492333333333334,0.38750000000000173,1.6666666666498298e-06,0.00016666666666498298,slow_speech <= 24.68,slow_speech,,0.1649216666666667,True,False,0,<=,,0,2,if_slow_speech_<=_24.68_then_diarizen-large-v2__diarizen-large-v2__spk_none_else_current_final,external_candidate_surface_overlay,6,4,4,120,True,diarizen-large-v2/diarizen-large-v2/spk_none,outputs/diarizen_uv_120/diarizen-large-v2/default__spk_none/summary.json,0,24.68,,120
"{'current_final': 115, 'diarizen-large-v2/diarizen-large-v2/spk_none::outputs/diarizen_uv_48/diarizen-large-v2/default__spk_none': 5}",0.1687966666666667,0.16492333333333334,0.38750000000000173,1.6666666666498298e-06,0.00016666666666498298,slow_speech <= 24.72,slow_speech,,0.1649216666666667,True,False,0,<=,,0,2,if_slow_speech_<=_24.72_then_diarizen-large-v2__diarizen-large-v2__spk_none::outputs__diarizen_uv_48__diarizen-large-v2__default__spk_none_else_current_final,external_candidate_surface_overlay,6,5,5,120,True,diarizen-large-v2/diarizen-large-v2/spk_none::outputs/diarizen_uv_48/diarizen-large-v2/default__spk_none,outputs/diarizen_uv_48/diarizen-large-v2/default__spk_none/summary.json,0,24.72,,120
"{'current_final': 115, 'diarizen-large-v2/diarizen-large-v2/spk_none': 5}",0.1687966666666667,0.16492333333333334,0.38750000000000173,1.6666666666498298e-06,0.00016666666666498298,slow_speech <= 24.72,slow_speech,,0.1649216666666667,True,False,0,<=,,0,2,if_slow_speech_<=_24.72_then_diarizen-large-v2__diarizen-large-v2__spk_none_else_current_final,external_candidate_surface_overlay,6,5,5,120,True,diarizen-large-v2/diarizen-large-v2/spk_none,outputs/diarizen_uv_120/diarizen-large-v2/default__spk_none/summary.json,0,24.72,,120
