recording_id,window_size,segment_idx,fast_der,slow_der,fast_spk_count_pred,slow_spk_count_pred,gt_spk_count,fast_segments,slow_segments,fast_speech,slow_speech,gt_speech,fast_miss_sec,slow_recovers_fast_miss_sec,fast_miss_recovery_rate,fast_fa_sec,slow_suppresses_fast_fa_sec,fast_fa_suppression_rate,slow_added_fa_sec,fast_slow_disagreement_sec,fast_label_correct_overlap,slow_label_correct_overlap,label_correct_gain_sec,keep_fast_supported,boundary_fix_or_relabel,suppress_fast_candidate,recover_slow_segment,align_slow_segment
R8008_M8013,30,4,0.2592,0.2039,2,2,3,6,8,27.989999999999995,31.119999999999997,27.5,0.62,0.62,1.0,1.12,0.96,0.857142857142857,0.06,1.82,23.82,25.305000000000003,1.485000000000003,1,5,0,0,8
R8008_M8013,30,5,0.3364,0.1081,3,3,3,10,15,21.52,34.400000000000006,27.26,5.82,5.8,0.9965635738831614,0.02,0.0,0.0,1.18,6.98,21.169999999999998,30.847500000000007,9.677500000000009,0,10,0,5,10
R8008_M8013,30,6,0.1738,0.1335,2,3,3,8,7,30.07,35.34,28.54,0.22,0.22,1.0,0.58,0.3,0.5172413793103449,0.88,1.4000000000000001,28.060000000000002,30.859999999999996,2.7999999999999936,2,6,0,0,7
R8008_M8013,30,7,0.3812,0.129,2,3,3,3,14,30.15,37.879999999999995,29.560000000000002,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,23.4,33.95,10.550000000000004,1,2,0,0,14
R8009_M8018,30,0,0.1802,0.0875,2,2,2,14,8,25.829999999999995,29.96,27.14,2.64,2.64,1.0,0.22,0.0,0.0,0.46,3.1,25.409999999999997,28.862499999999997,3.4525000000000006,2,12,0,1,7
R8009_M8018,30,1,0.193,0.1104,2,2,2,17,12,28.95,33.96000000000001,28.1,2.2800000000000002,2.2800000000000002,1.0,0.36,0.0,0.0,0.6,2.88,28.11,32.02,3.9100000000000037,4,13,0,0,12
R8009_M8018,30,2,0.1907,0.1306,2,2,2,18,10,27.669999999999995,30.820000000000004,25.88,2.06,1.8,0.8737864077669902,1.3800000000000001,0.9,0.6521739130434783,0.98,3.7800000000000002,25.779999999999994,28.004999999999995,2.2250000000000014,3,15,0,1,9
R8009_M8019,30,0,0.1031,0.0314,2,2,2,8,9,27.59,27.76,26.26,0.3,0.3,1.0,1.08,0.96,0.8888888888888888,0.08,1.42,26.34,27.5075,1.1675000000000004,5,3,0,0,9
R8009_M8019,30,1,0.0979,0.027,2,2,2,8,8,25.349999999999998,25.459999999999994,25.16,1.04,0.9400000000000001,0.9038461538461539,1.0,0.92,0.92,0.14,2.24,24.149999999999995,25.06,0.9100000000000037,7,1,0,0,8
R8009_M8020,30,0,0.2468,0.0381,2,2,2,21,11,21.830000000000002,27.900000000000002,26.34,4.82,4.8,0.9958506224066389,0.36,0.26,0.7222222222222223,0.52,5.78,21.13,27.127499999999998,5.997499999999999,5,16,0,2,9
R8009_M8020,30,1,0.1985,0.0348,2,2,2,5,9,28.059999999999995,31.16,27.98,1.82,1.82,1.0,0.72,0.72,1.0,0.02,2.64,26.579999999999995,30.925,4.345000000000006,4,1,0,1,8
R8009_M8020,30,2,0.0942,0.0407,2,2,2,4,8,30.79,29.96,28.900000000000002,0.0,0.0,0.0,1.1,0.9,0.8181818181818181,0.0,1.0,29.259999999999998,29.690000000000005,0.4300000000000068,1,3,0,0,8
