recording_id,window_size,segment_idx,source,patch_type,segment_id,start,end,speaker,matched_source,matched_speaker,overlap_sec,support_ratio,gt_overlap_sec,gt_support_ratio
R8003_M8001,30,0,slow,align_slow_segment,slow_9,20.7525,21.2525,1,fast,speaker_0,0.5,1.0,0.5,1.0
R8003_M8001,30,0,slow,align_slow_segment,slow_10,29.5325,30.3925,1,fast,speaker_1,0.31,0.3605,0.555,0.6453
R8003_M8001,30,1,fast,boundary_fix_or_relabel,fast_0,0.0,0.48,speaker_0,slow,0,0.4675,0.974,0.88,1.0
R8003_M8001,30,1,fast,boundary_fix_or_relabel,fast_1,1.92,3.44,speaker_0,slow,0,1.52,1.0,3.04,1.0
R8003_M8001,30,1,fast,boundary_fix_or_relabel,fast_2,15.04,15.28,speaker_0,slow,1,0.24,1.0,0.48,1.0
R8003_M8001,30,1,fast,boundary_fix_or_relabel,fast_3,16.08,16.72,speaker_0,slow,1,0.64,1.0,0.71,1.0
R8003_M8001,30,1,fast,boundary_fix_or_relabel,fast_4,18.16,21.2,speaker_0,slow,2,2.9925,0.9844,3.17,1.0
R8003_M8001,30,1,fast,boundary_fix_or_relabel,fast_5,0.08,4.32,speaker_1,slow,0,4.24,1.0,7.1,1.0
R8003_M8001,30,1,fast,boundary_fix_or_relabel,fast_6,4.88,6.32,speaker_1,slow,1,1.44,1.0,2.7,1.0
R8003_M8001,30,1,fast,boundary_fix_or_relabel,fast_7,8.4,8.48,speaker_1,slow,1,0.08,1.0,0.16,1.0
R8003_M8001,30,1,fast,boundary_fix_or_relabel,fast_8,4.64,6.08,speaker_2,slow,0,1.44,1.0,3.07,1.0
R8003_M8001,30,1,fast,boundary_fix_or_relabel,fast_9,6.32,14.88,speaker_2,slow,1,8.56,1.0,9.23,1.0
R8003_M8001,30,1,fast,boundary_fix_or_relabel,fast_10,15.2,16.0,speaker_2,slow,1,0.8,1.0,1.49,1.0
R8003_M8001,30,1,fast,boundary_fix_or_relabel,fast_11,16.64,18.24,speaker_2,slow,2,1.6,1.0,3.12,1.0
R8003_M8001,30,1,fast,keep_fast_supported,fast_12,21.44,29.52,speaker_2,slow,1,7.9325,0.9817,8.53,1.0
R8003_M8001,30,1,slow,align_slow_segment,slow_0,0.0125,0.35250000000000004,1,fast,speaker_0,0.34,1.0,0.68,1.0
R8003_M8001,30,1,slow,align_slow_segment,slow_1,0.0125,6.1725,0,fast,speaker_1,4.24,0.6883,11.0975,1.0
R8003_M8001,30,1,slow,align_slow_segment,slow_2,1.7525,3.2125000000000004,1,fast,speaker_1,1.46,1.0,2.8925,1.0
R8003_M8001,30,1,slow,align_slow_segment,slow_3,3.2125000000000004,5.0125,2,fast,speaker_1,1.1075,0.6153,3.79,1.0
R8003_M8001,30,1,slow,align_slow_segment,slow_4,4.612500000000001,17.9325,1,fast,speaker_2,8.56,0.6426,17.94,1.0
R8003_M8001,30,1,slow,align_slow_segment,slow_5,5.072500000000001,5.0925,2,fast,speaker_1,0.02,1.0,0.04,1.0
R8003_M8001,30,1,slow,align_slow_segment,slow_6,8.232500000000002,8.592500000000001,0,fast,speaker_2,0.36,1.0,0.65,1.0
R8003_M8001,30,1,slow,align_slow_segment,slow_7,11.6325,11.9725,0,fast,speaker_2,0.34,1.0,0.68,1.0
R8003_M8001,30,1,slow,align_slow_segment,slow_8,14.932500000000001,21.1525,2,fast,speaker_0,2.9925,0.4811,8.7875,1.0
R8003_M8001,30,1,slow,align_slow_segment,slow_9,17.9925,18.3325,0,fast,speaker_2,0.2475,0.7279,0.6625,1.0
R8003_M8001,30,1,slow,align_slow_segment,slow_10,21.4125,29.3725,1,fast,speaker_2,7.9325,0.9965,8.41,1.0
R8003_M8001,30,1,slow,align_slow_segment,slow_11,22.1125,22.4725,0,fast,speaker_2,0.36,1.0,0.6725,1.0
R8007_M8010,30,0,fast,boundary_fix_or_relabel,fast_0,0.0,2.72,speaker_0,slow,2,2.7075,0.9954,6.1,1.0
R8007_M8010,30,0,fast,boundary_fix_or_relabel,fast_1,3.44,13.76,speaker_0,slow,2,10.32,1.0,16.18,1.0
R8007_M8010,30,0,fast,boundary_fix_or_relabel,fast_2,19.92,21.04,speaker_0,slow,2,1.12,1.0,2.65,1.0
R8007_M8010,30,0,fast,boundary_fix_or_relabel,fast_3,21.6,21.76,speaker_0,slow,2,0.16,1.0,0.64,1.0
R8007_M8010,30,0,fast,boundary_fix_or_relabel,fast_4,21.92,29.04,speaker_0,slow,2,7.12,1.0,14.68,1.0
R8007_M8010,30,0,fast,boundary_fix_or_relabel,fast_5,8.24,9.2,speaker_1,slow,2,0.96,1.0,3.19,1.0
R8007_M8010,30,0,fast,keep_fast_supported,fast_6,13.68,18.24,speaker_1,slow,1,4.4925,0.9852,5.61,1.0
R8007_M8010,30,0,fast,boundary_fix_or_relabel,fast_7,19.28,19.76,speaker_1,slow,1,0.48,1.0,0.38,0.7917
R8007_M8010,30,0,fast,boundary_fix_or_relabel,fast_8,21.6,22.48,speaker_1,slow,2,0.88,1.0,3.52,1.0
R8007_M8010,30,0,fast,boundary_fix_or_relabel,fast_9,3.04,3.76,speaker_2,slow,2,0.72,1.0,2.14,1.0
R8007_M8010,30,0,fast,keep_fast_supported,fast_10,18.48,18.96,speaker_3,slow,0,0.48,1.0,0.48,1.0
R8007_M8010,30,0,fast,boundary_fix_or_relabel,fast_11,28.88,29.99,speaker_3,slow,0,1.11,1.0,1.75,1.0
R8007_M8010,30,0,slow,align_slow_segment,slow_0,0.0125,1.0725,1,fast,speaker_0,1.06,1.0,1.7875,1.0
R8007_M8010,30,0,slow,align_slow_segment,slow_1,0.0125,14.692499999999999,2,fast,speaker_0,10.32,0.703,26.6,1.0
R8007_M8010,30,0,slow,align_slow_segment,slow_2,1.0725,4.3325000000000005,0,fast,speaker_0,1.6475,0.5054,8.785,1.0
R8007_M8010,30,0,slow,align_slow_segment,slow_3,1.5325,3.7525000000000004,1,fast,speaker_0,1.1875,0.5349,6.62,1.0
R8007_M8010,30,0,slow,align_slow_segment,slow_4,2.8724999999999996,3.3325000000000005,3,fast,speaker_2,0.2925,0.6359,1.7,1.0
R8007_M8010,30,0,slow,align_slow_segment,slow_5,6.8525,7.1925,1,fast,speaker_0,0.34,1.0,0.8425,1.0
R8007_M8010,30,0,slow,align_slow_segment,slow_6,8.052500000000002,9.252500000000001,1,fast,speaker_0,1.2,1.0,3.6625,1.0
R8007_M8010,30,0,slow,align_slow_segment,slow_7,8.4925,8.9725,0,fast,speaker_0,0.48,1.0,1.8325,1.0
R8007_M8010,30,0,slow,align_slow_segment,slow_8,10.252500000000001,10.552500000000002,1,fast,speaker_0,0.3,1.0,0.5525,1.0
R8007_M8010,30,0,slow,align_slow_segment,slow_9,13.572500000000002,18.1725,1,fast,speaker_1,4.4925,0.9766,5.72,1.0
R8007_M8010,30,0,slow,align_slow_segment,slow_10,18.3125,19.0325,0,fast,speaker_3,0.48,0.6667,0.69,0.9583
R8007_M8010,30,0,slow,align_slow_segment,slow_11,19.232499999999998,20.4325,1,fast,speaker_0,0.5125,0.4271,1.325,1.0
R8007_M8010,30,0,slow,align_slow_segment,slow_12,19.8725,29.3925,2,fast,speaker_0,7.12,0.7479,21.045,1.0
R8007_M8010,30,0,slow,align_slow_segment,slow_13,20.4325,25.1725,0,fast,speaker_0,3.2525,0.6862,13.7625,1.0
R8007_M8010,30,0,slow,align_slow_segment,slow_14,20.8725,23.4925,1,fast,speaker_0,1.5725,0.6002,8.96,1.0
R8007_M8010,30,0,slow,align_slow_segment,slow_15,21.6125,21.6325,3,fast,speaker_0,0.02,1.0,0.08,1.0
R8007_M8010,30,0,slow,align_slow_segment,slow_16,23.5525,23.6725,1,fast,speaker_0,0.12,1.0,0.36,1.0
R8007_M8010,30,0,slow,align_slow_segment,slow_17,24.1925,25.3925,1,fast,speaker_0,1.2,1.0,2.6325,1.0
R8007_M8010,30,0,slow,align_slow_segment,slow_18,25.3925,25.4525,0,fast,speaker_0,0.06,1.0,0.18,1.0
R8007_M8010,30,0,slow,align_slow_segment,slow_19,28.2725,30.0925,0,fast,speaker_3,1.11,0.6099,3.275,1.0
R8007_M8010,30,0,slow,align_slow_segment,slow_20,28.6325,28.8725,1,fast,speaker_0,0.24,1.0,0.72,1.0
R8007_M8010,30,1,fast,boundary_fix_or_relabel,fast_0,0.0,4.96,speaker_0,slow,1,4.9475,0.9975,7.92,1.0
R8007_M8010,30,1,fast,boundary_fix_or_relabel,fast_1,6.48,7.28,speaker_0,slow,1,0.8,1.0,2.36,1.0
R8007_M8010,30,1,fast,boundary_fix_or_relabel,fast_2,7.6,10.32,speaker_0,slow,1,2.72,1.0,7.69,1.0
R8007_M8010,30,1,fast,boundary_fix_or_relabel,fast_3,11.12,12.4,speaker_0,slow,1,1.28,1.0,2.91,1.0
R8007_M8010,30,1,fast,boundary_fix_or_relabel,fast_4,15.84,19.76,speaker_0,slow,1,3.92,1.0,10.09,1.0
R8007_M8010,30,1,fast,boundary_fix_or_relabel,fast_5,21.36,29.99,speaker_0,slow,1,8.63,1.0,11.68,1.0
R8007_M8010,30,1,fast,boundary_fix_or_relabel,fast_6,7.76,7.92,speaker_1,slow,1,0.16,1.0,0.48,1.0
R8007_M8010,30,1,fast,boundary_fix_or_relabel,fast_7,14.72,14.96,speaker_1,slow,0,0.24,1.0,0.48,1.0
R8007_M8010,30,1,slow,align_slow_segment,slow_0,0.0125,0.7324999999999999,0,fast,speaker_0,0.72,1.0,1.44,1.0
R8007_M8010,30,1,slow,align_slow_segment,slow_1,0.0125,13.392500000000002,1,fast,speaker_0,4.9475,0.3698,28.7875,1.0
R8007_M8010,30,1,slow,recover_slow_segment,slow_2,3.9725,16.4725,0,fast,speaker_0,2.72,0.2176,29.58,1.0
R8007_M8010,30,1,slow,align_slow_segment,slow_3,6.612500000000001,11.212500000000002,2,fast,speaker_0,2.72,0.5913,12.89,1.0
R8007_M8010,30,1,slow,align_slow_segment,slow_4,6.952500000000001,8.2925,3,fast,speaker_0,0.6925,0.5168,4.33,1.0
R8007_M8010,30,1,slow,align_slow_segment,slow_5,8.4725,8.912500000000001,3,fast,speaker_0,0.44,1.0,1.32,1.0
R8007_M8010,30,1,slow,align_slow_segment,slow_6,13.692499999999999,30.3925,1,fast,speaker_0,8.63,0.5168,30.2975,1.0
R8007_M8010,30,1,slow,recover_slow_segment,slow_7,15.1125,15.4725,2,,,0.0,0.0,0.86,1.0
R8007_M8010,30,1,slow,align_slow_segment,slow_8,17.3925,21.9125,0,fast,speaker_0,2.3675,0.5238,13.7625,1.0
R8007_M8010,30,1,slow,align_slow_segment,slow_9,17.9525,20.9925,2,fast,speaker_0,1.8075,0.5946,10.16,1.0
R8007_M8010,30,1,slow,recover_slow_segment,slow_10,19.8125,20.1125,3,,,0.0,0.0,1.0775,1.0
R8007_M8010,30,1,slow,align_slow_segment,slow_11,21.3725,21.3925,2,fast,speaker_0,0.02,1.0,0.04,1.0
R8007_M8010,30,1,slow,align_slow_segment,slow_12,24.3725,24.8525,0,fast,speaker_0,0.48,1.0,0.83,1.0
R8007_M8010,30,1,slow,align_slow_segment,slow_13,28.1325,29.4725,0,fast,speaker_0,1.34,1.0,3.0,1.0
R8007_M8010,30,1,slow,align_slow_segment,slow_14,28.7925,29.1125,2,fast,speaker_0,0.32,1.0,0.96,1.0
R8007_M8011,30,0,fast,keep_fast_supported,fast_0,0.0,13.52,speaker_0,slow,1,13.5075,0.9991,13.87,1.0
R8007_M8011,30,0,fast,boundary_fix_or_relabel,fast_1,14.48,18.08,speaker_0,slow,1,3.5475,0.9854,3.41,0.9472
R8007_M8011,30,0,fast,boundary_fix_or_relabel,fast_2,13.92,14.0,speaker_1,slow,2,0.08,1.0,0.16,1.0
R8007_M8011,30,0,fast,boundary_fix_or_relabel,fast_3,14.08,14.16,speaker_1,slow,2,0.08,1.0,0.16,1.0
R8007_M8011,30,0,fast,boundary_fix_or_relabel,fast_4,18.24,22.32,speaker_1,slow,2,4.08,1.0,5.84,1.0
R8007_M8011,30,0,fast,boundary_fix_or_relabel,fast_5,24.96,29.99,speaker_1,slow,2,5.03,1.0,5.89,1.0
R8007_M8011,30,0,fast,boundary_fix_or_relabel,fast_6,23.92,24.8,speaker_2,slow,2,0.88,1.0,1.76,1.0
R8007_M8011,30,0,slow,align_slow_segment,slow_0,0.0125,13.892500000000002,1,fast,speaker_0,13.5075,0.9732,14.7325,1.0
R8007_M8011,30,0,slow,align_slow_segment,slow_1,6.8325000000000005,7.7525,2,fast,speaker_0,0.92,1.0,1.315,1.0
R8007_M8011,30,0,slow,recover_slow_segment,slow_2,13.392500000000002,14.712500000000002,2,fast,speaker_0,0.2325,0.1761,2.5475,1.0
R8007_M8011,30,0,slow,recover_slow_segment,slow_3,13.7725,14.532499999999999,0,fast,speaker_1,0.08,0.1053,1.515,1.0
R8007_M8011,30,0,slow,align_slow_segment,slow_4,14.532499999999999,19.2525,1,fast,speaker_0,3.5475,0.7516,5.6,1.0
R8007_M8011,30,0,slow,align_slow_segment,slow_5,18.1925,30.3925,2,fast,speaker_1,5.03,0.4123,17.235,1.0
R8007_M8011,30,0,slow,recover_slow_segment,slow_6,21.732499999999998,25.6925,0,fast,speaker_2,0.88,0.2222,8.2975,1.0
R8007_M8011,30,1,fast,keep_fast_supported,fast_0,0.0,4.48,speaker_0,slow,0,4.32,0.9643,5.64,1.0
R8007_M8011,30,1,fast,boundary_fix_or_relabel,fast_1,17.68,18.56,speaker_0,slow,0,0.5925,0.6733,0.51,0.5795
R8007_M8011,30,1,fast,boundary_fix_or_relabel,fast_2,25.6,26.16,speaker_0,slow,1,0.56,1.0,0.97,1.0
R8007_M8011,30,1,fast,boundary_fix_or_relabel,fast_3,3.2,3.76,speaker_1,slow,0,0.56,1.0,0.94,1.0
R8007_M8011,30,1,fast,keep_fast_supported,fast_4,18.64,20.0,speaker_1,slow,0,1.36,1.0,1.45,1.0
R8007_M8011,30,1,fast,keep_fast_supported,fast_5,4.8,17.76,speaker_2,slow,1,12.72,0.9815,14.78,1.0
R8007_M8011,30,1,fast,keep_fast_supported,fast_6,20.0,29.99,speaker_2,slow,1,9.8975,0.9907,10.6,1.0
R8007_M8011,30,1,slow,align_slow_segment,slow_0,0.0125,4.3325000000000005,0,fast,speaker_0,4.32,1.0,5.6275,1.0
R8007_M8011,30,1,slow,align_slow_segment,slow_1,2.7525000000000004,3.6725000000000003,1,fast,speaker_0,0.92,1.0,1.7475,1.0
R8007_M8011,30,1,slow,align_slow_segment,slow_2,4.8125,17.5325,1,fast,speaker_2,12.72,1.0,14.55,1.0
R8007_M8011,30,1,slow,align_slow_segment,slow_3,12.032499999999999,12.392500000000002,0,fast,speaker_2,0.36,1.0,0.7025,1.0
R8007_M8011,30,1,slow,align_slow_segment,slow_4,15.372499999999999,16.3325,0,fast,speaker_2,0.96,1.0,1.8875,1.0
R8007_M8011,30,1,slow,align_slow_segment,slow_5,17.072499999999998,18.2725,0,fast,speaker_2,0.6875,0.5729,1.5375,1.0
R8007_M8011,30,1,slow,align_slow_segment,slow_6,18.572499999999998,18.8125,1,fast,speaker_1,0.1725,0.7187,0.31,1.0
R8007_M8011,30,1,slow,align_slow_segment,slow_7,18.6325,20.1525,0,fast,speaker_1,1.36,0.8947,1.6625,1.0
R8007_M8011,30,1,slow,align_slow_segment,slow_8,19.8725,19.8925,1,fast,speaker_1,0.02,1.0,0.0375,1.0
R8007_M8011,30,1,slow,align_slow_segment,slow_9,20.0925,30.3925,1,fast,speaker_2,9.8975,0.9609,10.5175,1.0
R8007_M8011,30,1,slow,align_slow_segment,slow_10,25.4925,26.1325,0,fast,speaker_2,0.64,1.0,1.1575,1.0
R8007_M8011,30,1,slow,align_slow_segment,slow_11,28.6725,28.7925,0,fast,speaker_2,0.12,1.0,0.12,1.0
R8008_M8013,30,0,fast,boundary_fix_or_relabel,fast_0,0.72,1.44,speaker_0,slow,0,0.72,1.0,1.21,1.0
R8008_M8013,30,0,fast,boundary_fix_or_relabel,fast_1,1.84,2.32,speaker_0,slow,0,0.48,1.0,0.95,1.0
R8008_M8013,30,0,fast,keep_fast_supported,fast_2,4.08,6.4,speaker_0,slow,0,2.2925,0.9881,3.97,1.0
R8008_M8013,30,0,fast,keep_fast_supported,fast_3,6.72,7.12,speaker_0,slow,0,0.4,1.0,0.4,1.0
R8008_M8013,30,0,fast,boundary_fix_or_relabel,fast_4,2.0,2.16,speaker_1,slow,0,0.16,1.0,0.32,1.0
R8008_M8013,30,0,fast,boundary_fix_or_relabel,fast_5,4.08,5.12,speaker_1,slow,1,1.04,1.0,2.31,1.0
R8008_M8013,30,0,fast,boundary_fix_or_relabel,fast_6,7.6,8.0,speaker_1,slow,1,0.4,1.0,0.4,1.0
R8008_M8013,30,0,fast,boundary_fix_or_relabel,fast_7,8.32,14.72,speaker_1,slow,1,6.2525,0.977,6.19,0.9672
R8008_M8013,30,0,fast,boundary_fix_or_relabel,fast_8,16.64,25.6,speaker_1,slow,1,8.96,1.0,8.44,0.942
R8008_M8013,30,0,fast,boundary_fix_or_relabel,fast_9,26.16,29.99,speaker_1,slow,1,3.83,1.0,4.35,1.0
R8008_M8013,30,0,slow,recover_slow_segment,slow_0,0.0125,2.4325,0,fast,speaker_0,0.72,0.2975,3.5575,1.0
R8008_M8013,30,0,slow,align_slow_segment,slow_1,0.5925,1.3525,1,fast,speaker_0,0.6325,0.8322,1.3775,1.0
R8008_M8013,30,0,slow,align_slow_segment,slow_2,1.7125,2.2925000000000004,1,fast,speaker_0,0.4525,0.7802,1.0425,1.0
R8008_M8013,30,0,slow,align_slow_segment,slow_3,3.8724999999999996,5.5525,1,fast,speaker_0,1.4725,0.8765,3.5125,1.0
R8008_M8013,30,0,slow,align_slow_segment,slow_4,3.8724999999999996,6.3725000000000005,0,fast,speaker_0,2.2925,0.917,4.3075,1.0
R8008_M8013,30,0,slow,align_slow_segment,slow_5,4.0925,4.992500000000001,2,fast,speaker_0,0.9,1.0,2.03,1.0
R8008_M8013,30,0,slow,align_slow_segment,slow_6,6.5925,7.2125,0,fast,speaker_0,0.4,0.6452,0.5625,0.9073
R8008_M8013,30,0,slow,align_slow_segment,slow_7,7.3725000000000005,14.572500000000002,1,fast,speaker_1,6.2525,0.8684,7.09,0.9847
R8008_M8013,30,0,slow,align_slow_segment,slow_8,16.4925,30.0525,1,fast,speaker_1,8.96,0.6608,12.83,0.9462
R8008_M8013,30,1,fast,keep_fast_supported,fast_0,0.0,1.92,speaker_0,slow,1,1.66,0.8646,1.66,0.8646
R8008_M8013,30,1,fast,keep_fast_supported,fast_1,3.36,7.6,speaker_0,slow,1,4.2275,0.9971,4.17,0.9835
R8008_M8013,30,1,fast,boundary_fix_or_relabel,fast_2,8.16,27.12,speaker_0,slow,1,9.08,0.4789,18.52,0.9768
R8008_M8013,30,1,fast,keep_fast_supported,fast_3,27.6,29.99,speaker_0,slow,1,2.2975,0.9613,2.39,1.0
R8008_M8013,30,1,slow,align_slow_segment,slow_0,0.0125,1.6725,1,fast,speaker_0,1.66,1.0,1.6475,0.9925
R8008_M8013,30,1,slow,align_slow_segment,slow_1,3.3724999999999996,7.6325,1,fast,speaker_0,4.2275,0.9924,4.2025,0.9865
R8008_M8013,30,1,slow,align_slow_segment,slow_2,8.1525,16.5525,1,fast,speaker_0,8.3925,0.9991,8.3275,0.9914
R8008_M8013,30,1,slow,align_slow_segment,slow_3,16.8725,17.3925,0,fast,speaker_0,0.52,1.0,0.8175,1.0
R8008_M8013,30,1,slow,align_slow_segment,slow_4,17.8325,26.9125,1,fast,speaker_0,9.08,1.0,9.0025,0.9915
R8008_M8013,30,1,slow,align_slow_segment,slow_5,27.6925,30.3925,1,fast,speaker_0,2.2975,0.8509,2.3075,0.8546
R8008_M8013,30,2,fast,boundary_fix_or_relabel,fast_0,0.0,3.52,speaker_0,slow,3,3.5075,0.9964,3.82,1.0
R8008_M8013,30,2,fast,boundary_fix_or_relabel,fast_1,3.92,6.64,speaker_0,slow,3,2.72,1.0,5.22,1.0
R8008_M8013,30,2,fast,boundary_fix_or_relabel,fast_2,7.28,8.96,speaker_0,slow,2,1.68,1.0,2.53,1.0
R8008_M8013,30,2,fast,boundary_fix_or_relabel,fast_3,11.52,22.96,speaker_0,slow,3,11.3125,0.9889,15.27,1.0
